Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.6546488,-0.2257149,-0.3607738,-0.992721,0.0198474,0.109195,27.00873,5.875977,-26.75545,1008.393
0.032268524,-0.2749562,-0.2844177,0.004870433,-1.000485,0.03095072,0.1078246,28.09772,5.499496,-26.76738,1008.391
0.067023754,-0.2749562,-0.460526,-0.117011,-1.009176,0.02511542,0.1068433,28.09772,5.499496,-26.76738,1008.39
0.099295616,0.0968858,-0.2257149,-0.4826552,-0.9975787,0.02756005,0.104415,27.38283,6.242139,-26.32985,1008.39
0.134050846,0.0968858,-0.5192288,-0.3607738,-1.003376,0.02658543,0.1073226,27.37084,6.236504,-26.76558,1008.392
0.166323185,0.7785961,-0.3431205,-0.2388924,-1.011609,0.03188514,0.1073705,27.37084,6.236504,-26.76558,1008.39
0.198595047,-0.9566664,0.1852045,0.2486333,-1.001441,0.02855125,0.1145812,27.37084,6.236504,-26.76558,1008.389
0.233345985,-1.948245,0.5374212,0.6752182,-0.9801382,0.01455194,0.1067206,27.73428,5.867999,-26.76648,1008.387
0.265617848,0.3447804,-0.1670121,0.4923961,-1.001423,0.01738813,0.1048489,27.73428,5.867999,-26.76648,1008.387
0.300373077,0.5926751,-0.5192288,0.1267519,-1.027582,0.03372937,0.09387908,27.72467,5.498654,-27.13535,1008.385
0.332645416,0.1588595,-0.4018232,-0.1779517,-0.9985855,0.04938321,0.1190444,28.09706,5.864011,-26.772,1008.386
0.367400169,-0.8946928,0.1265018,-0.3607738,-0.9810868,0.008761686,0.112491,28.09706,5.864011,-26.772,1008.386
0.399672508,0.3447804,0.06779898,0.2486333,-0.9854491,0.01261576,0.111072,27.36057,6.231674,-27.13906,1008.386
0.431941033,0.4067541,0.06779898,0.3705146,-1.011134,0.03380914,0.1035129,27.37084,6.236504,-26.76558,1008.386
0.466695786,-0.9566664,0.1852045,0.06581114,-1.002411,0.02804817,0.109746,27.37084,6.236504,-26.76558,1008.386
0.498968125,0.6546488,0.3026101,-0.2998331,-1.001928,0.03000165,0.1145905,27.37018,6.601019,-26.7702,1008.39
0.533722878,1.52228,0.2439073,-0.4826552,-1.008251,0.04253633,0.1059735,28.0964,6.228527,-26.77661,1008.39
0.565995217,-0.7707455,0.4200157,0.2486333,-1.006263,0.02028443,0.1068095,28.0964,6.228527,-26.77661,1008.388
0.600750446,0.1588595,-0.1670121,0.2486333,-1.004321,0.0169041,0.1072696,27.37084,6.236504,-26.76558,1008.388
0.633018017,-0.08903518,-0.4018232,0.4923961,-1.002911,0.0357962,0.1117249,27.74693,5.509119,-26.32614,1008.388
0.665290832,-0.9566664,-0.4018232,0.4314554,-1.001936,0.0324131,0.112187,27.74693,5.509119,-26.32614,1008.392
0.700045109,-0.02706152,-0.5192288,0.2486333,-0.9990238,0.02806768,0.1126394,27.38349,5.877623,-26.32524,1008.391
0.732317448,-0.1510088,-0.2257149,0.1267519,-1.001448,0.02901224,0.1078157,27.72467,5.498654,-27.13535,1008.391
0.767072678,0.03491214,0.1852045,-0.117011,-0.9961066,0.02032329,0.1096885,27.72334,6.227686,-27.14458,1008.391
0.799344540,0.3447804,0.009096205,-0.117011,-1.009675,0.03140511,0.1068801,27.72334,6.227686,-27.14458,1008.389
0.834095955,0.1588595,0.1852045,0.004870433,-0.9995149,0.03096659,0.1116901,27.37216,5.507472,-26.75635,1008.389
0.866368294,-0.3369298,0.06779898,0.06581114,-0.9975728,0.02660693,0.1087605,28.46049,5.495507,-26.7729,1008.393
0.898640156,0.2208331,-0.1670121,0.1267519,-1.006289,0.02946433,0.1025108,28.46049,5.495507,-26.7729,1008.391
0.933395386,-0.08903518,-0.04960658,0.1267519,-1.00436,0.03482092,0.1107556,27.36189,5.502643,-27.12983,1008.39
0.965667725,0.03491214,-0.4018232,0.1876925,-1.000963,0.02950575,0.1102346,28.08745,5.494666,-27.14086,1008.388
