Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.767072678,37.96,31.51
1.767495155,37.96,31.512
2.765435696,37.996,31.514
3.765858650,37.898,31.518
4.766384602,37.966,31.52
5.766822338,38.04,31.522
6.767246723,38.034,31.524
7.767671585,38.05,31.528
8.765614033,38.052,31.53
9.766163826,38.066,31.534
10.766589642,38.052,31.536
11.767045975,38.07,31.538
12.767472267,38.06,31.54
13.765417099,38.118,31.542
14.765850544,38.192,31.546
15.766277790,38.158,31.548
16.766705990,38.198,31.55
17.767201424,38.164,31.554
18.767630100,38.156,31.556
19.765654087,38.126,31.558
20.766083717,38.166,31.56
21.766513348,38.244,31.562
22.766943455,38.212,31.564
23.767505169,38.216,31.566
24.765452862,38.278,31.57
25.765884399,38.24,31.572
26.766315460,38.292,31.574
27.766747475,38.294,31.576
28.767251015,38.272,31.58
29.767688751,38.326,31.582
30.765639305,38.296,31.584
31.766072273,38.346,31.586
32.766506195,38.334,31.588
33.767059326,38.358,31.59
34.767492771,38.392,31.592
35.765444755,38.412,31.594
36.765879631,38.42,31.596
37.766314030,38.408,31.598
38.766749382,38.372,31.6
39.767305851,38.434,31.602
40.765259266,38.4,31.604
41.765695095,38.398,31.606
42.766130924,38.42,31.608
43.766567230,38.444,31.61
44.767004490,38.428,31.612
45.767440796,38.416,31.612
46.765395164,38.436,31.614
47.765987873,38.482,31.616
48.766424656,38.458,31.616
49.766862392,38.478,31.618
50.767300129,38.462,31.62
51.765304565,38.516,31.62
52.765743256,38.464,31.622
53.766181469,38.542,31.622
54.766620159,38.488,31.624
55.767058372,38.472,31.624
56.767534256,38.552,31.626
57.765490532,38.52,31.626
58.765929699,38.54,31.628
59.766394615,38.556,31.628
60.766837120,38.522,31.63
61.767276287,38.544,31.63
62.765233517,38.568,31.632
63.765673160,38.52,31.632
64.766168117,38.584,31.632
65.766607761,38.53,31.634
66.767162800,38.602,31.634
67.765120983,38.568,31.636
68.765561104,38.566,31.638
69.766001701,38.618,31.638
70.766541481,38.562,31.64
71.766982555,38.568,31.64
72.767423630,38.604,31.64
73.765381813,38.582,31.642
74.765822887,38.576,31.644
75.766308308,38.556,31.644
76.766795635,38.61,31.644
77.767237663,38.6,31.646
78.765229225,38.612,31.646
79.765671253,38.58,31.648
80.766113281,38.648,31.648
81.766555786,38.638,31.648
82.767155170,38.636,31.65
83.765114784,38.65,31.652
84.765557766,38.656,31.652
85.766073704,38.674,31.654
