Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.494884491,94.73828,161.8125,4.06875,248.75,0
1.549371243,94.72656,162.1875,4.06875,253.125,0
2.604205608,94.71094,161.8125,4.068125,263.125,0
3.483225346,94.71094,161.625,4.068125,269.0625,0
4.538069725,94.69922,161.53125,4.069375,259.375,0
5.593114376,94.6875,161.34375,4.06875,254.0625,0
6.472156048,94.67578,161.15625,4.06875,252.1875,0
7.526527882,94.66406,161.0625,4.068125,265.9375,0
8.581458092,94.65234,160.96875,4.06875,264.0625,0
9.636025429,94.65234,161.15625,4.06875,252.8125,0
10.515089512,94.64063,161.25,4.066875,258.125,0
11.570033550,94.62891,161.25,4.066875,254.0625,0
12.624718189,94.61328,161.25,4.06875,254.375,0
13.503538609,94.61328,161.34375,4.066875,248.125,0
14.558599472,94.60156,161.34375,4.066875,260.3125,0
15.613278389,94.58984,161.4375,4.0675,249.0625,0
16.492222309,94.57813,161.25,4.065625,259.6875,0
17.547081947,94.56641,161.34375,4.066875,310,0
18.601945877,94.55469,160.875,4.066875,261.25,0
19.480877876,94.55469,160.875,4.065,257.5,0
20.535726071,94.54297,161.25,4.068125,263.75,0
21.590569019,94.53125,161.0625,4.064375,258.75,0
22.645849705,94.51563,160.96875,4.0675,255.625,0
23.524604321,94.51563,161.25,4.065625,264.0625,0
24.579071522,94.50391,161.15625,4.0675,264.0625,0
25.633785248,94.49219,161.0625,4.066875,285,0
26.512915135,94.48047,161.0625,4.06625,250,0
27.567678929,94.46875,161.53125,4.065,267.8125,0
28.622658729,94.46875,161.25,4.065,269.6875,0
29.501507282,94.45703,161.0625,4.06625,250.9375,0
30.556485653,94.44531,161.15625,4.065,251.875,0
31.610900879,94.43359,161.0625,4.066875,272.8125,0
32.489823818,94.41797,160.6875,4.065,255.3125,0
33.544901848,94.41797,161.0625,4.06375,266.875,0
34.599854469,94.40625,161.0625,4.0675,249.6875,0
35.478477955,94.39453,161.0625,4.065625,252.8125,0
36.533631325,94.38281,161.34375,4.064375,242.5,0
37.587991238,94.37109,161.8125,4.065,264.375,0
38.642949104,94.35938,161.625,4.065,250.9375,0
39.522057533,94.35938,161.71875,4.064375,250.3125,0
40.576769352,94.34766,162,4.065,255.9375,0
41.631956577,94.33594,161.71875,4.065,260.625,0
42.510680199,94.32031,161.25,4.063125,252.8125,0
43.565373421,94.32031,161.71875,4.065,249.375,0
44.620121479,94.30859,161.8125,4.065625,246.875,0
45.499123573,94.29688,161.53125,4.06125,266.875,0
46.553878784,94.28516,161.71875,4.06625,247.8125,0
47.608929157,94.27344,161.53125,4.065625,260.3125,0
48.487705708,94.27344,161.4375,4.06375,250.9375,0
49.542781830,94.26172,161.53125,4.06375,263.4375,0
50.597251892,94.25,161.8125,4.065,268.4375,0
51.476173878,94.23828,161.71875,4.065625,257.8125,0
52.531104565,94.23828,161.53125,4.06375,253.125,0
53.585792065,94.22266,161.8125,4.06375,246.5625,0
54.640805721,94.21094,161.53125,4.064375,253.75,0
55.519792080,94.19922,161.8125,4.064375,250,0
56.574383259,94.1875,161.90625,4.06625,255,0
57.629280567,94.1875,161.8125,4.06125,265.625,0
58.508304119,94.17578,161.90625,4.061875,242.5,0
59.562959671,94.16406,161.8125,4.06375,264.0625,0
60.617750645,94.15234,161.53125,4.06375,261.5625,0
61.496721745,94.14063,161.625,4.06375,258.4375,0
62.551542282,94.14063,161.90625,4.0625,262.5,0
63.606421471,94.125,161.71875,4.065,271.875,0
64.485329151,94.11328,161.8125,4.06125,247.1875,0
65.540180683,94.10156,161.90625,4.065,256.25,0
66.595090866,94.08984,161.625,4.06125,262.1875,0
67.474651814,94.08984,161.8125,4.06125,241.5625,0
68.528654099,94.07813,161.90625,4.061875,258.4375,0
69.583374500,94.06641,160.78125,4.06125,268.125,0
70.638432503,94.05469,160.5,4.06125,249.375,0
71.517390728,94.05469,160.59375,4.063125,258.4375,0
72.572068691,94.04297,160.21875,4.061875,275.625,0
74.505943775,94.01563,160.5,4.06125,273.4375,0
75.560654640,94.00391,160.3125,4.061875,261.875,0
76.615561008,93.99219,160.59375,4.06125,258.75,0
77.494529724,93.99219,160.6875,4.060625,255.625,0
78.549201012,93.98047,160.6875,4.060625,261.5625,0
79.604218960,93.96875,161.0625,4.063125,250.625,0
80.483439446,93.95703,160.59375,4.06125,274.6875,0
81.537810326,93.95703,160.5,4.063125,247.5,0
82.592751980,93.94531,160.78125,4.060625,257.8125,0
83.471789837,93.92969,160.96875,4.0625,255.3125,0
84.526522160,93.91797,160.59375,4.063125,266.25,0
85.581226826,93.90625,161.0625,4.06125,253.4375,0
