Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.644329071,39.374,31.678
1.643439293,39.406,31.68
2.645054340,39.404,31.682
3.644165039,39.386,31.684
4.643276691,39.416,31.684
5.644953728,39.418,31.686
6.644137382,39.414,31.688
7.643249512,39.412,31.69
8.644865513,39.418,31.692
9.643978596,39.466,31.694
10.643091679,39.48,31.696
11.644709110,39.466,31.698
12.643822670,39.486,31.7
13.642936706,39.45,31.702
14.644652367,39.498,31.704
15.643767357,39.562,31.706
16.642882347,39.544,31.708
17.644569397,39.544,31.71
18.643684387,39.544,31.712
19.642843723,39.568,31.714
20.644463539,39.566,31.716
21.643580437,39.582,31.718
22.642696381,39.586,31.72
23.644317627,39.628,31.722
24.643572807,39.62,31.724
25.642691135,39.6,31.726
26.644343376,39.66,31.728
27.643461704,39.632,31.73
28.642580032,39.674,31.734
29.644202709,39.662,31.736
30.643321991,39.684,31.738
31.642441273,39.686,31.74
32.644064903,39.696,31.74
33.643294811,39.728,31.742
34.644918919,39.682,31.746
35.644039631,39.742,31.746
36.643159866,39.7,31.748
37.644785404,39.728,31.75
38.643906593,39.732,31.752
39.643194675,39.782,31.754
40.644821167,39.778,31.756
41.643955707,39.752,31.756
42.643078327,39.772,31.758
43.644705295,39.822,31.762
44.643827915,39.768,31.762
45.642951012,39.824,31.764
46.644577980,39.838,31.766
47.643867969,39.852,31.768
48.642991543,39.79,31.768
49.644619465,39.836,31.77
50.643743515,39.852,31.772
51.642867565,39.854,31.772
52.644496441,39.852,31.774
53.643634796,39.874,31.774
54.642759800,39.862,31.776
55.644418716,39.878,31.778
56.643611431,39.894,31.78
57.642737389,39.934,31.782
58.644408226,39.872,31.784
59.643533707,39.872,31.784
60.642660141,39.926,31.786
61.644289493,39.914,31.786
62.643415928,39.932,31.788
63.642542839,39.922,31.79
64.644176483,39.964,31.79
65.643303394,39.98,31.792
66.642499924,39.962,31.792
67.644131184,39.932,31.792
68.643258572,39.934,31.794
69.642386436,39.97,31.794
70.644143581,39.938,31.796
71.643270969,39.978,31.796
72.642423630,40.03,31.798
74.643276691,39.992,31.798
75.642405033,39.952,31.8
76.644037247,39.996,31.8
77.643165111,39.972,31.802
78.642292976,40.018,31.802
79.643926144,39.976,31.802
80.643054485,39.998,31.804
81.642182350,39.974,31.804
82.644004345,40.08,31.804
83.643133163,40.006,31.806
84.642261982,40.022,31.806
85.643895626,40.008,31.808
