Time (s),W,X,Y,Z
0.016044617,0.8541642,0.3152668,-0.3842631,0.1413501
0.050685883,0.8541099,0.3159328,-0.3840848,0.1406743
0.082856655,0.8543056,0.3152393,-0.384141,0.1408893
0.117501736,0.8543732,0.314997,-0.3841648,0.1409549
0.149672508,0.8544743,0.314459,-0.3842652,0.1412694
0.184317589,0.8545794,0.3128268,-0.3850019,0.1422492
0.216487885,0.8544772,0.3122031,-0.3856333,0.1425229
0.251129150,0.8547592,0.3110535,-0.3857701,0.1429744
0.283299923,0.8538021,0.3136701,-0.3860296,0.1422738
0.317945004,0.8515185,0.3194916,-0.3868381,0.1408026
0.350115776,0.8513549,0.319094,-0.3871491,0.1418351
0.384760857,0.8520253,0.3160101,-0.387481,0.1437935
0.416931152,0.8522909,0.3142349,-0.3879826,0.1447544
0.449097633,0.8523948,0.3139324,-0.3880875,0.1445172
0.483743191,0.852473,0.3145006,-0.3878017,0.1435849
0.515913487,0.8529488,0.3142305,-0.3872027,0.1429658
0.550559044,0.8532009,0.314493,-0.3866986,0.1422472
0.582729340,0.8536227,0.3135479,-0.3864659,0.1424353
0.617374420,0.8542231,0.3121645,-0.3862083,0.1425731
0.649540901,0.8544068,0.3120899,-0.3860458,0.1420743
0.684186459,0.8544747,0.3119763,-0.3861338,0.1416759
0.716356754,0.854413,0.3120633,-0.3863148,0.1413624
0.751002312,0.8543774,0.3121762,-0.3864165,0.1410503
0.783172607,0.8543958,0.3123334,-0.386323,0.1408467
0.817817688,0.854424,0.3124668,-0.3861506,0.1408533
0.849984169,0.8544785,0.3124357,-0.3860658,0.1408237
0.884629726,0.8545199,0.312489,-0.3860315,0.1405482
0.916800022,0.8544981,0.3126356,-0.3860927,0.1401857
0.951445103,0.8545541,0.3123352,-0.3862228,0.1401561
0.983615875,0.8545777,0.3120312,-0.3863617,0.1403056
1.015786648,0.8544386,0.312211,-0.3865469,0.1402431
1.050427437,0.8544188,0.3124152,-0.3865398,0.139928
1.082598209,0.8544912,0.3122692,-0.386569,0.1397313
1.117243290,0.854512,0.3119596,-0.3867497,0.1397957
1.149414063,0.854463,0.3120137,-0.3868664,0.1396512
1.184059143,0.8544701,0.3121169,-0.3868537,0.1394121
1.216229916,0.8545778,0.3121596,-0.3867247,0.1390139
1.250870705,0.8545641,0.3122533,-0.3867223,0.1388945
1.283041477,0.8545029,0.3122536,-0.3868252,0.1389845
1.317686558,0.8544838,0.3120148,-0.3869528,0.1392822
1.349857330,0.8544651,0.3121708,-0.3869593,0.1390291
1.384502411,0.8546095,0.3118217,-0.3869596,0.138923
