Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.582729340,42.368,32.232
1.584945679,42.338,32.232
2.584793568,42.378,32.234
3.584535122,42.352,32.236
4.584276676,42.376,32.236
5.584019184,42.384,32.236
6.583760739,42.42,32.236
7.583503246,42.378,32.238
8.583245278,42.39,32.238
9.582987785,42.402,32.238
10.582809925,42.378,32.24
11.582582951,42.386,32.24
12.584800720,42.44,32.24
13.584543228,42.398,32.24
14.584405899,42.376,32.242
15.584148407,42.43,32.242
16.583891392,42.404,32.242
17.583670139,42.426,32.242
18.583413124,42.382,32.242
19.583155632,42.408,32.242
20.582898617,42.406,32.242
21.582641602,42.392,32.242
22.582458019,42.364,32.242
23.584769249,42.46,32.244
24.584606648,42.408,32.244
25.584349632,42.408,32.242
26.584092617,42.418,32.242
27.583835602,42.406,32.242
28.583578110,42.398,32.242
29.583321095,42.436,32.24
30.583090782,42.37,32.238
31.582832813,42.388,32.238
32.582575321,42.34,32.236
33.584835529,42.352,32.236
34.584577561,42.37,32.236
35.584319115,42.374,32.236
36.584060669,42.35,32.236
37.583802223,42.334,32.234
38.583543301,42.304,32.234
39.583470822,42.334,32.232
40.583211422,42.38,32.23
41.582983017,42.328,32.228
42.582723141,42.302,32.226
43.582463741,42.31,32.226
44.584686756,42.324,32.224
45.584426403,42.326,32.22
46.584165573,42.276,32.218
47.584061146,42.236,32.216
48.583799839,42.274,32.216
49.583539009,42.188,32.216
50.583277226,42.242,32.214
51.583015442,42.236,32.212
52.582754135,42.236,32.21
53.582491875,42.276,32.21
54.584703922,42.134,32.208
55.584544182,42.23,32.208
56.584322453,42.22,32.206
57.584059715,42.188,32.204
58.583824635,42.19,32.202
59.583564282,42.162,32.2
60.583300591,42.158,32.2
61.583036900,42.148,32.198
62.582772732,42.184,32.198
63.582508564,42.164,32.196
64.584732056,42.146,32.194
65.584466934,42.138,32.192
66.584317207,42.108,32.192
67.584052563,42.126,32.19
68.583787441,42.102,32.19
69.583522320,42.11,32.186
70.583302498,42.072,32.182
71.583036900,42.056,32.18
72.582770825,42.112,32.18
73.582505703,42.082,32.18
74.582239151,42.076,32.178
75.584560871,42.048,32.178
76.584294796,42.048,32.176
77.584112167,42.066,32.176
78.583845139,42.036,32.174
79.583578110,42.008,32.174
80.583311558,42.074,32.174
81.583044529,42.034,32.172
82.582776547,42.034,32.172
83.582509041,42.01,32.17
84.582266808,42.032,32.168
85.584473133,41.998,32.166
