Time (s),Humidity (%)
0.854385376,14.02441
1.852761269,13.24121
2.853658676,13.1416
3.852034569,13.60156
4.852932453,13.36621
5.853830337,13.06738
6.852206707,13.2793
7.853105545,12.20996
8.854003906,13.3916
9.852381229,12.24707
10.853280067,14.8584
11.854178429,12.83203
12.852556229,12.77051
13.853455543,14.47363
14.854355335,13.42969
15.852733612,14.15137
16.853633404,13.74121
17.852012157,13.60449
18.852912426,13.89063
19.853812218,13.60449
20.852191448,12.75977
21.853092194,14.01563
22.853992939,13.02051
23.852372169,13.07031
24.853273392,13.44434
25.854174137,12.56055
26.852553844,12.48535
27.853455067,12.00098
28.851834774,12.00098
29.852736473,11.35352
30.853637695,11.2041
31.852017403,11.85156
32.852918625,12.10059
33.853819847,11.65332
34.852200508,12.00098
35.853101730,12.78516
36.854002953,12.28809
37.852383614,11.82715
38.853285313,12.46191
39.854186535,10.73242
40.852566719,12.08789
41.853468418,11.15527
42.851848602,12.67285
43.852749824,11.86426
44.853651524,11.31738
45.852031708,11.61523
46.852932930,11.4541
47.853833199,11.05566
48.852213383,12.54883
49.853114128,12.57324
50.854014397,11.61523
51.852393150,11.82617
52.853293896,11.76367
53.851672173,10.49414
54.852571487,11.24121
55.853470802,12.27344
56.851849556,12.49707
57.852747917,11.7627
58.853646278,11.9248
59.852023601,12.32227
60.852922440,11.48828
61.853820324,11.07813
62.852197647,11.87402
63.853094578,12.50781
64.853992462,11.22656
65.852368355,12.48242
66.853265285,11.84863
67.851641178,12.08398
68.852537632,11.72363
69.853434086,11.33789
70.851809025,11.53613
71.852704048,11.52344
72.853600025,12.36914
73.851973057,11.87207
74.852868557,11.56055
75.853763103,12.19434
76.852136135,11.66016
77.853030682,11.80859
78.853924751,11.67188
79.852297306,11.96973
80.853190422,12.16895
81.851563454,12.16797
82.852456570,11.53418
83.853349209,12.55371
84.851720810,12.86426
