Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.017198086,0.1221184,0.1521595,-0.1552021,0.06274321,-0.4604804,-0.8869361,-0.779773,25.62707,29.96722,1008.651
0.049756527,0.3067008,0.03319764,-0.09400266,0.06812613,-0.4618859,-0.8830957,-0.774092,25.26327,29.96983,1008.653
0.084823608,0.1221184,0.03319764,-0.09400266,0.06813551,-0.4652323,-0.8952312,-0.7724609,25.26585,30.4159,1008.651
0.117385387,0.1221184,-0.0262833,-0.09400266,0.07009209,-0.4647474,-0.8894252,-0.7724609,25.26585,30.4159,1008.651
0.149948120,-0.3701012,0.03319764,0.02839614,0.06470948,-0.46144,-0.8840524,-1.146244,25.62443,29.96841,1008.651
0.185015202,-0.2470463,-0.0262833,-0.03280326,0.07252599,-0.4642385,-0.8874863,-0.778142,25.62966,30.4133,1008.651
0.217577457,-0.06246397,-0.1452452,0.02839614,0.06466527,-0.4594568,-0.8927228,-0.778142,25.62966,30.4133,1008.651
0.250135422,0.06059095,-0.1452452,0.02839614,0.06665365,-0.461408,-0.8855039,-1.140562,25.26062,29.97102,1008.651
0.282697677,0.06059095,0.09267858,-0.03280326,0.06908761,-0.4623261,-0.890354,-1.140562,25.26062,29.97102,1008.653
0.317765236,0.2451733,0.09267858,-0.03280326,0.0695923,-0.4642546,-0.8923175,-1.140562,25.26062,29.97102,1008.651
0.350327492,-0.0009365119,0.2116405,-0.1552021,0.0695496,-0.4603717,-0.8912914,-1.140562,25.26062,29.97102,1008.651
0.382889271,0.1836459,0.09267858,-0.1552021,0.06857488,-0.4599073,-0.8893499,-1.134881,24.89681,29.97363,1008.651
0.417956352,0.06059095,0.03319764,-0.09400266,0.06912948,-0.4657319,-0.8894393,-1.134881,24.89681,29.97363,1008.651
0.450514793,-0.0009365119,-0.08576424,0.08959553,0.07005104,-0.4618187,-0.8922808,-1.138931,25.2632,30.4171,1008.651
0.483077526,0.06059095,-0.1452452,0.02839614,0.06959591,-0.4642612,-0.8908674,-1.140562,25.26062,29.97102,1008.651
0.518144607,-0.1239914,-0.1452452,0.08959553,0.06857932,-0.460391,-0.8898407,-1.140562,25.26062,29.97102,1008.651
0.550706386,0.06059095,0.03319764,0.02839614,0.06373724,-0.4624069,-0.8879332,-1.1373,25.26579,30.86317,1008.651
0.583268642,0.3682282,-0.08576424,0.02839614,0.06669521,-0.4667157,-0.8938023,-1.518395,25.98559,29.96699,1008.653
0.618335724,0.2451733,-0.2047261,-0.03280326,0.06669807,-0.4676721,-0.8972005,-1.518395,25.98559,29.96699,1008.653
0.650894642,0.06059095,0.09267858,-0.3999996,0.06855879,-0.4589267,-0.8912684,-1.142193,25.25804,29.52495,1008.654
0.683456898,-0.06234714,0.330459,-0.2774738,0.07057536,-0.4633074,-0.8840865,-1.146244,25.62443,29.96841,1008.653
0.716018677,-0.0620737,-0.0869372,0.09029667,0.06951254,-0.4569747,-0.8902728,-1.146244,25.62443,29.96841,1008.653
0.751085758,-0.0003123544,-0.2648861,0.02881613,0.06764407,-0.463328,-0.887951,-1.142193,25.25804,29.52495,1008.654
0.783648491,-0.245514,-0.1450498,0.08970615,0.07149617,-0.4603441,-0.8917762,-1.507033,25.25797,29.97221,1008.653
0.816210747,-0.06039393,-0.2038836,0.08939822,0.06177097,-0.4614474,-0.8908169,-1.507033,25.25797,29.97221,1008.653
0.851274013,0.1855947,-0.02516205,-0.03289398,0.06570719,-0.4648001,-0.8903885,-0.775723,25.26068,29.52376,1008.653
0.883835793,0.1851083,0.09379044,-0.09397827,0.06711164,-0.459922,-0.8903155,-0.4206147,25.99095,29.51735,1008.653
0.916398048,0.1843732,-0.08484819,-0.09384453,0.06662793,-0.4604098,-0.8912892,-1.146244,25.62443,29.96841,1008.653
0.951465607,0.1839112,-0.02518152,-0.03242502,0.07112476,-0.4695981,-0.8885335,-1.146244,25.62443,29.96841,1008.653
0.984027863,-0.06227271,0.09358467,-0.09351145,0.06909249,-0.4637618,-0.8952097,-0.7667797,24.90204,30.41852,1008.657
1.016590118,0.06095875,0.152964,-0.03216122,0.06951134,-0.4569726,-0.8907561,-1.140562,25.26062,29.97102,1008.655
1.051652908,0.06096132,-0.0253107,0.09035946,0.06812703,-0.4637899,-0.8918256,-1.140562,25.26062,29.97102,1008.655
1.084215164,-0.1847023,-0.2035012,0.02917543,0.06854435,-0.4589004,-0.8970684,-1.503771,25.26314,30.86435,1008.657
1.116777897,-0.3683193,-0.0839521,-0.09322706,0.06563992,-0.4584943,-0.8878753,-0.7821922,25.99605,30.85675,1008.655
1.149340153,0.06325679,-0.02418495,0.09027131,0.06669882,-0.4667222,-0.8923523,-0.7821922,25.99605,30.85675,1008.655
1.184407234,0.1858022,-0.02392964,-0.03225508,0.0686027,-0.4628118,-0.8918111,-1.140562,25.26062,29.97102,1008.655
1.216969013,0.06226003,0.03557415,0.02896076,0.06663839,-0.4609045,-0.8893632,-1.151925,25.98824,29.9658,1008.655
1.249527454,0.2462218,0.1540552,-0.1544484,0.06714629,-0.4633145,-0.8923008,-1.151925,25.98824,29.9658,1008.655
1.284595012,0.2450833,0.03460374,-0.09297442,0.06713736,-0.4609202,-0.8845301,-1.144613,25.62701,30.41448,1008.653
1.317157268,-0.06283868,-0.1434762,0.1519337,0.06713097,-0.4613841,-0.889371,-0.7854543,25.99088,29.96461,1008.653
1.349719047,-0.1238397,-0.1431527,-0.09306105,0.06952299,-0.4574694,-0.8883469,-0.7854543,25.99088,29.96461,1008.653
1.384786129,-0.184303,-0.1428418,-0.2150131,0.07251029,-0.4627829,-0.8869807,-0.4076211,25.26591,29.96865,1008.653
1.417348862,-0.1222367,-0.02348431,-0.03124875,0.06620496,-0.4648136,-0.8860388,-0.779773,25.62707,29.96722,1008.653
1.449907303,0.06272838,-0.1420892,0.09110446,0.06761708,-0.4609006,-0.8874306,-0.779773,25.62707,29.96722,1008.656
1.484974384,0.06254904,-0.1420998,-0.03155993,0.06863171,-0.4657184,-0.893789,-0.778142,25.62966,30.4133,1008.654
1.517536163,0.4311886,0.03695946,0.1516679,0.0661591,-0.4618761,-0.8908277,-0.779773,25.62707,29.96722,1008.654
1.550098419,0.3071671,0.03677134,0.09063704,0.0690852,-0.4623217,-0.8913207,-0.779773,25.62707,29.96722,1008.654
1.582661152,-0.001027551,0.1548369,-0.09265873,0.06614054,-0.4594641,-0.8869239,-0.778142,25.62966,30.4133,1008.654
1.617728233,-0.06264672,0.09463957,-0.03087986,0.06523708,-0.4648373,-0.8836213,-0.779773,25.62707,29.96722,1008.654
1.650286674,-0.2465106,-0.1432781,0.1525754,0.07005308,-0.462298,-0.8937382,-0.779773,25.62707,29.96722,1008.654
