Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.717570782,46.378,33.036
1.719910145,46.326,33.038
2.719775200,46.372,33.038
3.719639778,46.392,33.038
4.719504833,46.354,33.038
5.719369888,46.46,33.036
6.719234466,46.344,33.038
7.719099522,46.382,33.038
8.718964577,46.364,33.038
9.718829632,46.388,33.038
10.718694687,46.378,33.04
11.718726158,46.388,33.04
12.718591213,46.34,33.04
13.718456268,46.336,33.04
14.718320846,46.36,33.04
15.718420982,46.322,33.04
16.718286037,46.374,33.04
17.718150139,46.352,33.04
18.718015194,46.392,33.04
19.717880249,46.332,33.04
20.717744827,46.352,33.04
21.717609882,46.402,33.04
22.717474461,46.338,33.04
23.719814300,46.326,33.04
24.719679356,46.432,33.04
25.719544411,46.386,33.04
26.719408512,46.366,33.04
27.719273567,46.36,33.04
28.719138622,46.368,33.04
29.719003677,46.4,33.042
30.718869209,46.408,33.042
31.718734264,46.396,33.042
32.718599319,46.372,33.042
33.718464851,46.348,33.04
34.718619823,46.378,33.034
35.718484878,46.36,33.034
36.718350887,46.39,33.036
37.718337536,46.392,33.036
38.718202591,46.366,33.036
39.718067646,46.406,33.036
40.717932224,46.356,33.036
41.717796802,46.356,33.036
42.717661381,46.354,33.036
43.717525482,46.338,33.036
44.717390060,46.304,33.036
45.717254162,46.368,33.036
46.719593525,46.36,33.036
47.719457149,46.282,33.034
48.719320774,46.328,33.034
49.719183445,46.336,33.032
50.719047546,46.378,33.03
51.718910217,46.312,33.028
52.718773365,46.296,33.026
53.718636513,46.348,33.026
54.718499184,46.33,33.026
55.718362331,46.322,33.026
56.718224525,46.312,33.026
57.718178272,46.282,33.024
58.718040466,46.262,33.024
59.718400478,46.28,33.024
60.718262672,46.312,33.022
61.718124866,46.294,33.022
62.717986584,46.272,33.022
63.717848778,46.254,33.02
64.717710495,46.31,33.02
65.717572212,46.256,33.02
66.717433929,46.242,33.018
67.719770908,46.262,33.018
68.719632149,46.258,33.018
69.719493866,46.238,33.018
70.719355106,46.27,33.016
71.719216347,46.266,33.016
72.719078064,46.264,33.016
73.718939781,46.268,33.016
74.718800545,46.238,33.016
75.718662262,46.262,33.016
76.718523979,46.284,33.016
77.718385696,46.272,33.016
78.718246460,46.228,33.012
79.718107700,46.26,33.01
80.717969418,46.26,33.012
81.718012810,46.276,33.012
82.717874050,46.24,33.012
83.717734814,46.264,33.01
84.717596054,46.262,33.01
85.717456341,46.222,33.01
86.717317104,46.246,33.01
87.717177868,46.242,33.008
88.717038155,46.224,33.008
89.719372749,46.164,33.006
90.719233513,46.198,33.006
91.719092846,46.17,33.006
92.718952656,46.192,33.004
93.718811512,46.184,33.004
94.718671322,46.16,33.002
95.718530178,46.13,33
96.718388557,46.196,33
97.718246937,46.132,32.998
98.718447208,46.142,32.996
99.718305111,46.1,32.996
100.718162537,46.112,32.994
101.718020439,46.094,32.99
102.717877388,46.114,32.988
103.717734337,46.092,32.988
104.717591286,46.096,32.986
105.717447758,46.032,32.982
106.717303753,46.028,32.98
107.717159748,46.056,32.978
108.717015266,46.06,32.976
109.719345570,46.032,32.972
110.719200134,45.992,32.97
111.719055176,45.998,32.968
112.718909264,46.022,32.968
113.718762875,46.01,32.964
114.718616486,45.972,32.962
116.718322754,45.95,32.958
117.718174934,45.92,32.956
118.718027115,45.916,32.954
119.717878818,45.93,32.952
120.718030453,45.842,32.95
121.717881679,45.838,32.948
122.717732429,45.902,32.946
123.717583179,45.842,32.942
124.717433453,45.864,32.938
125.717445850,45.82,32.936
126.717294693,45.858,32.934
127.717144489,45.844,32.932
128.716992855,45.79,32.928
129.716840744,45.772,32.926
130.719164848,45.812,32.924
131.719012260,45.76,32.922
132.718860149,45.782,32.922
133.718707085,45.738,32.918
134.718554020,45.75,32.912
135.718400478,45.708,32.91
136.718246460,45.728,32.908
137.718092441,45.726,32.906
138.717961788,45.702,32.904
139.717806816,45.668,32.9
140.717651844,45.628,32.898
141.717496395,45.668,32.894
142.717714786,45.61,32.894
143.717558384,45.634,32.892
144.717401504,45.622,32.89
145.717244148,45.634,32.888
146.717086792,45.596,32.888
147.716928959,45.596,32.886
148.719245434,45.554,32.884
149.719087124,45.542,32.882
150.718928814,45.524,32.88
151.718769550,45.53,32.876
152.718609810,45.518,32.874
153.718450069,45.508,32.872
154.718417168,45.484,32.87
155.718256950,45.47,32.868
156.718096733,45.432,32.866
157.717936516,45.448,32.866
158.717775345,45.46,32.864
159.717669010,45.434,32.862
160.717507362,45.47,32.86
161.717345715,45.422,32.86
162.717184067,45.45,32.858
