Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.452474594,46.312,33.074
1.450985908,46.346,33.074
2.452018261,46.344,33.074
3.450529575,46.296,33.074
4.451562881,46.328,33.074
5.452596187,46.344,33.076
6.451107502,46.302,33.076
7.452140331,46.37,33.076
8.450651646,46.324,33.076
9.451684952,46.352,33.078
10.452718258,46.324,33.078
11.451229572,46.362,33.078
12.452262878,46.354,33.078
13.450774670,46.302,33.076
14.451807499,46.324,33.078
15.450319290,46.288,33.076
16.451352596,46.336,33.076
17.452384949,46.326,33.076
18.450897217,46.284,33.076
19.451930046,46.334,33.076
20.450441360,46.292,33.076
21.451474666,46.316,33.078
22.452507973,46.328,33.078
23.451019287,46.36,33.076
24.452052593,46.352,33.076
25.450563907,46.366,33.076
26.451596737,46.394,33.078
27.452630043,46.356,33.078
28.451142311,46.364,33.078
29.452175617,46.324,33.078
30.450687408,46.352,33.078
31.451720714,46.358,33.078
32.450232506,46.306,33.078
33.451265812,46.336,33.078
34.452299595,46.348,33.078
35.450811386,46.35,33.078
36.451844692,46.342,33.078
37.450356960,46.328,33.076
38.451389789,46.332,33.076
39.452422619,46.31,33.074
40.450933933,46.354,33.074
41.451966286,46.286,33.072
42.450477600,46.334,33.072
43.451509476,46.304,33.07
44.450020313,46.282,33.07
45.451052189,46.262,33.068
46.452083111,46.284,33.068
47.450592995,46.262,33.066
48.451624393,46.252,33.066
49.450134277,46.288,33.064
50.451165199,46.298,33.062
51.452195644,46.226,33.062
52.450704574,46.23,33.06
53.451735496,46.236,33.06
54.450243950,46.184,33.058
55.451273918,46.212,33.056
56.452303886,46.174,33.056
57.450812340,46.216,33.056
58.451841831,46.202,33.054
59.450350284,46.258,33.052
60.451379299,46.152,33.052
61.449886799,46.2,33.05
62.450915813,46.2,33.05
63.451945305,46.22,33.048
64.450452328,46.174,33.048
65.451480865,46.224,33.048
66.449988365,46.148,33.046
67.451016903,46.182,33.046
68.452045441,46.136,33.046
69.450551987,46.186,33.044
70.451580524,46.158,33.044
71.450087070,46.164,33.044
72.451115131,46.19,33.042
73.452143192,46.196,33.042
74.450649738,46.124,33.042
75.451677322,46.158,33.042
76.450183391,46.154,33.042
77.451211452,46.13,33.04
78.449717522,46.154,33.04
79.450745106,46.132,33.04
80.451772690,46.196,33.04
81.450279236,46.142,33.04
82.451306343,46.114,33.038
83.449811458,46.112,33.038
84.450838566,46.108,33.038
85.451866150,46.11,33.036
86.450371265,46.11,33.036
87.451397896,46.098,33.034
88.449903011,46.06,33.034
89.450929165,46.116,33.032
90.451954841,46.108,33.032
91.450459480,46.098,33.03
92.451484680,46.09,33.028
93.449988842,46.008,33.028
94.451013088,46.03,33.026
95.452038765,46.022,33.024
96.450541019,45.994,33.022
97.451565742,46.014,33.02
98.450067520,46.014,33.018
99.451091766,45.984,33.016
100.449592590,45.988,33.014
101.450615883,45.958,33.012
102.451638698,45.974,33.01
103.450139046,45.914,33.008
104.451160908,45.874,33.004
105.449661255,45.892,32.998
106.450682163,45.884,32.994
107.451703071,45.864,32.992
108.450201511,45.826,32.99
109.451221466,45.864,32.988
110.449719429,45.854,32.986
111.450738430,45.804,32.986
112.451757908,45.822,32.984
113.450254440,45.796,32.982
114.451272488,45.764,32.98
115.449769020,45.758,32.978
116.450786114,45.734,32.976
117.451802730,45.74,32.972
118.450297832,45.756,32.97
119.451314449,45.674,32.968
120.449808597,45.686,32.966
121.450823784,45.658,32.962
122.451838970,45.69,32.96
123.450332165,45.652,32.958
124.451346874,45.628,32.956
125.449839592,45.646,32.954
126.450852394,45.594,32.952
127.449344635,45.628,32.95
128.450357914,45.618,32.946
129.451370239,45.592,32.942
130.449861050,45.588,32.94
131.450872898,45.568,32.936
132.449362755,45.576,32.934
133.450374126,45.59,32.932
134.451385498,45.536,32.93
135.449873924,45.49,32.926
137.449372291,45.532,32.922
138.450382233,45.512,32.92
139.451390743,45.476,32.918
140.449878216,45.44,32.916
141.450886726,45.418,32.912
142.449373245,45.446,32.91
143.450380325,45.442,32.908
144.451387882,45.43,32.904
145.449873924,45.4,32.902
146.450880051,45.402,32.9
147.449364662,45.38,32.898
148.450370788,45.386,32.896
149.451375961,45.378,32.894
150.449860096,45.308,32.894
151.450865269,45.264,32.892
152.449348450,45.338,32.888
153.450352192,45.306,32.886
154.451356888,45.308,32.886
155.449839592,45.306,32.884
156.450842857,45.288,32.88
157.449325561,45.232,32.88
158.450327873,45.248,32.878
159.451331138,45.278,32.876
160.449812412,45.226,32.874
161.450815201,45.27,32.874
162.449295521,45.228,32.872
163.450298309,45.216,32.87
