Time (s),Power (dBm),Percentage (%)
0.388868332,-64,72
0.888618946,-64,72
1.389028549,-64,72
1.888882160,-63,74
2.389168263,-62,76
2.888920784,-65,70
3.389162064,-62,76
3.889019012,-57,86
4.388999939,-62,76
4.888926029,-53,94
5.389092922,-47,100
5.888787270,-49,100
6.389066696,-57,86
6.888920784,-51,98
7.388926029,-65,70
7.888892174,-59,82
8.388905048,-55,90
8.888703823,-60,80
9.389059544,-59,82
9.888677597,-59,82
10.388980389,-60,80
10.888874531,-60,80
11.388807774,-57,86
11.888813972,-59,82
12.389044762,-60,80
12.888658047,-73,54
13.389020920,-62,76
13.888761997,-57,86
14.389040947,-55,90
14.888936520,-60,80
15.388860703,-59,82
15.888840675,-49,100
16.389015675,-55,90
16.888667107,-57,86
17.388986588,-57,86
17.888840675,-53,94
18.388798237,-62,76
18.888801098,-57,86
19.388827324,-59,82
19.888592243,-59,82
20.388902187,-53,94
20.888584137,-57,86
21.388845921,-49,100
21.888705730,-49,100
22.388840199,-49,100
22.888844490,-49,100
23.388978481,-49,100
23.888632297,-62,76
24.388953686,-53,94
24.888625145,-55,90
25.388902187,-57,86
25.888768673,-57,86
26.388765335,-57,86
26.888705254,-55,90
27.388926983,-55,90
27.888523579,-55,90
28.388854504,-53,94
28.888709545,-53,94
29.388672829,-53,94
29.888705254,-53,94
30.388848782,-55,90
30.888658524,-55,90
31.389003754,-55,90
31.888613224,-55,90
32.388916969,-55,90
32.888819694,-53,94
33.388751507,-53,94
33.888654232,-55,90
34.388926983,-59,82
34.888545990,-57,86
35.388752937,-65,70
35.888555050,-60,80
36.388860703,-60,80
36.888558388,-59,82
37.389010429,-60,80
37.888976574,-59,82
38.388992310,-59,82
38.888845444,-51,98
39.389105320,-57,86
39.888832092,-62,76
40.388928413,-57,86
40.888918400,-51,98
41.388935566,-47,100
41.888744831,-63,74
42.389030933,-55,90
42.888703823,-55,90
43.389007092,-59,82
43.888881206,-55,90
44.388820171,-51,98
44.888603687,-53,94
45.388985634,-55,90
45.888646126,-47,100
46.388929367,-53,94
46.888655186,-53,94
47.388913632,-62,76
47.888780117,-53,94
48.388757706,-59,82
48.888674259,-69,62
49.388895512,-57,86
50.388634682,-62,76
50.888677120,-53,94
51.388674259,-62,76
51.888681889,-51,98
52.388705731,-49,100
52.888468266,-69,62
53.388791084,-59,82
53.888407707,-57,86
54.388680935,-49,100
54.888618469,-55,90
55.388572693,-59,82
55.888442516,-55,90
56.388814449,-59,82
56.888420582,-53,94
57.388728142,-51,98
57.888503551,-67,66
58.388540268,-51,98
58.888543129,-51,98
59.388506413,-49,100
59.888495922,-59,82
60.388687134,-59,82
60.888302803,-60,80
61.388485909,-60,80
61.888468742,-62,76
62.388448238,-60,80
62.888442516,-62,76
63.388602734,-60,80
63.888369560,-64,72
64.388700485,-62,76
64.888360977,-68,64
65.388763905,-62,76
65.888656139,-69,62
66.388595104,-55,90
66.888477325,-60,80
67.388788700,-57,86
67.888390541,-65,70
68.388705254,-59,82
68.888533592,-51,98
69.388558388,-57,86
69.888556004,-57,86
70.388535977,-53,94
70.888526440,-55,90
71.388709068,-55,90
71.888376236,-55,90
72.388645649,-53,94
72.888545036,-69,62
73.388545513,-55,90
73.888561726,-53,94
74.388779163,-51,98
74.888439178,-53,94
75.388660908,-51,98
75.888391495,-51,98
76.388709068,-55,90
76.888469696,-53,94
77.388580322,-59,82
77.888475418,-65,70
78.388564587,-59,82
78.888350964,-58,84
79.388630390,-71,58
79.888380527,-51,98
80.388486862,-51,98
80.888448715,-55,90
81.388489246,-57,86
81.888454914,-65,70
82.388555050,-65,70
82.888200760,-51,98
83.388456822,-51,98
83.888471127,-53,94
84.388456822,-53,94
84.888411522,-53,94
85.388582230,-55,90
85.888259411,-53,94
86.388554096,-53,94
86.888324261,-53,94
87.388619900,-53,94
87.888533592,-60,80
88.388459683,-51,98
88.888409615,-62,76
89.388651371,-59,82
89.888317585,-65,70
90.388404369,-57,86
90.888443470,-51,98
91.388389587,-53,94
91.888209820,-59,82
92.388354778,-53,94
92.888396263,-57,86
93.388308525,-59,82
93.888218403,-57,86
94.388425350,-53,94
94.888128757,-53,94
95.388331890,-49,100
95.888345242,-49,100
96.388309002,-47,100
96.888126373,-49,100
97.388452053,-49,100
97.888159752,-47,100
98.388410568,-49,100
98.888306618,-55,90
99.388226986,-53,94
99.888174534,-59,82
100.388427258,-49,100
100.888021469,-49,100
101.388350964,-53,94
101.888217926,-51,98
102.388150215,-59,82
102.888494968,-57,86
103.388533115,-57,86
103.888498783,-59,82
104.388636112,-53,94
104.888325691,-53,94
105.388534546,-53,94
105.888456345,-53,94
106.388457298,-53,94
106.888395309,-53,94
107.388560772,-57,86
107.888223648,-59,82
108.388536453,-53,94
108.888220310,-53,94
109.388501167,-57,86
109.888355732,-64,72
110.388346672,-55,90
110.888377190,-55,90
111.388615131,-53,94
