Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.534547806,44.298,32.632
1.534352303,44.342,32.634
2.534156799,44.332,32.636
3.533961773,44.382,32.64
4.533767223,44.394,32.64
5.533573151,44.358,32.642
6.533378601,44.404,32.644
7.533185005,44.406,32.646
8.535466194,44.406,32.648
9.535695076,44.396,32.648
10.535501957,44.404,32.648
11.535308361,44.404,32.648
12.535114765,44.368,32.648
13.534930229,44.4,32.648
14.534736633,44.404,32.648
15.534543038,44.39,32.648
16.534349442,44.434,32.646
17.534155846,44.372,32.646
18.533961296,44.414,32.646
19.533767700,44.38,32.646
20.533573151,44.352,32.646
21.533379078,44.378,32.646
22.533312798,44.36,32.646
23.535593033,44.376,32.646
24.535398483,44.346,32.646
25.535292149,44.38,32.644
26.535097122,44.34,32.644
27.534903050,44.422,32.642
28.534708023,44.366,32.642
29.534512997,44.334,32.642
30.534393788,44.34,32.642
31.534382343,44.3,32.64
32.534186840,44.35,32.64
33.533991814,44.352,32.64
34.533795834,44.33,32.638
35.533600330,44.348,32.638
36.533404827,44.3,32.638
37.535683632,44.332,32.638
38.535488129,44.296,32.638
39.535292149,44.298,32.638
40.535096645,44.336,32.636
41.534901142,44.324,32.636
42.534705162,44.32,32.636
43.534509659,44.328,32.636
44.534313202,44.33,32.634
45.534131527,44.312,32.632
46.533935547,44.302,32.632
47.533774853,44.248,32.632
48.533578873,44.29,32.63
49.533382416,44.346,32.63
50.533307552,44.298,32.63
51.533111096,44.312,32.626
52.535419464,44.248,32.626
53.535221577,44.26,32.622
54.535044193,44.26,32.62
55.534846306,44.276,32.618
56.534647942,44.238,32.618
57.534450531,44.25,32.618
58.534251213,44.278,32.618
59.534057140,44.196,32.616
60.533857823,44.268,32.616
61.533659458,44.228,32.614
62.533460617,44.212,32.614
63.533462525,44.216,32.614
64.533263207,44.202,32.612
65.533148766,44.236,32.612
66.535513401,44.194,32.612
67.535313606,44.176,32.61
68.535113812,44.232,32.61
69.534914971,44.212,32.61
70.534715176,44.204,32.608
71.534514904,44.178,32.606
72.534454823,44.138,32.606
73.534254074,44.15,32.604
74.534053803,44.112,32.604
75.533853531,44.096,32.602
76.533652783,44.094,32.602
77.533451557,44.144,32.6
78.533249855,44.118,32.596
80.535319805,44.108,32.59
81.535117149,44.078,32.588
82.534913540,44.066,32.584
83.534709454,44.068,32.582
84.534505367,44.03,32.578
85.534300804,43.984,32.576
86.534214020,43.978,32.574
87.534102440,43.948,32.572
88.533896446,43.988,32.57
89.533690930,43.966,32.566
90.533484459,43.96,32.564
91.533278465,43.96,32.56
92.533071995,43.91,32.556
93.535339832,43.872,32.554
94.535230637,43.93,32.552
95.535023689,43.93,32.55
96.534815312,43.942,32.55
97.534607411,43.87,32.548
98.534399510,43.874,32.546
99.534194946,43.86,32.546
100.533986092,43.886,32.544
101.533777714,43.866,32.542
102.533782482,43.826,32.542
103.533573151,43.826,32.54
104.533363819,43.794,32.538
105.533154488,43.85,32.536
106.532944679,43.828,32.534
107.535209179,43.812,32.534
108.534998417,43.812,32.534
109.534788132,43.79,32.53
110.534738064,43.792,32.528
111.534526825,43.8,32.526
