Time (s),Power (dBm),Percentage (%)
0.335351467,-64,72
0.834935665,-64,72
1.335274696,-62,76
1.835165977,-62,76
2.335248947,-62,76
2.835269928,-62,76
3.335375309,-62,76
3.835061073,-60,80
4.335415840,-62,76
4.835022449,-60,80
5.335280895,-59,82
5.835284233,-57,86
6.335187435,-53,94
6.835150719,-57,86
7.335358143,-62,76
7.835024357,-59,82
8.335246563,-55,90
8.835173607,-59,82
9.335161686,-53,94
9.835034847,-55,90
10.335394859,-55,90
10.834941387,-60,80
11.335138798,-59,82
11.835096359,-55,90
12.335119724,-55,90
12.834938526,-53,94
13.335078240,-53,94
13.834902286,-59,82
14.335041523,-49,100
14.834887505,-57,86
15.335139752,-55,90
15.834879875,-63,74
16.335000992,-61,78
16.834899902,-49,100
17.334945202,-57,86
17.834788322,-60,80
18.335128307,-65,70
18.834781647,-59,82
19.335132599,-59,82
19.835118294,-63,74
20.335045338,-51,98
20.834897518,-57,86
21.335228443,-51,98
21.834885597,-57,86
22.335142613,-57,86
22.835042953,-62,76
23.335057736,-59,82
23.834951878,-51,98
24.335188866,-51,98
24.834771633,-51,98
25.335017681,-51,98
25.835003853,-51,98
26.334920406,-51,98
26.834941864,-51,98
27.335111141,-51,98
27.834746361,-51,98
28.335052013,-51,98
28.834809303,-51,98
29.334830761,-51,98
29.834867954,-53,94
30.334906578,-61,78
30.834803581,-53,94
31.335182190,-51,98
31.834785938,-61,78
32.335101605,-53,94
32.834998131,-61,78
33.334902763,-51,98
33.834765911,-57,86
34.335092068,-53,94
34.834729195,-47,100
35.335047245,-49,100
35.834943771,-57,86
36.334875107,-47,100
36.834934711,-59,82
37.334928989,-57,86
