Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.332744122,47.632,33.454
1.333451748,47.646,33.452
2.331855774,47.62,33.45
3.332562924,47.594,33.448
4.333269119,47.622,33.446
5.331492901,47.626,33.444
6.332252503,47.644,33.442
7.332958222,47.612,33.44
8.333664894,47.618,33.438
9.331929207,47.59,33.436
10.332634926,47.544,33.434
11.333340168,47.56,33.432
12.331562042,47.576,33.43
13.332266808,47.534,33.43
14.332971096,47.504,33.428
15.333675861,47.536,33.426
16.331896305,47.558,33.426
17.332600594,47.542,33.424
18.333303452,47.474,33.422
19.331698895,47.492,33.42
20.332401753,47.516,33.418
21.333105087,47.436,33.416
22.331324101,47.452,33.414
23.332026959,47.446,33.414
24.332728863,47.484,33.412
25.333431244,47.508,33.41
26.331650257,47.418,33.408
27.332352161,47.456,33.408
28.333053589,47.452,33.406
29.331272125,47.462,33.406
30.332002640,47.446,33.404
31.332845211,47.436,33.402
32.333545685,47.42,33.4
33.331763268,47.424,33.4
34.332463741,47.394,33.398
35.333164215,47.382,33.396
36.331417084,47.398,33.394
37.332117558,47.424,33.394
