Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.574129105,73.76563,120.375,3.921875,268.4375,0
1.452672958,73.75391,120.1875,3.92125,271.5625,0
2.507283211,73.74219,120.28125,3.921875,252.1875,0
3.562156677,73.73047,120.28125,3.921875,250,0
4.616898060,73.73047,120.46875,3.920625,255.3125,0
5.495765686,73.71484,120.375,3.921875,276.25,0
6.550989151,73.70313,120.28125,3.923125,267.8125,0
7.605344296,73.69141,120.28125,3.924375,263.125,0
8.484451294,73.67969,120.375,3.92125,262.5,0
9.539937496,73.66797,119.8125,3.92,283.125,0
10.594059467,73.66797,119.90625,3.92375,258.4375,0
11.473106384,73.65625,120,3.92125,260.9375,0
12.527815819,73.64453,120.28125,3.92125,259.6875,0
13.582734108,73.63281,120.09375,3.920625,279.0625,0
14.461680889,73.61719,120,3.921875,268.125,0
15.516979218,73.60547,120,3.920625,272.1875,0
16.571250439,73.60547,120.28125,3.920625,265.9375,0
17.450130463,73.59375,120.1875,3.92125,257.1875,0
18.505074501,73.58203,120.09375,3.920625,276.5625,0
19.559946060,73.57031,120.1875,3.920625,265.9375,0
20.614927292,73.55859,120.1875,3.9225,253.125,0
21.493517399,73.54688,120.09375,3.92125,278.75,0
22.548362255,73.54688,120.09375,3.921875,267.5,0
23.603182316,73.53516,120.1875,3.91875,265.9375,0
24.482866764,73.51953,119.8125,3.92,266.875,0
