Time (s),Power (dBm),Percentage (%)
0.115362167,-60,80
0.615222454,-62,76
1.115498066,-60,80
1.615136147,-62,76
2.115301132,-61,78
2.615352631,-60,80
3.115292549,-60,80
3.615272045,-47,100
4.115450859,-51,98
4.615112782,-57,86
5.115432739,-60,80
5.615330696,-62,76
6.115310192,-55,90
6.615123272,-49,100
7.115429401,-59,82
7.615300179,-59,82
8.115257740,-69,62
8.615272045,-69,62
9.115474701,-67,66
9.615085602,-67,66
10.115281582,-67,66
10.615294933,-81,38
11.115291595,-69,62
11.615228653,-55,90
12.115393162,-57,86
12.615066528,-53,94
13.115384102,-65,70
13.615237236,-55,90
14.115345478,-43,100
14.615046501,-60,80
15.115371227,-55,90
15.615037441,-59,82
16.115216732,-51,98
16.615214825,-55,90
17.115406990,-61,78
17.615085602,-62,76
18.115314961,-57,86
18.615233898,-55,90
19.115198135,-57,86
19.615196228,-62,76
20.115367413,-61,78
20.615069866,-59,82
21.115312099,-59,82
21.615212441,-60,80
22.115304947,-53,94
22.614995003,-59,82
23.115345478,-55,90
23.615168095,-53,94
24.115224838,-59,82
24.614991665,-65,70
