Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.311776638,71.75,117,3.91125,255.9375,0
1.190721512,71.73828,117,3.909375,259.375,0
2.245461464,71.72656,117.1875,3.90875,255.625,0
3.300389767,71.71484,117.1875,3.91,255.9375,0
4.179499626,71.71484,117.28125,3.911875,264.0625,0
5.234502316,71.70313,117.28125,3.909375,256.875,0
6.289492130,71.69141,117.375,3.911875,255.9375,0
7.343722820,71.67969,117.65625,3.90875,256.5625,0
8.222796917,71.66406,117.65625,3.909375,256.875,0
9.277621269,71.66406,117.375,3.90875,258.125,0
10.332729340,71.65234,117.09375,3.9075,267.5,0
11.211462498,71.64063,117,3.909375,260.625,0
12.266084671,71.62891,117,3.909375,251.5625,0
13.320959091,71.61719,116.90625,3.909375,273.75,0
14.199916363,71.60547,116.90625,3.91,255.9375,0
15.254555702,71.60547,116.90625,3.908125,269.0625,0
16.309603214,71.59375,116.90625,3.909375,272.5,0
17.188332558,71.58203,116.90625,3.91,262.8125,0
18.243281364,71.56641,116.71875,3.908125,259.0625,0
19.298024178,71.55469,116.625,3.908125,280.3125,0
20.177325726,71.54297,116.71875,3.909375,255.625,0
21.232133865,71.54297,116.8125,3.909375,259.0625,0
22.286414623,71.53125,116.90625,3.909375,269.6875,0
23.341326714,71.51953,117.09375,3.909375,253.4375,0
24.220363140,71.50781,117,3.909375,258.4375,0
25.275443554,71.49609,116.90625,3.9075,266.25,0
26.329829693,71.48438,116.90625,3.908125,274.0625,0
27.208992004,71.48438,116.71875,3.90875,271.5625,0
28.263860226,71.46875,116.53125,3.906875,263.125,0
29.318593025,71.45703,116.53125,3.90875,255,0
30.197506428,71.44531,116.53125,3.908125,253.75,0
31.252538681,71.43359,116.25,3.90625,274.0625,0
32.307350636,71.42188,116.34375,3.909375,264.0625,0
33.186525822,71.42188,116.34375,3.9075,263.125,0
34.241741657,71.41016,116.625,3.90625,263.75,0
35.295929432,71.39844,116.71875,3.906875,256.875,0
36.175130844,71.38672,116.625,3.908125,256.5625,0
37.229655266,71.37109,116.34375,3.905625,298.75,0
38.284623146,71.35938,116.0625,3.90625,276.875,0
39.339206219,71.35938,115.96875,3.90875,260,0
