Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.986682415,46.578,33.222
1.987355709,46.562,33.222
2.985546112,46.588,33.222
3.986389160,46.61,33.222
4.987061977,46.584,33.222
5.987735271,46.612,33.222
6.985926151,46.622,33.222
7.986599445,46.674,33.222
8.987273216,46.58,33.224
9.985463619,46.618,33.224
10.986363888,46.588,33.222
11.987037659,46.618,33.222
12.987710953,46.584,33.222
13.985901356,46.608,33.222
14.986574173,46.608,33.22
15.987247467,46.578,33.22
16.987920761,46.574,33.218
17.986267567,46.604,33.216
18.987149239,46.578,33.216
19.987821579,46.58,33.214
20.986011028,46.604,33.214
21.986683369,46.538,33.214
22.987355709,46.532,33.212
23.988028049,46.586,33.212
24.986217022,46.608,33.212
25.986888885,46.534,33.212
26.987561226,46.526,33.212
27.985750675,46.564,33.212
28.986423016,46.53,33.21
29.987095356,46.564,33.212
30.987789631,46.58,33.212
31.986080647,46.584,33.212
32.986752987,46.532,33.212
33.987425804,46.6,33.212
34.985615253,46.582,33.212
35.986287594,46.58,33.212
36.986960411,46.58,33.214
37.987633228,46.61,33.214
38.985847473,46.6,33.214
39.986520767,46.586,33.214
40.987193108,46.586,33.214
41.985431194,46.614,33.214
42.986104012,46.578,33.214
43.986776352,46.598,33.214
44.987449646,46.542,33.216
45.985667229,46.604,33.214
46.986340523,46.518,33.214
47.987012863,46.528,33.214
48.987685204,46.56,33.214
49.985901833,46.566,33.212
50.986574173,46.54,33.212
51.987452984,46.594,33.212
52.985642433,46.552,33.212
53.986313820,46.538,33.212
54.987273216,46.566,33.214
55.987944603,46.57,33.214
56.986134052,46.572,33.212
57.986806393,46.572,33.212
58.987478256,46.582,33.212
59.985667229,46.566,33.212
60.986339569,46.554,33.212
61.987011433,46.512,33.212
62.987682819,46.512,33.212
63.985871315,46.524,33.212
64.986543179,46.53,33.21
65.987215042,46.534,33.208
66.985402584,46.564,33.206
67.986073017,46.51,33.204
68.986743450,46.468,33.202
69.987413883,46.512,33.2
70.985600471,46.442,33.196
71.986413956,46.446,33.194
72.987082958,46.444,33.192
73.987751484,46.4,33.188
74.985936642,46.398,33.184
75.986604214,46.398,33.182
76.987272263,46.352,33.178
77.985455990,46.364,33.176
78.986145020,46.364,33.172
79.986811638,46.368,33.17
80.987477303,46.316,33.166
81.985659599,46.3,33.164
82.986325264,46.272,33.162
83.986989975,46.314,33.158
84.985170841,46.232,33.156
85.985835075,46.26,33.152
86.986498356,46.248,33.15
87.987161636,46.28,33.146
88.985483170,46.186,33.142
89.986208439,46.24,33.14
90.986869812,46.196,33.136
91.987531185,46.116,33.132
92.985708714,46.178,33.128
93.986369133,46.13,33.124
94.987066269,46.108,33.122
95.985241890,46.088,33.118
96.985901356,46.086,33.114
97.986682892,46.05,33.11
98.987340450,46.084,33.108
99.985515118,46.074,33.104
100.986172199,46.002,33.1
101.986847877,46.05,33.098
102.985021114,46.008,33.096
103.985677242,45.97,33.094
104.986560345,45.934,33.092
105.987255573,45.98,33.09
106.985427856,45.93,33.088
107.986083984,45.972,33.086
108.986738205,45.952,33.084
109.987393379,45.926,33.082
110.985564232,45.884,33.082
111.986217976,45.894,33.08
112.986871719,45.918,33.078
113.985131741,45.892,33.076
114.985784531,45.886,33.074
115.986526489,45.888,33.072
116.987179279,45.876,33.07
117.985348701,45.868,33.07
118.986001492,45.826,33.068
119.986653328,45.824,33.066
120.987305641,45.852,33.066
121.985475063,45.87,33.064
122.986151218,45.886,33.064
123.986859322,45.832,33.062
124.985027313,45.806,33.062
125.985678673,45.806,33.06
126.986330509,45.804,33.06
127.986981392,45.842,33.06
128.985149384,45.774,33.058
129.985800266,45.824,33.056
130.986450672,45.8,33.056
131.987217903,45.804,33.056
132.985385418,45.754,33.056
133.986035824,45.834,33.054
134.986685753,45.796,33.054
