Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.029781818,354.7903,-27.5245,-135.9416,-0.350784,2.697394,1.884748,-17.96238,-26.94641,-69.63728,1008.388
0.062558174,-1.223901,-16.47417,22.76763,0.0808614,0.09477318,-0.01710179,-15.45823,-25.21694,-76.00942,1008.388
0.095334530,-57.31896,-7.078434,29.73178,0.09569167,1.156696,0.7605872,-15.45823,-25.21694,-76.00942,1008.388
0.128110886,-40.91908,4.858288,26.2497,-0.007344647,0.5618635,0.6519776,-13.92755,-29.22924,-75.94827,1008.387
0.163408756,-29.67522,4.208269,16.7809,0.06463796,0.5335077,0.760156,-15.37179,-29.96651,-76.80515,1008.387
0.196185112,12.75327,-13.28316,10.54983,0.1643565,0.4628558,0.7759109,-15.37179,-29.96651,-76.80515,1008.391
0.228961468,64.12716,-23.97894,6.395772,0.06986766,0.5722165,0.7172441,-15.04079,-28.13926,-76.39915,1008.391
0.261737824,65.92866,1.430913,-16.08499,0.1246255,0.8249983,0.7225096,-16.48889,-28.48832,-75.52133,1008.391
0.294514179,54.93328,-8.673936,-14.92429,0.1275488,0.8069907,0.6508068,-16.48889,-28.48832,-75.52133,1008.389
0.329812050,35.42736,-8.792121,-10.22044,0.1197871,0.7959267,0.6099262,-16.80451,-31.09924,-75.4798,1008.389
0.362588406,36.17281,-11.03764,-8.509948,0.01836522,0.7677596,0.6034701,-16.39175,-33.64014,-74.63209,1008.389
0.395364761,34.12282,-16.53326,-2.706491,0.05611162,0.8226494,0.6071488,-16.39175,-33.64014,-74.63209,1008.389
0.428141594,17.03961,-5.305653,1.203206,0.05606725,0.8386242,0.5931653,-17.07112,-36.17756,-73.72081,1008.389
0.463438988,-4.39206,8.108386,3.341321,0.06723601,0.8372127,0.5868832,-18.12882,-37.99118,-73.25564,1008.389
0.496215343,-7.373857,9.822074,2.852609,0.06600197,0.7492563,0.6168631,-18.82921,-39.44124,-72.79667,1008.394
0.528992176,16.85324,1.785469,0.6534048,0.06258585,0.7600731,0.635628,-18.82921,-39.44124,-72.79667,1008.39
0.561768532,20.70473,-2.587389,-0.1407525,0.07318349,0.7835847,0.5720278,-17.74374,-39.07943,-72.80381,1008.39
0.594544887,12.44267,-3.47378,0.8977608,0.09528777,0.8811696,0.5708655,-18.0996,-39.4311,-71.92738,1008.39
0.629842758,-9.361722,1.076357,0.8977608,0.08515704,0.8508018,0.5584199,-18.0996,-39.4311,-71.92738,1008.39
0.662619114,-17.62379,6.985625,-0.4461975,0.09981838,0.812999,0.567588,-17.71596,-40.53122,-72.34578,1008.39
0.695395470,-17.18894,10.05844,-1.057088,0.05669033,0.7816796,0.5980632,-18.09356,-39.80148,-72.35677,1008.39
0.728171825,-18.43136,10.59028,-2.401046,0.07552896,0.8252532,0.6080615,-18.09356,-39.80148,-72.35677,1008.392
0.763469696,-15.69804,9.467518,-0.07966346,0.07900581,0.7860885,0.5748983,-17.37362,-39.45068,-73.23366,1008.394
0.796246052,-32.34641,12.48124,-1.362533,0.07406268,0.8356997,0.6412632,-17.38714,-38.7218,-73.24512,1008.394
0.829022407,-17.81015,7.812922,2.486075,0.04386147,0.6758571,0.6641997,-17.38714,-38.7218,-73.24512,1008.394
0.861798763,-12.15716,5.508308,1.936274,0.0326171,0.7099294,0.674765,-17.03128,-38.37013,-74.12154,1008.392
0.894575119,10.95177,-2.055555,1.019939,0.04245794,0.6549564,0.6719363,-16.31665,-37.643,-74.13394,1008.394
0.929872990,18.34414,-4.36017,1.630829,0.05093828,0.7595659,0.6467278,-16.31665,-37.643,-74.13394,1008.394
0.962649345,16.48052,-1.93737,0.5312267,0.06292894,0.8184634,0.6273561,-15.61554,-36.187,-74.15781,1008.392
0.995425701,0.826085,0.5445225,0.4090487,0.06194294,0.8237792,0.6225369,-16.32414,-37.2845,-74.57478,1008.392
1.028202057,-6.193563,1.785469,-0.07966346,0.0571957,0.7809842,0.6375347,-16.32414,-37.2845,-74.57478,1008.398
1.063499928,-3.957215,0.2490591,-0.2629305,0.04710307,0.7385846,0.6458058,-15.94581,-38.00831,-74.12868,1008.396
1.096276283,3.559399,-0.9327945,-0.07966346,0.05048444,0.7449042,0.6400119,-16.68676,-37.27174,-73.70409,1008.396
1.129052639,7.348767,-2.173741,0.5312267,0.05383488,0.763873,0.6322736,-16.68676,-37.27174,-73.70409,1008.394
1.161829472,6.354834,-1.760092,0.9588498,0.05815551,0.7833403,0.6250135,-16.68749,-37.27769,-74.13921,1008.394
1.194605827,2.441225,-0.282775,0.5923157,0.06106368,0.7863137,0.628853,-16.32269,-37.27262,-73.70456,1008.394
1.229903221,0.5776018,0.1308737,0.2257816,0.05963502,0.7731015,0.6216559,-16.32269,-37.27262,-73.70456,1008.393
1.262680054,-0.1057267,0.4263372,0.04251458,0.05525867,0.778019,0.633693,-16.31738,-37.64894,-74.56905,1008.393
1.295456410,0.5154811,0.8990787,-0.2629305,0.05914089,0.7790255,0.6336823,-16.32341,-37.27856,-74.13967,1008.393
1.328232765,-1.907229,1.312727,-0.5683756,0.05428046,0.7804259,0.6308035,-16.32341,-37.27856,-74.13967,1008.393
1.361009121,-1.907229,1.253635,-0.7516426,0.05672712,0.7721534,0.6288847,-15.94509,-38.00237,-73.69357,1008.387
1.396306991,-0.9754176,1.017264,-0.1407525,0.05187735,0.7701848,0.6317873,-16.30916,-38.00149,-73.6931,1008.387
1.429083347,-1.348142,0.4263372,0.1646926,0.05720605,0.7745792,0.6269545,-15.94509,-38.00237,-73.69357,1008.388
1.461859703,-2.77692,0.1308737,0.4701377,0.05284566,0.771664,0.6332269,-15.94509,-38.00237,-73.69357,1008.388
1.494636059,-2.839041,-0.5782384,0.6534048,0.05285629,0.7672842,0.6337149,-15.5885,-37.64474,-74.13489,1008.388
1.529933929,-3.149645,-0.0464043,0.4701377,0.05528205,0.7692927,0.6394824,-15.95934,-37.27943,-74.14014,1008.388
