Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.629842758,43.2,32.472
1.628262997,43.25,32.472
2.629205227,43.218,32.472
3.630147457,43.278,32.472
4.628568172,43.224,32.472
5.629510879,43.282,32.474
6.627932072,43.25,32.474
7.628874779,43.256,32.474
8.629817009,43.258,32.472
9.628238678,43.276,32.472
11.630123615,43.24,32.474
12.628545761,43.292,32.476
13.629487991,43.242,32.476
14.627909183,43.224,32.476
15.628852844,43.318,32.478
16.629796028,43.302,32.478
17.628217697,43.292,32.478
18.629160404,43.282,32.478
19.630104542,43.292,32.48
20.628526211,43.344,32.48
21.629469395,43.29,32.48
22.627892017,43.306,32.48
23.628836155,43.324,32.48
24.629779339,43.302,32.482
25.628201961,43.314,32.482
26.629145622,43.298,32.482
27.627568245,43.29,32.484
28.628512382,43.312,32.484
29.629456043,43.32,32.484
30.627879620,43.308,32.484
31.628823280,43.308,32.486
32.629767895,43.36,32.486
33.628190994,43.33,32.486
34.629135132,43.308,32.486
35.627558231,43.304,32.486
36.628502846,43.332,32.486
37.629447460,43.33,32.486
38.627870560,43.36,32.486
39.628815174,43.314,32.488
40.629759788,43.334,32.488
41.628183365,43.374,32.488
42.629127026,43.332,32.488
43.627550125,43.356,32.486
44.628494263,43.356,32.486
45.629437923,43.292,32.486
46.627860546,43.294,32.486
47.628804684,43.29,32.484
48.629747867,43.318,32.484
49.628170490,43.256,32.484
50.629113674,43.256,32.484
51.627535820,43.27,32.484
52.628479004,43.298,32.482
53.629422188,43.294,32.482
54.627843857,43.252,32.474
55.628786564,43.28,32.472
56.629728794,43.238,32.472
57.628149986,43.198,32.472
58.629091740,43.226,32.472
59.627512932,43.212,32.472
60.628454208,43.226,32.47
61.629395485,43.228,32.468
62.627815246,43.184,32.466
63.628756046,43.228,32.464
64.629696369,43.152,32.462
65.628115654,43.168,32.46
66.629055023,43.122,32.458
67.627473831,43.19,32.456
68.628412723,43.182,32.454
69.629351616,43.132,32.452
70.627769470,43.108,32.45
71.628707886,43.112,32.448
72.629645348,43.114,32.442
73.628061771,43.064,32.44
74.628999710,43.072,32.438
75.627415657,43.074,32.438
76.628352165,43.074,32.436
77.629288673,43.052,32.436
78.627704143,43.074,32.432
79.628640652,43.02,32.43
80.629576683,43.04,32.428
81.627990246,43,32.426
82.628925800,43.016,32.426
83.627339840,43.018,32.426
84.628274918,42.996,32.424
85.629209518,42.998,32.422
86.627622604,42.988,32.42
87.628556728,42.972,32.42
88.629491329,42.95,32.418
89.627903938,42.928,32.418
90.628837585,42.914,32.418
91.627250194,42.944,32.416
92.628183365,42.916,32.412
93.629117012,42.954,32.412
94.627528667,42.892,32.41
95.628461361,42.872,32.408
96.629394054,42.924,32.406
97.627804279,42.912,32.404
98.628736496,42.872,32.402
99.627146244,42.852,32.4
100.628077507,42.82,32.398
101.629008293,42.832,32.396
102.627416611,42.804,32.394
103.628346443,42.796,32.39
104.629276752,42.768,32.388
105.627684593,42.854,32.386
106.628613949,42.78,32.382
107.629542351,42.768,32.382
108.627949715,42.786,32.38
109.628878117,42.718,32.378
110.627285480,42.774,32.376
111.628213406,42.752,32.372
112.629140377,42.766,32.37
113.627547264,42.702,32.37
114.628474235,42.702,32.368
115.629401684,42.656,32.366
116.627807617,42.67,32.366
117.628734112,42.738,32.366
118.627140045,42.666,32.364
119.628066540,42.664,32.364
120.628993034,42.67,32.362
121.627398491,42.72,32.362
122.628324509,42.7,32.362
123.629251003,42.682,32.36
124.627656460,42.7,32.36
125.628582001,42.704,32.36
126.626986504,42.67,32.36
127.627913475,42.65,32.36
128.628839016,42.65,32.36
129.627244472,42.672,32.36
130.628170967,42.664,32.36
131.629096985,42.694,32.358
132.627502441,42.67,32.358
133.628427982,42.644,32.358
134.626832962,42.672,32.358
