Time (s),Power (dBm),Percentage (%)
0.237112999,-60,80
0.736823082,-61,78
1.237061501,-60,80
1.736790657,-60,80
2.237154961,-61,78
2.736899853,-60,80
3.236920357,-59,82
3.736915589,-61,78
4.237043381,-60,80
4.736799240,-60,80
5.237021446,-59,82
5.736660958,-59,82
6.237005711,-60,80
6.736784935,-62,76
7.236817360,-59,82
7.736848831,-59,82
8.236970902,-59,82
8.736692906,-63,74
9.236916542,-57,86
9.736556530,-53,94
10.236765385,-60,80
10.736792088,-61,78
11.236837864,-61,78
11.736695767,-59,82
12.236986637,-60,80
12.736980438,-60,80
13.237051010,-59,82
13.736866951,-59,82
14.237228394,-60,80
14.736972809,-59,82
15.236979961,-61,78
15.736989498,-65,70
16.237126350,-62,76
16.736885071,-62,76
17.237095833,-62,76
17.736771584,-62,76
18.237119675,-62,76
18.736846924,-62,76
19.236873150,-61,78
19.736922741,-60,80
20.237061501,-62,76
20.736678600,-62,76
21.237005234,-60,80
21.736670017,-59,82
22.236768723,-61,78
22.736766815,-57,86
23.236797333,-57,86
23.736832619,-59,82
24.236760616,-59,82
24.736719608,-55,90
25.236937523,-49,100
25.736572266,-51,98
26.236885071,-59,82
26.736681938,-55,90
27.236707687,-57,86
27.736695767,-61,78
28.236677647,-55,90
28.736635685,-55,90
29.236915588,-65,70
30.236977100,-59,82
30.736715794,-64,72
31.236786842,-69,62
31.736784458,-62,76
32.236731052,-62,76
32.736712933,-57,86
33.236854076,-60,80
33.736520291,-57,86
34.236871719,-67,66
34.736637592,-59,82
35.236636639,-59,82
35.736713410,-62,76
36.236643314,-59,82
36.736933708,-60,80
37.237012863,-59,82
37.736681462,-59,82
38.236988068,-59,82
38.736744404,-59,82
39.236900806,-59,82
39.736917496,-59,82
40.236909866,-55,90
40.736914635,-57,86
41.237011433,-61,78
41.736675263,-62,76
42.237036705,-61,78
42.736808777,-55,90
43.236807823,-57,86
43.736816883,-62,76
44.236852169,-57,86
44.736807347,-53,94
45.236923695,-62,76
45.736617565,-59,82
46.236896038,-60,80
46.736712933,-62,76
47.236740112,-75,50
47.736749172,-59,82
48.236743927,-65,70
48.736689568,-62,76
49.236881256,-63,74
49.736528397,-59,82
50.236813545,-60,80
50.736694813,-59,82
51.236716271,-59,82
51.736766815,-64,72
52.236820698,-65,70
52.736841679,-65,70
53.236751080,-59,82
53.736625672,-65,70
54.236936092,-62,76
54.736789227,-60,80
55.236814022,-57,86
55.736752033,-58,84
56.236738205,-59,82
56.736736775,-57,86
57.236673832,-49,100
57.736503601,-65,70
58.236867428,-60,80
58.736517430,-57,86
59.236639023,-59,82
59.736649037,-59,82
60.236636162,-62,76
60.736507893,-64,72
61.236568928,-53,94
61.736393929,-65,70
62.236647129,-55,90
62.736660481,-69,62
63.236632824,-65,70
63.736452103,-51,98
64.236607552,-57,86
64.736608029,-57,86
65.236577511,-57,86
65.736389160,-57,86
66.236708164,-51,98
66.736362934,-51,98
67.236588478,-49,100
67.736526966,-57,86
68.236485958,-59,82
68.736499787,-57,86
69.236498356,-59,82
69.736334324,-49,100
70.236643314,-51,98
70.736252308,-53,94
71.236506939,-53,94
71.736457825,-59,82
72.236443520,-55,90
72.736192227,-55,90
73.236403942,-55,90
73.736248017,-55,90
74.236540794,-55,90
74.736168862,-53,94
75.236760616,-59,82
75.736729622,-55,90
76.236658096,-57,86
76.736706734,-51,98
77.236737728,-53,94
77.736516953,-55,90
78.736468315,-71,58
79.236676216,-62,76
79.736593247,-65,70
80.236577034,-69,62
80.736601353,-71,58
81.236656189,-57,86
81.736339092,-63,74
82.236674786,-59,82
82.736360550,-63,74
83.236747265,-65,70
83.736639500,-55,90
84.736649990,-53,94
85.236663818,-67,66
85.736423969,-59,82
86.236776352,-55,90
86.736389637,-53,94
87.236728191,-53,94
87.736554146,-60,80
88.236558437,-69,62
89.236619473,-69,62
89.736349106,-59,82
90.236608028,-60,80
90.736287594,-63,74
91.236606598,-57,86
91.736590862,-59,82
92.236598015,-59,82
92.736641407,-59,82
93.236736298,-57,86
93.736416817,-57,86
94.236715794,-59,82
94.736354828,-57,86
95.236819267,-57,86
95.736599446,-59,82
96.236572266,-59,82
96.736610413,-55,90
97.236680031,-60,80
97.736374378,-61,78
98.236717701,-59,82
98.736346722,-57,86
99.236588955,-57,86
99.736532211,-60,80
100.236474037,-61,78
100.736366749,-53,94
101.236552239,-53,94
101.736315251,-51,98
102.236521721,-49,100
102.736325741,-47,100
103.236649036,-51,98
103.736325741,-49,100
104.236419678,-49,100
104.736424923,-45,100
105.236531258,-59,82
105.736240387,-62,76
106.236535072,-62,76
106.736254692,-57,86
107.236541748,-59,82
107.736136913,-58,84
108.236310959,-62,76
108.736322403,-60,80
109.236457825,-67,66
109.736169338,-59,82
110.236431122,-59,82
110.736091614,-60,80
111.236371040,-67,66
111.736140728,-60,80
112.236299515,-59,82
112.736124993,-62,76
113.236426830,-59,82
113.736099720,-61,78
114.236225605,-61,78
114.736080647,-62,76
115.236426354,-62,76
115.736070156,-62,76
116.236204147,-62,76
116.736216068,-61,78
117.236300468,-62,76
117.736071587,-57,86
118.236323834,-55,90
118.735962868,-59,82
119.236406803,-62,76
119.736090660,-59,82
120.236245632,-57,86
120.736198902,-60,80
121.236315250,-57,86
121.736087322,-58,84
122.236307621,-57,86
122.735957146,-57,86
123.236340046,-64,72
123.736053467,-59,82
124.736241818,-62,76
125.236356258,-59,82
125.736095429,-57,86
126.236350060,-62,76
126.735987663,-55,90
127.236302853,-55,90
127.736067295,-63,74
128.236098290,-60,80
128.736242294,-62,76
129.236209869,-62,76
129.736166954,-62,76
130.236351490,-62,76
130.736003399,-62,76
131.236369610,-65,70
131.736142159,-57,86
132.236172676,-55,90
132.736138344,-55,90
133.236124516,-62,76
133.736104012,-59,82
134.236246586,-67,66
134.735895634,-62,76
135.236263275,-59,82
135.736013889,-60,80
136.236084461,-62,76
136.736071587,-62,76
137.236023903,-60,80
137.735989094,-64,72
138.236143589,-51,98
138.735821247,-57,86
