Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.233226299,47.402,33.272
1.235160828,47.392,33.274
2.234507561,47.398,33.274
3.233855248,47.396,33.276
4.233202934,47.4,33.278
5.235054970,47.424,33.278
6.234402657,47.406,33.28
7.233750820,47.442,33.282
8.233098984,47.416,33.282
9.234951973,47.398,33.284
10.234301090,47.444,33.286
11.233772755,47.47,33.288
12.233121872,47.468,33.288
13.235237122,47.472,33.29
14.234586716,47.508,33.292
15.233936787,47.486,33.294
16.233287334,47.504,33.296
17.235142231,47.536,33.296
18.234492779,47.58,33.298
19.233843803,47.518,33.3
20.233195305,47.544,33.302
21.235064507,47.556,33.304
22.234416008,47.568,33.306
23.233767986,47.542,33.308
24.233120441,47.566,33.31
25.234977245,47.544,33.312
26.234330177,47.594,33.314
27.233683109,47.606,33.316
28.233036041,47.582,33.318
29.235010147,47.602,33.318
30.234405994,47.632,33.32
31.233759403,47.576,33.322
32.233113289,47.578,33.322
33.234971523,47.65,33.322
34.234325409,47.64,33.322
35.233679295,47.65,33.322
36.233064652,47.652,33.322
37.235153675,47.66,33.322
38.234507084,47.634,33.322
39.233976364,47.652,33.322
40.233329773,47.608,33.32
41.235188007,47.582,33.32
42.234541416,47.626,33.318
43.233895302,47.63,33.316
44.233248234,47.648,33.316
45.235106468,47.622,33.314
46.234459400,47.586,33.314
47.233812332,47.596,33.312
48.233165264,47.628,33.312
49.235085487,47.602,33.31
50.234438419,47.588,33.31
51.233790398,47.574,33.308
52.233325481,47.556,33.308
53.235183239,47.554,33.308
54.234535217,47.604,33.306
55.233888149,47.582,33.306
56.233240604,47.59,33.306
57.235097885,47.574,33.306
58.234450340,47.604,33.304
59.233802319,47.556,33.304
60.233155251,47.562,33.304
61.235012531,47.59,33.304
62.234446526,47.582,33.304
63.233799458,47.588,33.306
64.233151913,47.592,33.306
65.235009193,47.592,33.306
66.234361649,47.6,33.306
67.233714581,47.556,33.306
68.233071327,47.648,33.306
69.234928131,47.602,33.308
70.234281063,47.59,33.308
71.233633995,47.59,33.308
72.232986927,47.604,33.308
73.234844685,47.568,33.31
74.234197617,47.646,33.31
75.233925819,47.61,33.31
76.233278751,47.608,33.312
77.235136986,47.62,33.312
79.233843327,47.664,33.314
80.233197212,47.634,33.316
81.235055447,47.62,33.316
82.234408855,47.582,33.316
83.233913899,47.612,33.316
85.235126495,47.644,33.316
86.234498024,47.612,33.318
87.233852387,47.638,33.318
88.233205795,47.644,33.318
89.235064507,47.62,33.318
90.234418869,47.666,33.318
91.233773232,47.672,33.318
92.233306885,47.672,33.318
93.235165596,47.68,33.318
94.234520435,47.646,33.318
95.233945370,47.678,33.318
96.233300209,47.666,33.318
97.235159397,47.666,33.318
98.234513760,47.676,33.318
99.233868599,47.666,33.318
100.233222961,47.632,33.316
101.235081673,47.646,33.316
102.234493733,47.65,33.318
103.233848095,47.652,33.318
104.233202934,47.6,33.318
105.235062122,47.67,33.318
106.234416962,47.628,33.32
107.233771801,47.656,33.32
108.233126640,47.666,33.32
109.234986782,47.694,33.322
110.234342098,47.634,33.322
111.233795643,47.672,33.324
112.233150482,47.712,33.324
113.232505798,47.696,33.326
114.234366894,47.69,33.326
115.233722687,47.686,33.328
116.233078957,47.72,33.33
117.232434273,47.714,33.332
118.234295368,47.726,33.332
119.233739376,47.726,33.334
120.233096600,47.73,33.334
121.232452869,47.732,33.336
122.234314442,47.7,33.338
123.233671188,47.738,33.338
125.232496262,47.784,33.34
126.234357834,47.788,33.342
127.233715534,47.758,33.342
128.233073235,47.724,33.344
129.232568741,47.78,33.344
130.234431744,47.792,33.346
131.233789921,47.774,33.346
132.233147621,47.762,33.348
133.232506275,47.766,33.348
134.234369278,47.794,33.35
135.233727455,47.754,33.352
136.233086586,47.766,33.352
137.232444763,47.776,33.352
138.234308243,47.792,33.354
