Time (s),W,X,Y,Z
0.000000000,0.5154488,-0.2169038,0.4074997,0.7196088
0.035299301,0.5154407,-0.217044,0.4075541,0.7195415
0.068077087,0.5154783,-0.2170698,0.4074625,0.7195588
0.100854874,0.5154963,-0.2170821,0.4074307,0.7195601
0.133633137,0.515529,-0.217045,0.407332,0.7196038
0.168932438,0.5155549,-0.2169569,0.4072381,0.7196651
0.201709747,0.5155392,-0.2169659,0.4072897,0.7196444
0.234487534,0.5155962,-0.2168495,0.407191,0.7196945
0.267265320,0.515628,-0.2168128,0.4070935,0.7197378
0.300044060,0.515658,-0.2167557,0.4070171,0.7197767
0.335342884,0.5156953,-0.2167177,0.4068763,0.7198411
0.368120670,0.515769,-0.2165677,0.4066896,0.7199389
0.400898457,0.5157695,-0.2164596,0.406583,0.7200313
0.433676243,0.5156851,-0.2165228,0.4067744,0.7199646
0.468976021,0.5155477,-0.2167962,0.407252,0.7197106
0.501753807,0.5155251,-0.2169859,0.407419,0.7195752
0.534531593,0.5156395,-0.2168835,0.4070794,0.7197162
0.567309380,0.5154456,-0.2171497,0.4074098,0.7195879
0.600087166,0.5153376,-0.2172599,0.4076235,0.719511
0.635386944,0.5153536,-0.2171932,0.4075108,0.7195836
0.668164730,0.5153322,-0.2172095,0.4075496,0.719572
0.700942040,0.5153844,-0.2171295,0.4074362,0.719623
0.733719826,0.5154109,-0.2169886,0.4072198,0.7197689
0.769019127,0.5152964,-0.2170387,0.407379,0.7197458
0.801797390,0.5152665,-0.217078,0.4075046,0.7196842
0.834575176,0.5153257,-0.2170693,0.4074371,0.7196828
0.867352962,0.5152242,-0.2172392,0.4076211,0.7195998
0.900130749,0.5151127,-0.2173244,0.407832,0.7195345
0.935430050,0.5149483,-0.2174814,0.4081178,0.7194427
0.968208313,0.5149015,-0.2175701,0.4082957,0.7193484
1.000986099,0.5148824,-0.2176558,0.4084401,0.7192541
1.033763886,0.514864,-0.2176966,0.408554,0.7191903
1.069062710,0.5148391,-0.2177209,0.408586,0.7191824
1.101840496,0.5148005,-0.2177703,0.4086598,0.7191532
1.134619236,0.5147637,-0.2178184,0.4087377,0.7191207
1.167397022,0.51467,-0.217948,0.4088885,0.7190629
1.200174332,0.5145611,-0.2180587,0.4091277,0.7189711
1.235473633,0.514593,-0.2180402,0.4091271,0.7189543
1.268251419,0.5147194,-0.2179071,0.4088748,0.7190476
1.301029682,0.5147364,-0.217879,0.4088337,0.7190674
1.333807468,0.5146436,-0.2180746,0.4090731,0.7189383
1.369106770,0.514561,-0.2182007,0.4092506,0.7188581
1.401884556,0.5144536,-0.2183543,0.4094762,0.71876
1.434662819,0.5145209,-0.2182485,0.40943,0.7187701
1.467440605,0.5146368,-0.2181178,0.4092305,0.7188405
1.500218392,0.5146739,-0.2181526,0.4092426,0.7187965
1.535517216,0.5146582,-0.2182063,0.4093923,0.7187062
1.568295002,0.5146113,-0.2182964,0.409447,0.7186812
1.601073742,0.5144904,-0.2184224,0.4097134,0.7185776
1.633851528,0.5145569,-0.2183119,0.4095451,0.7186595
1.669150353,0.5146879,-0.2181958,0.4092723,0.7187566
1.701928139,0.5145269,-0.2184233,0.409584,0.718625
1.734705925,0.514483,-0.2184636,0.4096757,0.718592
1.767484188,0.5146788,-0.2181423,0.4092915,0.7187682
1.800261975,0.5148599,-0.2179489,0.4090299,0.7188462
1.835561275,0.5148789,-0.2178646,0.4090209,0.7188632
1.868339062,0.5148848,-0.2178059,0.4091,0.7188318
1.901116848,0.5149646,-0.2177193,0.4089724,0.7188734
1.933895111,0.5150316,-0.2176423,0.4087633,0.7189677
1.966672897,0.5150071,-0.2177085,0.4088331,0.7189256
2.001971722,0.5150117,-0.2178022,0.4089054,0.7188528
2.034749508,0.515059,-0.2178481,0.4088852,0.7188163
2.067527294,0.5150028,-0.217947,0.4090075,0.7187571
2.100306034,0.5150799,-0.2177684,0.4088233,0.7188607
2.135604858,0.5152598,-0.217486,0.4084741,0.7190158
2.168382645,0.5152827,-0.2174939,0.4084162,0.71903
2.201160431,0.5153157,-0.2174562,0.4083587,0.7190502
2.233938217,0.5153661,-0.2173339,0.4081724,0.719157
2.266716480,0.5154194,-0.2171765,0.4079576,0.7192881
2.302015781,0.5153994,-0.2171825,0.4079629,0.7192978
2.334793568,0.5153493,-0.2173191,0.4081323,0.7191963
2.367571354,0.5154383,-0.2172517,0.4079463,0.7192584
2.400349140,0.5155172,-0.2171886,0.4077863,0.7193115
2.435648918,0.5155814,-0.2171423,0.4077355,0.7193083
2.468426705,0.5157495,-0.2170283,0.4074992,0.7193562
2.501204014,0.5159172,-0.2169167,0.4071493,0.7194677
2.533981800,0.5159905,-0.2168922,0.4070042,0.7195046
2.566759586,0.5160914,-0.2167956,0.4068097,0.7195713
2.602059364,0.516234,-0.2166156,0.4064717,0.7197142
2.634837151,0.5162793,-0.2165407,0.4062931,0.7198051
2.667614937,0.516322,-0.2164021,0.4060572,0.7199494
2.700392723,0.5163298,-0.2163869,0.4059584,0.720004
2.735692501,0.5162253,-0.2164005,0.4058841,0.7201167
2.768470288,0.5162086,-0.2161041,0.4054267,0.7204751
2.801248074,0.5153449,-0.2167872,0.4053771,0.720916
2.834025860,0.5139124,-0.2166042,0.4047824,0.7223266
2.866803646,0.5134124,-0.2142182,0.4018469,0.7250277
2.902103424,0.5158569,-0.2078644,0.3958784,0.7284175
2.934881210,0.5196357,-0.2025514,0.387807,0.7315635
2.967658997,0.5220771,-0.1999681,0.3835989,0.7327536
3.000436306,0.5230038,-0.2015298,0.3855757,0.7306244
3.035736084,0.5252929,-0.2049647,0.3857407,0.7279345
3.068513870,0.5299121,-0.2058591,0.3791544,0.7277944
3.101291657,0.5373853,-0.2034451,0.3649386,0.7302566
3.134069443,0.5458155,-0.2006431,0.3488545,0.7326363
3.166847229,0.5542117,-0.1963594,0.3319094,0.7353613
3.202147007,0.5612709,-0.195575,0.318665,0.7360745
3.234924793,0.5678985,-0.1945788,0.3037734,0.73755
3.267702580,0.5746456,-0.1913074,0.2847907,0.7407468
3.300480366,0.5800644,-0.1921731,0.2722531,0.7410133
3.335779190,0.5815753,-0.1958581,0.2679872,0.740419
3.368557930,0.5809588,-0.2012991,0.2683701,0.7393041
3.401335716,0.5797003,-0.2058396,0.269063,0.7387899
3.434113503,0.5781906,-0.2092382,0.2685624,0.7392002
3.466891289,0.577644,-0.2115558,0.2647275,0.7403503
3.502190113,0.577791,-0.2126276,0.2567013,0.7427511
3.534968376,0.5753297,-0.2161741,0.2540079,0.7445617
3.567746163,0.5727139,-0.2196523,0.2535952,0.7457002
3.600523949,0.5697883,-0.2221592,0.2570268,0.746024
3.633301735,0.5666386,-0.2243572,0.2665394,0.7444252
3.668601513,0.5629414,-0.227961,0.272138,0.7441099
3.701379299,0.5595264,-0.2316557,0.2748085,0.7445629
3.734157086,0.5568143,-0.2370206,0.2777951,0.7437988
3.766934872,0.5548709,-0.2424504,0.2808107,0.7423672
3.802233696,0.5547069,-0.246184,0.2746426,0.7435676
3.835012436,0.556225,-0.2486894,0.2751208,0.74142
3.867790222,0.5539145,-0.2546764,0.2781518,0.739985
3.900568008,0.5512459,-0.2605289,0.2853073,0.7372109
3.933345795,0.5508602,-0.2616985,0.2880641,0.736012
3.968644619,0.5478011,-0.2643155,0.2963678,0.7340607
4.001422882,0.5426077,-0.2676094,0.3085992,0.7316805
4.034200668,0.5393999,-0.268689,0.3199924,0.728757
4.066978455,0.5396875,-0.2669214,0.3231451,0.7278017
4.102277756,0.5403395,-0.2655891,0.3240092,0.7274211
4.135056019,0.5409197,-0.2652104,0.3228384,0.7276486
4.167833805,0.5451264,-0.2608905,0.3148505,0.7295685
4.200611591,0.5457023,-0.259957,0.3128196,0.7303445
4.233389378,0.5420882,-0.2618832,0.3179507,0.7301319
4.268688679,0.5371528,-0.2601036,0.3320395,0.7281418
4.301466942,0.5351138,-0.254956,0.3437765,0.7260139
4.334244728,0.5418874,-0.2449029,0.3303326,0.7306769
4.367022514,0.5461902,-0.2399118,0.3244933,0.7317448
4.402321339,0.5454017,-0.244266,0.3354541,0.7259266
4.435099125,0.5425224,-0.2504595,0.3537715,0.7172259
4.467877865,0.5461036,-0.2472441,0.3697137,0.7075174
4.500655174,0.5518118,-0.2394365,0.3910277,0.6941893
4.533432961,0.5531879,-0.2416412,0.4332721,0.666705
4.568732262,0.5687147,-0.219213,0.4560023,0.6459092
4.601510525,0.5831769,-0.2079613,0.4998173,0.6028821
4.634288311,0.5920388,-0.2106828,0.5577964,0.5390673
4.667066097,0.6115516,-0.1991677,0.5849797,0.4906765
4.702365399,0.6349565,-0.1826117,0.5992036,0.4484037
4.735143185,0.6556221,-0.1721395,0.6064081,0.4116122
4.767921448,0.6737137,-0.1720566,0.6129097,0.3707774
4.800699234,0.6883572,-0.1849827,0.6198187,0.3231067
4.833477020,0.7002161,-0.2082632,0.6242374,0.2707012
4.868775845,0.7161914,-0.2488519,0.6147617,0.2093756
4.901554584,0.7373598,-0.3026751,0.5809108,0.1544619
4.934332371,0.7418828,-0.3776664,0.5415318,0.1017283
4.967110157,0.7037053,-0.4324026,0.5573193,0.06204601
5.002408981,0.7140782,-0.4204279,0.5526698,0.06720229
5.035186768,0.7379338,-0.3918979,0.5389782,0.08944281
5.067965031,0.7480199,-0.3904595,0.5260193,0.08910047
5.100742817,0.7553257,-0.3901575,0.5151967,0.09197921
5.133520603,0.7575027,-0.3934411,0.5082407,0.09855214
5.168819904,0.7591352,-0.3951465,0.5007409,0.1160136
5.201597691,0.7719253,-0.3759971,0.4875441,0.1472619
5.234375954,0.7854984,-0.352468,0.4714838,0.1819045
5.267153740,0.7947204,-0.3246267,0.4564685,0.2264978
5.302452564,0.8030502,-0.2759196,0.4362776,0.2920072
5.335230351,0.8005376,-0.2337125,0.418921,0.3544726
5.368009091,0.7886928,-0.194672,0.4008332,0.4195553
5.400786877,0.7744972,-0.144547,0.3657247,0.4920704
5.433564663,0.7527986,-0.1157591,0.3313411,0.5538363
5.468863487,0.7145842,-0.1227456,0.3109662,0.6117438
5.501641274,0.6770132,-0.1335909,0.2906883,0.6602533
5.534419537,0.646578,-0.1406284,0.2611594,0.7004169
5.567197323,0.6169437,-0.1697717,0.2514087,0.7238642
5.599975109,0.5975069,-0.1917541,0.2354859,0.7398579
5.635274410,0.5855713,-0.2137448,0.2260182,0.7462995
5.668052673,0.5755975,-0.2398063,0.2356689,0.7431476
5.700830460,0.5658571,-0.2671296,0.2535607,0.7353789
5.733608246,0.556206,-0.289553,0.2728974,0.7272885
5.768907547,0.5433365,-0.3111613,0.3015678,0.7166927
5.801685333,0.5350314,-0.3236622,0.3241019,0.7075097
5.834463596,0.5362011,-0.3221432,0.3276295,0.7056904
5.867241383,0.5397047,-0.3146652,0.3227839,0.7086204
5.900019169,0.5427209,-0.307602,0.3141677,0.7132751
5.935317993,0.5444729,-0.3069996,0.309361,0.7142996
5.968096733,0.5508374,-0.3105936,0.3011861,0.711354
6.000874519,0.5566469,-0.3158546,0.2860686,0.7107549
6.033651829,0.5603494,-0.3202461,0.2796463,0.7084324
6.068951130,0.5613887,-0.3251439,0.2793946,0.7054718
