Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.8314997,-0.07722727,-0.151296,0.116315,0.818494,0.5675406,-21.96626,-29.86026,-65.73139,1008.366
0.035299301,0.2724128,0.3364215,-0.151296,0.1075756,0.8174236,0.5641934,-22.33106,-29.86533,-66.16604,1008.37
0.068077087,-0.1624327,0.2182361,0.03197101,0.1066253,0.8081453,0.5618029,-21.96844,-29.87809,-67.03673,1008.37
0.100854874,-0.7215197,0.2182361,0.2152381,0.1085595,0.8125815,0.5670865,-21.96844,-29.87809,-67.03673,1008.37
0.133633137,-0.7215197,0.04095809,-0.02911801,0.1124319,0.818485,0.5709193,-21.60966,-29.50264,-66.17271,1008.372
0.168932438,-0.03819111,-0.07722727,-0.02911801,0.112447,0.8116499,0.5685228,-22.33855,-29.50684,-66.60688,1008.372
0.201709747,0.3966543,-0.07722727,-0.02911801,0.1119442,0.8184474,0.566107,-22.33855,-29.50684,-66.60688,1008.37
0.234487534,-0.7836405,-0.07722727,0.09306003,0.1114528,0.8213823,0.5685105,-22.68983,-30.24078,-67.03006,1008.37
0.267265320,-0.03819111,0.04095809,0.03197101,0.1056374,0.8159564,0.5656443,-21.23883,-29.86795,-66.16744,1008.37
0.300044060,-0.9700028,0.3364215,-0.02911801,0.1105031,0.8126177,0.56997,-21.23883,-29.86795,-66.16744,1008.37
0.335342884,-0.5972781,0.2182361,0.03197101,0.1095268,0.8140439,0.5661193,-21.59552,-30.22642,-65.78829,1008.37
0.368120670,-1.032124,0.2773288,0.03197101,0.1056676,0.8027898,0.5632573,-21.6029,-29.86707,-66.16698,1008.37
0.400898457,-0.348795,-0.01813459,-0.151296,0.1066414,0.8018306,0.5642191,-21.6029,-29.86707,-66.16698,1008.372
0.433676243,1.204224,-0.313598,-0.151296,0.1144003,0.8077966,0.5723749,-21.59614,-30.23151,-66.16125,1008.372
0.468976021,2.198157,0.1000508,0.03197101,0.1138931,0.815031,0.5627379,-21.60966,-29.50264,-66.17271,1008.372
0.501753807,-2.460901,0.1591434,0.09306003,0.1124204,0.8228514,0.568506,-21.60966,-29.50264,-66.17271,1008.37
0.534531593,1.328466,-0.3726907,0.03197101,0.1095594,0.802936,0.5796142,-22.33106,-29.86533,-66.16604,1008.37
0.567309380,2.136036,-0.5499687,-0.2734741,0.106123,0.8159604,0.5656431,-21.60966,-29.50264,-66.17271,1008.37
0.600087166,-0.5351573,-0.07722727,0.09306003,0.110488,0.8179383,0.5646671,-21.60966,-29.50264,-66.17271,1008.372
0.635386944,0.08605044,-0.01813459,-0.09020703,0.1085618,0.8131221,0.5747875,-22.31754,-30.5942,-66.15458,1008.372
0.668164730,-0.1003119,-0.07722727,0.03197101,0.110013,0.8140581,0.5675622,-21.96553,-29.85431,-65.29628,1008.372
0.700942040,-0.5972781,0.1591434,-0.02911801,0.1080637,0.8159532,0.562269,-21.96095,-30.23658,-66.59589,1008.372
0.733719826,-0.5351573,-0.13632,-0.3956521,0.1032383,0.8047679,0.5704805,-21.96095,-30.23658,-66.59589,1008.372
0.769019127,1.017862,-0.1954126,-0.151296,0.1109821,0.8145397,0.5656338,-21.6029,-29.86707,-66.16698,1008.372
0.801797390,-0.907882,0.3955142,-0.2123851,0.1090446,0.8120717,0.5632353,-22.33709,-29.49495,-65.73666,1008.372
0.834575176,0.2724128,0.3955142,-0.09020703,0.1037106,0.8096154,0.5666211,-22.33709,-29.49495,-65.73666,1008.374
0.867352962,1.701191,-0.13632,-0.2734741,0.1051549,0.8144845,0.564685,-22.69514,-29.86446,-66.16557,1008.373
0.900130749,0.08605044,-0.13632,-0.09020703,0.1114874,0.8057606,0.563239,-21.96626,-29.86026,-65.73139,1008.373
0.935430050,1.514828,-0.1954126,-0.151296,0.1109787,0.8154971,0.5632255,-21.96626,-29.86026,-65.73139,1008.371
0.968208313,0.2724128,0.04095809,-0.02911801,0.1090478,0.8106073,0.5627561,-22.33106,-29.86533,-66.16604,1008.371
1.000986099,0.210292,0.1591434,0.03197101,0.1109717,0.818923,0.5656272,-22.33106,-29.86533,-66.16604,1008.369
1.033763886,0.02392966,-0.07722727,0.154149,0.1109833,0.8140528,0.5656345,-22.33106,-29.86533,-66.16604,1008.369
1.066541672,0.5208958,-0.07722727,-0.151296,0.1071056,0.811602,0.5680542,-21.23207,-30.23238,-66.16171,1008.367
1.101840496,0.7072582,-0.01813459,0.03197101,0.1105011,0.8115767,0.5603444,-21.96698,-29.8662,-66.1665,1008.366
1.134619236,0.1481712,0.1591434,-0.09020703,0.114881,0.8087345,0.566596,-21.96698,-29.8662,-66.1665,1008.366
1.167397022,1.328466,-0.07722727,-0.3345631,0.1090286,0.8188934,0.5637063,-21.96771,-29.87214,-66.60162,1008.366
1.200174332,0.3345335,-0.2545053,-0.02911801,0.11388,0.8198779,0.5593611,-21.58262,-30.96038,-66.14979,1008.366
1.235473633,-1.466969,0.3364215,0.154149,0.1041688,0.8228295,0.5752646,-21.58262,-30.96038,-66.14979,1008.366
1.268251419,0.8314997,0.1591434,0.3374161,0.110988,0.8116009,0.5632313,-21.96022,-30.23064,-66.16077,1008.366
1.301029682,1.017862,-0.313598,-0.02911801,0.112935,0.8101761,0.5661171,-21.58793,-30.58406,-65.28529,1008.367
1.333807468,0.9557413,0.1000508,-0.02911801,0.1070901,0.8179267,0.5670819,-21.58793,-30.58406,-65.28529,1008.367
1.366585255,0.7072582,0.2182361,-0.2123851,0.1080614,0.8169272,0.5622675,-22.33106,-29.86533,-66.16604,1008.367
1.401884556,0.210292,-0.01813459,0.09306003,0.1099852,0.8247358,0.5622512,-21.59614,-30.23151,-66.16125,1008.367
1.434662819,-1.156365,0.1591434,0.2152381,0.111945,0.8174499,0.5627389,-21.59614,-30.23151,-66.16125,1008.367
1.467440605,0.2724128,0.1591434,0.03197101,0.1080736,0.8125707,0.566125,-22.33782,-29.50089,-66.17177,1008.367
1.500218392,0.7693789,-0.07722727,0.2152381,0.1066087,0.8149568,0.5608298,-21.95949,-30.22469,-65.72566,1008.367
1.535517216,-0.4109158,0.2182361,-0.09020703,0.1114498,0.8213354,0.5617716,-21.95949,-30.22469,-65.72566,1008.367
1.568295002,1.204224,-0.13632,-0.151296,0.1041876,0.813022,0.5656522,-21.96698,-29.8662,-66.1665,1008.366
1.601073742,0.5830166,-0.07722727,-0.02911801,0.1099884,0.8237752,0.5641781,-21.96771,-29.87214,-66.60162,1008.366
1.633851528,-3.330592,0.04095809,0.09306003,0.1163051,0.8218763,0.5636846,-21.96771,-29.87214,-66.60162,1008.366
1.666629315,0.1481712,0.04095809,-0.4567411,0.1046849,0.8096738,0.5738391,-21.95949,-30.22469,-65.72566,1008.366
1.701928139,2.011795,-0.1954126,-0.2734741,0.1085394,0.8198434,0.5608179,-21.95346,-30.59507,-66.15504,1008.364
1.734705925,-1.466969,0.1000508,-0.02911801,0.1075518,0.827154,0.5627347,-21.61039,-29.50858,-66.60782,1008.364
1.767484188,-1.901814,-0.07722727,0.3985051,0.1153492,0.816044,0.5665838,-21.61039,-29.50858,-66.60782,1008.364
1.800261975,1.266345,0.2182361,0.2152381,0.1032156,0.8119896,0.5584356,-21.96698,-29.8662,-66.1665,1008.364
1.835561275,-0.03819111,-0.1954126,0.3985051,0.1095233,0.815505,0.5661172,-21.97374,-29.50176,-66.17223,1008.366
1.868339062,-0.03819111,-0.13632,0.09306003,0.1143783,0.8155355,0.5646615,-21.97374,-29.50176,-66.17223,1008.366
1.901116848,-1.52909,0.4546069,-0.151296,0.113417,0.8111341,0.5632263,-21.96022,-30.23064,-66.16077,1008.366
1.933895111,-0.2866742,0.2773288,-0.151296,0.1071151,0.8072053,0.5661353,-21.58938,-30.59595,-66.15552,1008.361
1.966672897,0.4587751,0.1591434,-0.09020703,0.1119549,0.8150784,0.5718884,-21.58938,-30.59595,-66.15552,1008.366
2.001971722,0.2724128,0.1591434,0.03197101,0.1095031,0.8232707,0.5622545,-21.60894,-29.49669,-65.73759,1008.364
2.034749508,0.7072582,0.1591434,0.03197101,0.1104966,0.8155466,0.5709283,-22.7019,-29.50002,-66.1713,1008.364
2.067527294,0.02392966,-0.3726907,0.09306003,0.1124099,0.8252129,0.5579125,-22.7019,-29.50002,-66.1713,1008.36
2.100306034,-2.398781,0.2773288,0.3985051,0.1090374,0.8149905,0.5627495,-21.96771,-29.87214,-66.60162,1008.364
2.135604858,-0.7836405,0.04095809,-0.09020703,0.11293,0.8121175,0.5651514,-21.95346,-30.59507,-66.15504,1008.364
2.168382645,-0.03819111,0.3955142,0.09306003,0.1085496,0.8169714,0.5680427,-21.95346,-30.59507,-66.15504,1008.364
2.201160431,-1.032124,0.1000508,0.2152381,0.1138868,0.8189741,0.5694711,-21.96095,-30.23658,-66.59589,1008.364
2.233938217,-1.342727,0.1000508,-0.151296,0.1095187,0.8164422,0.5608207,-21.96022,-30.23064,-66.16077,1008.36
2.266716480,-0.907882,-0.01813459,-0.02911801,0.1085741,0.8067472,0.5685394,-21.96022,-30.23064,-66.16077,1008.364
2.302015781,1.204224,-0.07722727,-0.2734741,0.1075962,0.8096646,0.5690187,-21.96636,-29.86111,-65.79355,1008.366
2.334793568,-0.1624327,0.3364215,0.09306003,0.1099876,0.8242688,0.5651401,-22.34458,-29.13646,-66.1775,1008.366
2.367571354,-0.4730366,0.2773288,0.03197101,0.1080692,0.8140185,0.5641974,-22.34458,-29.13646,-66.1775,1008.366
2.400349140,0.08605044,0.2773288,0.154149,0.1037126,0.808131,0.5632539,-22.7019,-29.50002,-66.1713,1008.366
2.435648918,-1.156365,0.3364215,0.3374161,0.1148732,0.8116434,0.5646662,-21.97385,-29.50261,-66.23439,1008.366
2.468426705,-1.466969,0.4546069,0.2763271,0.1114677,0.8155547,0.570926,-21.97385,-29.50261,-66.23439,1008.366
2.501204014,-0.7836405,0.1591434,0.154149,0.1027434,0.8091639,0.5728818,-21.96022,-30.23064,-66.16077,1008.366
2.533981800,-0.8457612,0.3364215,-0.151296,0.1002996,0.8134398,0.5603658,-22.33855,-29.50684,-66.60688,1008.366
2.566759586,-1.280607,0.2773288,0.3374161,0.108549,0.8164576,0.5641925,-22.33855,-29.50684,-66.60688,1008.364
2.602059364,-1.280607,0.2182361,-0.2123851,0.102742,0.8076258,0.5618129,-21.60363,-29.87302,-66.60209,1008.364
2.634837151,-1.094244,0.1591434,-0.2123851,0.1124258,0.8204096,0.5675469,-22.33782,-29.50089,-66.17177,1008.364
2.667614937,-0.907882,0.1000508,-0.09020703,0.1129439,0.808295,0.5757471,-22.33179,-29.87127,-66.60115,1008.362
2.700392723,-0.1003119,0.2182361,-0.151296,0.1012765,0.8135383,0.5733601,-22.33179,-29.87127,-66.60115,1008.36
2.735692501,-1.715452,-0.490876,-0.2734741,0.1036799,0.8222681,0.5651581,-22.33106,-29.86533,-66.16604,1008.36
2.768470288,-1.404848,0.2182361,-1.12872,0.09401188,0.8046808,0.5690584,-21.23883,-29.86795,-66.16744,1008.36
2.801248074,1.514828,-2.263657,-3.450103,0.02689431,0.8463592,0.5499003,-21.23883,-29.86795,-66.16744,1008.36
2.834025860,-12.46235,-4.863735,-4.549706,0.0006266676,0.8671261,0.556189,-21.59614,-30.23151,-66.16125,1008.359
2.866803646,-22.65015,-7.581998,0.2763271,0.002545617,0.8814268,0.5792683,-21.24704,-29.5154,-67.0434,1008.36
2.902103424,-36.19248,2.463758,5.529983,0.1435101,0.8228145,0.5958699,-21.24704,-29.5154,-67.0434,1008.36
2.934881210,-31.03646,4.886558,4.552558,0.1133031,0.6689435,0.6370893,-21.96844,-29.87809,-67.03673,1008.36
2.967658997,2.011795,2.522851,3.025333,0.145988,0.610976,0.6664622,-21.61933,-29.16198,-67.91888,1008.36
3.000436306,17.16926,9.909436,3.636223,0.2004635,0.774494,0.6526084,-21.61933,-29.16198,-67.91888,1008.36
3.033214092,-0.6593989,14.81413,4.980181,0.1292003,0.9196455,0.6000901,-20.54604,-28.06024,-67.12942,1008.36
3.068513870,-38.42883,26.04174,8.278989,0.09140822,0.8807104,0.57954,-20.90252,-28.41702,-66.62595,1008.36
3.101291657,-48.11967,31.59645,9.073146,0.03687051,0.7440023,0.596723,-20.90252,-28.41702,-66.62595,1008.362
3.134069443,-60.41959,28.76,12.18869,0.08013156,0.7410359,0.6784564,-19.83203,-27.33821,-67.51476,1008.36
3.166847229,-44.95151,30.47369,7.54592,0.09700771,0.5913335,0.7022287,-17.26595,-25.10899,-68.42369,1008.362
3.202147007,-36.81369,31.12371,6.568496,0.09172305,0.7785523,0.736617,-17.26595,-25.10899,-68.42369,1008.362
3.234924793,-39.36064,34.25562,10.47819,-0.1353589,0.9302396,0.8307926,-16.24279,-21.47913,-69.35262,1008.365
3.267702580,-53.46206,27.22359,11.33344,0.1075756,0.4376019,0.7144694,-14.46442,-19.30875,-70.25957,1008.365
3.300480366,-33.64553,23.97349,-3.938815,-0.08420448,0.4256938,0.7033895,-14.46442,-19.30875,-70.25957,1008.365
3.333258152,11.08143,16.52781,-1.861789,-0.03112077,0.5710206,0.7367399,-12.32841,-16.70219,-70.30346,1008.363
3.368557930,10.58446,9.732158,-3.816637,-0.004152508,0.6723132,0.7726254,-10.54787,-14.51399,-69.90508,1008.363
3.401335716,10.89507,10.79583,-9.925538,0.02236936,0.7378426,0.7089239,-10.54787,-14.51399,-69.90508,1008.361
3.434113503,-2.088177,11.44585,-7.787423,0.1195955,0.6979837,0.7434115,-9.811498,-14.86828,-69.03007,1008.361
3.466891289,-17.05928,14.81413,-9.681182,0.09005597,0.6732297,0.7911736,-8.288474,-15.2423,-69.4614,1008.361
3.502190113,-8.424497,17.29602,-13.28543,-0.04461946,0.5476791,0.8282658,-8.288474,-15.2423,-69.4614,1008.361
3.534968376,5.179955,10.61855,-13.95741,0.008278322,0.554231,0.7963606,-7.54389,-15.94914,-67.71043,1008.361
3.567746163,12.44808,5.832041,-14.20177,0.06800964,0.5401803,0.7351072,-5.737751,-15.23058,-68.15936,1008.361
3.600523949,24.18891,-5.218291,-7.298711,0.255806,0.6040492,0.799068,-5.737751,-15.23058,-68.15936,1008.361
3.633301735,31.89189,-7.522905,-5.282773,0.09366848,0.7776079,0.7385393,-5.360878,-15.96627,-68.58348,1008.361
3.668601513,21.4556,-4.450086,-5.038417,-0.1242145,0.7183263,0.7401081,-4.995347,-15.95525,-67.71372,1008.361
3.701379299,13.19353,1.40009,-5.160595,-0.1765467,0.6665568,0.7123914,-5.324492,-17.8373,-67.68365,1008.359
3.734157086,32.26461,5.59567,-6.13802,-0.0652602,0.6477025,0.8089096,-5.324492,-17.8373,-67.68365,1008.359
3.766934872,1.204224,11.91859,-7.604156,0.02627392,0.7477881,0.8037279,-4.953653,-18.20261,-67.67839,1008.359
3.802233696,-16.37596,18.35969,-13.95741,-0.1011899,0.6272319,0.7098651,-4.925155,-19.64847,-66.78526,1008.358
3.835012436,14.80867,15.99598,-5.038417,0.01366172,0.7231253,0.7041532,-4.925155,-19.64847,-66.78526,1008.358
3.867790222,35.92974,3.350148,-5.343863,-0.04933268,0.6619864,0.6726248,-3.839684,-19.28665,-66.7924,1008.356
3.900568008,18.7844,-0.9636175,-1.189809,-0.04141984,0.8117834,0.702706,-3.104042,-19.64689,-66.35249,1008.358
3.933345795,13.87686,-5.572847,0.154149,-0.03758952,0.6316621,0.7101889,-3.104042,-19.64689,-66.35249,1008.358
3.968644619,44.93725,-15.6186,-1.922878,-0.07414644,0.6983823,0.7534976,-2.334593,-21.82932,-65.88394,1008.362
4.001422882,46.49027,-23.24156,-0.8843642,-0.04460381,0.7034827,0.6109368,-3.420168,-22.19198,-65.93896,1008.36
4.034200668,18.66016,-15.79588,3.2086,0.007374903,0.9032816,0.6345804,-3.420168,-22.19198,-65.93896,1008.36
4.066978455,-5.007853,-6.577422,6.751763,-0.0351617,0.8220986,0.6376919,-3.736189,-24.73623,-65.46326,1008.362
4.102277756,7.416302,-3.681881,7.851365,-0.1276816,0.7187446,0.5942632,-4.814068,-25.45569,-64.95313,1008.362
4.135056019,-24.14105,4.05926,7.362653,-0.1779257,0.8223117,0.629847,-4.814068,-25.45569,-64.95313,1008.362
4.167833805,-30.78798,4.354724,6.751763,-0.1599191,0.6165174,0.7105019,-5.543053,-25.46074,-65.44946,1008.36
4.200611591,13.6905,-7.109256,0.03197101,-0.2551684,0.6336947,0.6336841,-5.564687,-24.37846,-66.27471,1008.36
4.233389378,22.13893,-20.81876,1.070484,-0.2856108,0.7549539,0.5281553,-5.564687,-24.37846,-66.27471,1008.36
4.268688679,47.73269,-42.3285,11.02799,0.3384463,0.905706,0.4450978,-6.305741,-23.64275,-65.91228,1008.358
4.301466942,-22.58803,-11.06847,9.073146,0.5470885,1.029846,0.746711,-6.29898,-24.00719,-65.90655,1008.358
4.334244728,-55.69841,7.486636,5.163448,0.03162653,0.5313243,0.766014,-6.29898,-24.00719,-65.90655,1008.36
4.367022514,4.745109,-0.9636175,12.86066,-0.02544494,0.6303325,0.7144944,-8.510318,-25.82399,-65.875,1008.36
4.402321339,73.38857,-9.236593,12.61631,0.02287219,0.7239722,0.674767,-8.120717,-24.01386,-66.71227,1008.36
4.435099125,53.50992,-17.39138,26.17807,0.1548898,1.188372,0.8321219,-8.120717,-24.01386,-66.71227,1008.362
4.467877865,42.57666,-32.28274,56.17278,0.2415716,1.082898,0.8287058,-8.899987,-24.35348,-65.02722,1008.362
4.500655174,85.87485,-45.57859,46.45963,0.3766339,0.3128754,0.1744127,-11.03952,-26.49921,-62.37936,1008.362
4.533432961,99.23081,-56.8653,84.45699,0.54573,1.581408,0.6414274,-11.03952,-26.49921,-62.37936,1008.362
4.568732262,16.17533,-54.67886,130.1516,0.6073007,1.199069,0.5658025,-14.6382,-28.31481,-58.0561,1008.362
4.601510525,217.0118,-65.37463,170.959,0.6364901,1.107225,0.2101453,-20.0628,-32.96284,-52.38018,1008.364
4.634288311,174.3969,-29.15083,184.2153,0.6401768,1.365802,0.05956198,-20.0628,-32.96284,-52.38018,1008.362
4.667066097,63.38712,11.44585,178.6563,0.4076051,0.935779,-0.006147549,-27.03328,-32.46365,-43.73684,1008.362
4.702365399,37.9176,30.53278,156.7253,0.4293072,0.7639261,-0.1619012,-34.98736,-34.50795,-34.67909,1008.362
