Time (s),W,X,Y,Z
0.000000000,0.2309605,0.7448022,-0.317781,-0.5362554
0.032561779,0.2309928,0.7447861,-0.3177936,-0.5362562
0.067627430,0.2309949,0.7448008,-0.3177873,-0.5362388
0.100185394,0.2310118,0.7447953,-0.3177888,-0.5362383
0.132746697,0.2310025,0.7448108,-0.3177797,-0.5362261
0.165307522,0.2310058,0.7448062,-0.3177963,-0.5362213
0.200374126,0.2309966,0.7448133,-0.3177984,-0.5362141
0.232935428,0.2309904,0.744823,-0.3177638,-0.536224
0.265497207,0.231005,0.7448273,-0.3177708,-0.5362074
0.300559044,0.230991,0.7448439,-0.3177407,-0.5362083
0.333120823,0.2310219,0.7448393,-0.3177429,-0.5362
0.365682125,0.2310439,0.7448443,-0.3177633,-0.5361713
0.400748253,0.2310013,0.7448522,-0.3177381,-0.5361936
0.433309555,0.2309884,0.7448358,-0.3177416,-0.53622
0.465870857,0.2309543,0.7448364,-0.3177157,-0.5362493
0.500933170,0.2309268,0.7448464,-0.3176797,-0.5362686
0.533494472,0.2309348,0.7448289,-0.3176848,-0.5362865
0.566055298,0.2309256,0.744831,-0.317673,-0.5362945
0.598617077,0.2309486,0.7448385,-0.317667,-0.5362777
0.633683205,0.230989,0.7448351,-0.3176974,-0.536247
0.666244984,0.230968,0.7448342,-0.3176863,-0.5362638
0.698801994,0.230974,0.7448198,-0.317697,-0.536275
0.733868599,0.230957,0.7448233,-0.3176889,-0.5362822
0.766429424,0.2309374,0.7448239,-0.3176686,-0.5363016
0.798990726,0.230946,0.7448213,-0.3176711,-0.5363002
0.834057331,0.2309335,0.7448314,-0.3176375,-0.5363114
0.866618156,0.230969,0.744819,-0.3176615,-0.536299
0.899176121,0.2309942,0.744826,-0.3176422,-0.53629
0.934241772,0.2310149,0.7448279,-0.3176514,-0.5362729
0.966804028,0.2310433,0.7448282,-0.3176519,-0.5362601
0.999364853,0.231052,0.744812,-0.3176587,-0.5362749
1.031926155,0.2310602,0.7447878,-0.3176662,-0.5363004
1.066992760,0.2310104,0.7447945,-0.3176419,-0.5363271
1.099549770,0.231008,0.7447936,-0.3176496,-0.5363247
1.132111549,0.2310031,0.7447988,-0.3176438,-0.536323
1.167177200,0.2309893,0.7448237,-0.3176049,-0.5363175
1.199738979,0.2309845,0.7448359,-0.3175897,-0.5363116
1.232300281,0.2309558,0.7448413,-0.3175777,-0.5363235
1.267365932,0.2309622,0.7448382,-0.3175741,-0.5363273
1.299923897,0.2309808,0.7448282,-0.3175974,-0.5363194
