Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.899176121,48.126,33.402
1.898540497,48.142,33.402
2.900410175,48.17,33.402
3.899774075,48.184,33.4
4.899139404,48.172,33.4
5.898503304,48.15,33.4
6.900372982,48.146,33.4
7.899737835,48.156,33.4
8.899102211,48.164,33.4
9.898467064,48.154,33.4
10.900335789,48.14,33.4
11.899701118,48.184,33.4
12.899065971,48.142,33.4
13.898429871,48.162,33.4
14.900299549,48.154,33.4
15.899664402,48.134,33.4
16.899029732,48.132,33.4
17.898394585,48.152,33.402
18.900263786,48.14,33.402
19.899629593,48.148,33.402
20.898994446,48.184,33.402
21.898384094,48.19,33.404
22.900253773,48.146,33.404
23.899728775,48.188,33.404
24.899249077,48.172,33.406
25.898614407,48.176,33.406
26.900484562,48.172,33.406
27.899850368,48.226,33.406
28.899216652,48.176,33.408
29.898799896,48.22,33.408
30.900670528,48.186,33.41
31.900036812,48.184,33.412
32.899402618,48.154,33.412
33.898773670,48.248,33.412
34.900644779,48.188,33.414
35.900011539,48.25,33.414
36.899378300,48.252,33.416
37.898745537,48.238,33.416
38.898112297,48.216,33.418
39.899984360,48.252,33.42
40.899352074,48.23,33.42
41.898720264,48.264,33.422
42.898088455,48.24,33.424
43.899961472,48.258,33.424
44.899330616,48.31,33.426
45.898774624,48.274,33.428
46.898143768,48.276,33.428
47.900017261,48.33,33.43
48.899472713,48.29,33.43
49.898842335,48.334,33.432
50.898211956,48.338,33.432
51.900086403,48.342,33.434
52.899456501,48.308,33.436
53.898826599,48.336,33.436
54.898339748,48.326,33.438
55.900214672,48.318,33.44
56.899584770,48.34,33.442
57.898955822,48.32,33.442
58.898326874,48.336,33.442
59.900727749,48.358,33.442
60.900098324,48.35,33.444
61.899469376,48.396,33.444
62.898840427,48.396,33.446
63.900716782,48.348,33.448
64.900088310,48.384,33.448
65.899459839,48.408,33.45
66.898831367,48.378,33.45
67.898203373,48.392,33.45
68.900079727,48.358,33.452
69.899452209,48.396,33.452
70.898824215,48.408,33.452
71.898196697,48.404,33.454
72.900073528,48.406,33.454
73.899445534,48.396,33.454
74.898818016,48.416,33.454
75.898190021,48.378,33.456
76.900067329,48.43,33.456
77.899439335,48.41,33.456
78.898812294,48.398,33.458
79.898184776,48.426,33.458
80.900062084,48.396,33.458
81.899435043,48.428,33.458
82.898808002,48.442,33.46
83.898180962,48.418,33.46
84.900077343,48.416,33.462
85.899450302,48.448,33.462
86.898823738,48.426,33.464
87.898197174,48.494,33.466
88.900082588,48.456,33.466
89.899671555,48.408,33.466
90.899045944,48.452,33.468
91.898419380,48.472,33.468
92.897793293,48.418,33.47
93.899672031,48.426,33.47
94.899046421,48.466,33.47
95.898419857,48.448,33.472
96.897794247,48.452,33.472
97.899672985,48.51,33.472
98.899047375,48.518,33.474
99.898537636,48.488,33.474
100.897912025,48.504,33.474
101.899791241,48.462,33.476
102.899165630,48.434,33.476
103.898540020,48.502,33.476
104.897914886,48.494,33.476
105.899888515,48.47,33.476
106.899263382,48.47,33.478
107.898638248,48.526,33.478
108.898012638,48.514,33.478
109.899891853,48.488,33.478
110.899267197,48.504,33.48
111.898642063,48.456,33.48
112.898087978,48.5,33.48
113.900033951,48.474,33.48
114.899408817,48.464,33.48
115.898782730,48.538,33.48
116.898157597,48.514,33.48
117.897532940,48.502,33.48
118.899412155,48.476,33.48
119.898786545,48.504,33.48
120.898381710,48.504,33.48
121.897756577,48.44,33.48
122.899635792,48.566,33.48
123.899010181,48.52,33.48
124.898384571,48.468,33.48
125.897759438,48.488,33.48
126.899638176,48.414,33.48
127.899013042,48.44,33.48
128.898469448,48.436,33.48
129.897952557,48.486,33.48
130.899831772,48.482,33.48
131.899206161,48.448,33.482
132.898581028,48.458,33.482
133.897955894,48.506,33.482
134.899835587,48.484,33.482
135.899210453,48.51,33.482
136.898584843,48.514,33.482
137.897964954,48.482,33.48
138.897339344,48.472,33.482
139.899219036,48.524,33.482
140.898593903,48.474,33.482
