Time (s),Humidity (%)
0.556812763,14.57227
1.556066036,15.36133
2.557888508,15.21289
3.557142735,15.74316
4.556396485,15.47266
5.558154583,14.49902
6.557408810,14.62207
7.556663036,14.53613
8.555917740,14.68457
9.557703018,14.08008
10.557014465,13.31641
11.556269169,13.02051
12.558028221,11.60156
13.557293892,12.3418
14.556740761,12.36719
15.558499813,12.0459
16.557754517,11.62695
17.557008743,12.05859
18.556263924,11.55273
19.558022499,12.47754
20.557290077,11.95996
21.556649208,11.14551
22.558464050,11.93457
23.557717800,12.05762
24.556971073,11.45313
25.556224346,13.08105
26.557981968,12.58691
27.557233811,12.50098
28.556486130,11.93359
29.558287144,13.11621
30.557539463,13.04199
31.556943894,12.89453
32.556194782,13.00488
33.557950020,12.94336
34.557200432,12.56055
35.556450844,12.22754
36.558217526,11.36328
37.557466984,11.46191
38.556715965,11.36328
39.555964470,12.11426
40.557717323,10.28906
41.556965351,11.3623
42.556212902,12.29883
43.557968617,11.63281
44.557329655,11.13965
45.556576729,11.06543
46.555822849,11.79199
47.557573795,11.11426
48.556948185,11.92773
49.556255341,11.22461
50.558005333,12.22266
51.557250023,12.78906
52.556495190,12.28418
53.555739403,12
54.557487488,12.41895
55.556731224,12.59082
56.555974484,12.84961
57.557721615,12.50391
58.556964398,12.19531
59.556206703,11.67773
60.557952881,11.2959
61.557199955,11.50391
62.556440830,11.94727
63.555796147,10.93652
64.557695389,11.99609
65.556934834,11.79883
66.556174278,11.92188
67.557917595,11.42871
68.557156086,11.10742
69.556394577,10.36816
70.555632115,12.17871
71.557418823,11.69824
72.556655884,11.63574
73.555921555,11.5
74.557662487,11.72168
75.556906223,11.4502
76.556141853,11.93066
77.557881355,12.25098
78.557116032,11.84375
79.556592465,11.54785
80.555845738,12.26172
81.557583332,12.38477
82.556817055,12.07617
83.556049347,12.08789
84.557785511,11.55859
85.557017326,11.52051
86.556248665,11.7666
87.555495262,11.67969
88.557229996,11.10059
89.556459427,11.80273
90.555689335,11.72754
91.557422161,11.17285
92.556650162,11.77637
93.555877686,11.23438
94.557806969,11.41797
95.557033539,11.7627
96.556342602,11.5166
97.555568218,11.63867
98.557298660,12.86914
99.556523323,13.16406
100.555748463,11.78516
101.557542324,12.28906
102.556772709,12.17773
103.555995941,12.10352
104.557722569,11.15625
105.556944847,12.0293
106.556165695,11.4375
107.555386543,11.53516
108.557110787,12.32227
109.556331158,12.85059
111.557272911,12.46875
112.556491852,12.0752
113.555714131,10.77051
114.557436466,11.10156
116.555869579,11.88867
117.555085659,12.14648
118.556806088,13.01855
119.556386471,12.6748
120.555601120,12.23145
121.557320118,12.23145
122.556548596,12.31738
123.555762768,12.88184
124.557601452,12.12012
125.556814671,12.52539
126.556027413,12.79492
127.557860375,12.03223
128.557072640,12.59766
129.556284905,11.93359
130.555496216,12.25293
131.557212830,11.76074
132.556423664,12.76855
133.555634499,13.03906
134.557349205,12.79297
135.556560516,12.64551
136.555770397,11.8457
137.557499409,11.23145
138.556717873,11.46484
139.555984020,12.74316
140.555222511,11.46484
141.556935787,11.37793
142.556161404,12.5332
143.555369854,12.44727
144.557082653,12.36035
145.556290627,11.63574
146.555499077,12.07813
147.557211399,13.23242
148.556419373,12.24902
149.555627346,11.90527
150.557338715,12.34766
151.556563854,12.26074
152.555770397,11.38867
153.554977417,12.49414
154.556805611,11.46191
155.556012154,12.46973
156.555444241,11.79297
157.557155132,11.87891
158.556360722,12.40723
159.555570126,12.55469
160.557280541,13.29199
161.556486130,12.10059
162.555768490,13.41504
163.557478905,12.02637
164.556684494,12.98438
165.555890560,12.25977
166.555096150,12.68945
167.556806564,13.02148
168.556101322,13.3291
169.555424214,13.15723
170.557135105,12.97266
171.556340695,13.39063
172.555546761,13.21777
173.557257652,13.14453
174.556464195,13.36523
175.555671215,13.42773
176.557382107,12.83789
178.555795193,12.91113
179.555047989,12.23633
180.556906223,12.59277
181.556155205,11.83008
182.555362702,11.58496
183.557074547,12.90039
184.556282044,12.15039
185.555531502,11.87988
186.557243824,12.77734
187.556451798,12.9375
188.555659771,11.99121
189.557372570,11.92969
