Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.010175705,0.1129686,-0.2747862,-0.1660828,-0.035467,-0.6046455,0.8002591,-8.215818,40.21831,-25.28781,1008.448
0.044823647,-0.2550496,0.02189906,0.07902546,-0.03799384,-0.6100316,0.7925264,-8.215561,40.59944,-25.28967,1008.446
0.076996803,0.3588874,0.2584753,0.07879928,-0.04331278,-0.6060919,0.7964644,-7.838136,39.83181,-25.28788,1008.446
0.111644745,-0.1334943,0.139305,0.2011812,-0.03985457,-0.6036525,0.8003082,-7.838136,39.83181,-25.28788,1008.446
0.143814087,-0.3767258,0.2571997,0.139401,-0.04676703,-0.6065933,0.7921545,-8.215818,40.21831,-25.28781,1008.446
0.178461552,0.05461266,-0.03996564,0.1389044,-0.04626881,-0.6090043,0.79454,-7.832101,40.21863,-24.84346,1008.448
0.210635185,0.4839596,0.01871411,0.1386842,-0.04767006,-0.6016864,0.7984694,-7.832101,40.21863,-24.84346,1008.448
0.245282650,-0.069632,-0.1583476,-0.1063806,-0.0472106,-0.6007476,0.7946169,-7.820545,40.23,-23.9509,1008.448
0.277456284,-0.1305285,-0.1576651,-0.04485186,-0.04473196,-0.6060438,0.80178,-8.210041,40.224,-24.84153,1008.448
0.312103748,0.05400739,0.02002511,-0.1672675,-0.04139147,-0.6056458,0.7925942,-8.210041,40.224,-24.84153,1008.448
0.344273090,-0.007778212,-0.09827804,0.01660234,-0.04284294,-0.6094958,0.79595,-8.593501,40.6048,-25.28773,1008.448
0.376445770,0.05341432,0.02030684,-0.04461792,-0.03751406,-0.6090744,0.7910837,-8.215304,40.98057,-25.29153,1008.448
0.411093712,-0.4384357,-0.09828229,0.07813267,-0.04475046,-0.6017085,0.797478,-8.210556,39.46173,-24.83781,1008.448
0.443266869,-0.6808861,0.3159865,0.2004266,-0.03992951,-0.6080728,0.7935246,-8.210556,39.46173,-24.83781,1008.448
0.477914810,1.161814,0.3737472,0.1384518,-0.04581115,-0.6124192,0.7925796,-7.843915,39.82612,-25.73416,1008.448
0.510087967,0.236047,0.2539096,-0.04560841,-0.0451557,-0.5905087,0.8019121,-7.837879,40.21294,-25.28974,1008.448
0.544731617,-1.540767,-0.04222008,-0.04571589,-0.04533142,-0.6104949,0.790663,-7.837879,40.21294,-25.28974,1008.448
0.576904774,-0.2471461,-0.3964338,-0.3515607,-0.04578902,-0.608047,0.7930974,-7.453647,40.97552,-24.84912,1008.446
0.611552715,-0.9213135,-0.5130266,-0.1055422,-0.03992344,-0.6075837,0.7940105,-8.215047,41.36171,-25.29339,1008.446
0.643725872,0.1248503,0.02063421,-0.0440557,-0.04480474,-0.61288,0.7964224,-8.215047,41.36171,-25.29339,1008.444
0.678373814,0.7973006,0.2566895,0.1394031,-0.0413714,-0.6007919,0.792634,-7.459682,40.5887,-25.29354,1008.444
0.710546971,-0.4324365,0.1966809,0.1388541,-0.04041761,-0.6051691,0.792107,-7.837622,40.59407,-25.2916,1008.442
0.745191097,-1.104692,0.0776887,0.01586281,-0.04285302,-0.6109556,0.7954561,-7.837622,40.59407,-25.2916,1008.442
0.777363777,0.1270119,0.1955564,0.199217,-0.04587198,-0.6144089,0.7862978,-7.837365,40.9752,-25.29346,1008.441
0.812011242,1.351786,-0.04228309,0.01498142,-0.0462247,-0.5973585,0.7941536,-7.832101,40.21863,-24.84346,1008.441
0.844184875,-0.4313321,-0.3970533,-0.1688254,-0.04376633,-0.6036403,0.7993809,-7.832101,40.21863,-24.84346,1008.441
0.876358032,-0.4279361,-0.3364355,-0.1070806,-0.04630522,-0.6119388,0.7916242,-7.843657,40.20726,-25.73602,1008.441
0.911005974,0.493104,-0.2763123,0.01590571,-0.04379673,-0.6051186,0.796477,-8.593245,40.98594,-25.2896,1008.439
0.943174839,0.06086918,-0.2167432,-0.04529251,-0.04231671,-0.603177,0.7974432,-8.593245,40.98594,-25.2896,1008.437
0.977822781,-0.06247099,0.07901956,0.07721136,-0.04040944,-0.6061288,0.7935451,-8.204264,40.22968,-24.39525,1008.437
1.009995937,-0.6140491,0.3148807,0.1381067,-0.03946167,-0.6119621,0.7930061,-7.459682,40.5887,-25.29354,1008.437
