Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.576904774,44.822,32.732
1.576724529,44.858,32.734
2.576544762,44.81,32.734
3.576390743,44.814,32.736
4.578685761,44.826,32.736
5.578505993,44.892,32.736
6.578327179,44.816,32.738
7.578147411,44.834,32.738
8.577967644,44.838,32.738
9.577903271,44.862,32.738
10.577723503,44.872,32.738
11.577544689,44.854,32.738
12.577364922,44.85,32.736
13.577185154,44.842,32.736
14.577080727,44.812,32.736
15.576901436,44.82,32.736
16.576721192,44.75,32.734
17.576611996,44.77,32.728
18.576430798,44.716,32.726
19.578725338,44.788,32.724
20.578543663,44.752,32.722
21.578494072,44.778,32.722
22.578312397,44.788,32.718
23.578129769,44.754,32.716
24.577947140,44.736,32.716
25.577764511,44.722,32.714
26.577581406,44.73,32.714
27.577397823,44.714,32.712
28.577214241,44.708,32.71
29.577094555,44.696,32.708
30.576910496,44.668,32.706
31.576725960,44.654,32.706
32.576626301,44.712,32.704
33.576441765,44.644,32.7
34.576256275,44.662,32.698
35.578546047,44.612,32.696
36.578360081,44.626,32.69
37.578174114,44.596,32.69
38.577987671,44.582,32.688
39.577801228,44.616,32.686
40.577614308,44.578,32.684
41.577427387,44.556,32.684
42.577239514,44.534,32.68
43.577052117,44.568,32.678
44.577036858,44.506,32.676
45.576848507,44.498,32.674
46.576659680,44.496,32.67
47.576470852,44.498,32.668
48.576420784,44.474,32.664
49.576305866,44.44,32.662
50.578590393,44.496,32.66
51.578399182,44.44,32.658
52.578208447,44.378,32.656
53.578017235,44.432,32.654
54.577825546,44.412,32.652
55.577633381,44.374,32.65
56.577440739,44.4,32.646
57.577248573,44.412,32.644
58.577055454,44.38,32.642
59.576861859,44.366,32.64
60.576668263,44.342,32.63
61.576589108,44.294,32.626
62.576394081,44.324,32.624
63.576356411,44.272,32.624
64.576183796,44.222,32.622
65.578462601,44.242,32.62
66.578265667,44.208,32.618
67.578068733,44.216,32.616
68.577870846,44.208,32.614
69.577673435,44.158,32.61
70.577475071,44.172,32.604
71.577362061,44.172,32.602
72.577162266,44.132,32.598
73.577007294,44.104,32.596
74.576807022,44.096,32.592
75.576606751,44.084,32.588
76.576405049,44.068,32.586
77.576203346,44.032,32.584
78.578475475,44.014,32.58
79.578489304,43.998,32.578
80.578286171,44.018,32.574
81.578082562,43.992,32.572
82.577878952,43.952,32.566
83.577674389,43.968,32.562
84.577469826,43.916,32.558
85.577263832,43.902,32.554
86.577057839,43.852,32.55
87.576851368,43.896,32.548
88.576644898,43.832,32.544
89.576437473,43.836,32.542
90.576230049,43.796,32.54
91.576107502,43.782,32.536
92.578373432,43.832,32.534
93.578164578,43.78,32.53
94.578180790,43.764,32.528
95.577971459,43.81,32.526
96.577761173,43.756,32.524
97.577550411,43.738,32.522
98.577340126,43.76,32.52
99.577129364,43.73,32.518
100.576917648,43.75,32.516
101.576706410,43.672,32.514
102.576517105,43.672,32.51
103.576304436,43.694,32.508
104.576092243,43.672,32.502
105.575915337,43.646,32.496
106.578176975,43.634,32.494
107.577963352,43.614,32.494
108.577866078,43.63,32.492
109.577651978,43.636,32.492
110.577437401,43.598,32.49
111.577222824,43.582,32.49
112.577006817,43.538,32.486
113.576791287,43.576,32.484
114.576575756,43.544,32.482
115.576358795,43.516,32.478
116.576141834,43.52,32.476
117.575924397,43.464,32.474
118.578181744,43.472,32.472
119.578251362,43.452,32.47
120.578032971,43.47,32.468
121.577814102,43.438,32.466
122.577594757,43.416,32.464
123.577375889,43.46,32.462
124.577240944,43.416,32.46
125.577021122,43.4,32.458
126.576800823,43.378,32.456
127.576702118,43.406,32.454
128.576480866,43.356,32.45
129.576260090,43.34,32.444
130.576038361,43.328,32.442
131.578291416,43.38,32.442
132.578069687,43.364,32.44
133.577847481,43.318,32.438
134.577624798,43.298,32.438
135.577402592,43.294,32.438
136.577179432,43.304,32.436
137.576985836,43.282,32.434
138.576762200,43.296,32.432
139.576553345,43.29,32.432
140.576461792,43.212,32.428
141.576237202,43.272,32.422
142.576013088,43.238,32.42
143.578262806,43.22,32.418
144.578037739,43.18,32.416
145.577811718,43.23,32.414
146.577586174,43.206,32.412
147.577360630,43.212,32.412
148.577134133,43.184,32.41
149.576908112,43.196,32.41
150.576681137,43.176,32.408
151.576454163,43.134,32.406
152.576226711,43.126,32.404
153.575999260,43.152,32.404
154.575851441,43.126,32.402
155.575623989,43.104,32.4
156.578114033,43.102,32.398
157.577886582,43.084,32.398
158.577657700,43.078,32.396
159.577429295,43.14,32.396
160.577200890,43.128,32.394
161.576972008,43.078,32.392
162.576853752,43.086,32.392
163.576624394,43.03,32.392
164.576395512,43.056,32.392
165.576166630,43.074,32.39
166.575937748,43.052,32.39
167.575708389,43.078,32.39
168.577991486,43.084,32.39
169.577762604,43.074,32.388
170.577533722,43.092,32.388
171.577399254,43.126,32.388
172.577170372,43.078,32.388
173.576941490,43.062,32.388
174.576712132,43.084,32.39
175.576483250,43.094,32.39
176.576254845,43.08,32.39
177.576025963,43.114,32.39
178.575799465,43.094,32.39
179.575669766,43.104,32.39
180.578041077,43.05,32.392
181.577886105,43.136,32.392
182.577657700,43.094,32.392
183.577429295,43.096,32.394
184.577201367,43.138,32.394
185.576973438,43.086,32.396
186.576745033,43.126,32.396
187.576518059,43.108,32.396
188.576289654,43.102,32.398
189.576061726,43.12,32.398
