Time (s),W,X,Y,Z
0.000000000,0.3694274,-0.09941191,0.3884651,0.8362793
0.032777309,0.3693447,-0.09934922,0.3885515,0.8362831
0.065554142,0.3693682,-0.09926507,0.3884751,0.8363183
0.100852966,0.3693537,-0.0992479,0.3885101,0.8363106
0.133630753,0.3693021,-0.09926853,0.3886584,0.8362619
0.166407585,0.3691562,-0.099246,0.3887822,0.8362715
0.199184895,0.3690955,-0.09926067,0.3887789,0.8362982
0.231962681,0.3691089,-0.09928047,0.3886655,0.8363426
0.267261028,0.3691314,-0.09930567,0.3886526,0.8363357
0.300037861,0.3691064,-0.09931683,0.3886562,0.8363436
0.332815647,0.3692068,-0.09930538,0.3887006,0.8362801
0.365592957,0.3693971,-0.09931384,0.3886627,0.8362126
0.400891304,0.3693661,-0.09935275,0.3888563,0.8361317
0.433668137,0.3694235,-0.09934993,0.3888571,0.8361064
0.466445923,0.3695396,-0.09945175,0.3891206,0.8359202
0.499223232,0.3694597,-0.09961458,0.3892364,0.8358823
0.532000065,0.3694414,-0.09964111,0.3892358,0.8358876
0.567299366,0.3693801,-0.09966201,0.389452,0.8358113
0.600076199,0.3694672,-0.09962807,0.3894719,0.8357678
0.632853508,0.3696241,-0.09954019,0.3893584,0.8357617
0.665630818,0.3696324,-0.09944233,0.3893327,0.8357816
0.700929642,0.3696526,-0.09949973,0.3894562,0.8357082
0.733706951,0.3695883,-0.09956793,0.3895617,0.8356795
0.766483784,0.3695746,-0.09950619,0.3895131,0.8357154
0.799261570,0.3695449,-0.09949554,0.3894817,0.8357446
0.832038879,0.3694773,-0.09949005,0.3894589,0.8357857
0.867337227,0.3693718,-0.09949682,0.3895252,0.8358007
0.900115013,0.3694041,-0.09949566,0.3896564,0.8357254
0.932891846,0.369394,-0.09949233,0.3898009,0.8356627
0.965669155,0.3693824,-0.09941819,0.3897768,0.835688
1.000967503,0.369441,-0.09943032,0.3898265,0.8356374
1.033745289,0.369444,-0.09942103,0.3898624,0.8356206
1.066522121,0.3694305,-0.09946287,0.3899926,0.8355609
1.099299431,0.3695315,-0.09948446,0.3899072,0.8355533
1.132077217,0.3695022,-0.09944986,0.3898877,0.8355795
1.167375565,0.3694498,-0.09938202,0.3897599,0.8356704
1.200152397,0.3694634,-0.09941536,0.3897959,0.8356435
1.232929707,0.3694808,-0.09940122,0.389825,0.835624
1.265707493,0.3696001,-0.09938996,0.3897598,0.8356029
1.301005840,0.3698834,-0.09949671,0.3897559,0.8354668
1.333783150,0.3698074,-0.0994694,0.389774,0.8354952
1.366560936,0.3698071,-0.09941099,0.3897315,0.8355222
1.399337769,0.3698823,-0.09944557,0.3898523,0.8354283
1.432115078,0.3697532,-0.09948629,0.3899576,0.8354315
1.467413902,0.3696251,-0.09949144,0.3899651,0.835484
1.500191212,0.369497,-0.09942149,0.3900208,0.835523
1.532968044,0.3695284,-0.09933022,0.3900578,0.8355027
1.565745354,0.369677,-0.09918969,0.3899223,0.8355169
1.601044178,0.3698561,-0.09915484,0.3898001,0.8354988
1.633821488,0.3697839,-0.09913878,0.3898758,0.8354974
1.666598320,0.3697823,-0.0992232,0.3900056,0.8354275
1.699376106,0.369912,-0.09928221,0.3899007,0.8354121
1.732153416,0.3699927,-0.09926077,0.3897265,0.8354601
1.767451763,0.3700776,-0.09925529,0.3894565,0.8355491
1.800229550,0.370138,-0.09922676,0.3892529,0.8356205
1.833006382,0.3701819,-0.09923332,0.3892676,0.8355936
1.865783691,0.3702112,-0.09920897,0.3892361,0.8355981
1.901082039,0.3702701,-0.09912825,0.38901,0.8356869
1.933859825,0.3703694,-0.09918566,0.3889281,0.8356743
1.966637135,0.3704303,-0.09918369,0.3888112,0.8357018
1.999413967,0.3703816,-0.09925947,0.3888843,0.8356804
2.032191753,0.3702827,-0.09927327,0.3888403,0.8357431
2.067490101,0.370156,-0.0992699,0.3888377,0.8358008
2.100267410,0.3700699,-0.09934232,0.3886257,0.8359289
2.133045197,0.3696477,-0.09961004,0.3883891,0.8361937
2.165822029,0.3645795,-0.1012873,0.3926669,0.8362196
2.198599339,0.3543575,-0.117435,0.4482785,0.8101318
2.233897686,0.3460281,-0.1376796,0.5472419,0.7473035
2.266675472,0.352551,-0.1377115,0.6208252,0.6840664
2.299452305,0.3769254,-0.1237886,0.6678135,0.6271014
2.332229614,0.4123971,-0.105859,0.708053,0.5603667
2.367528439,0.4589261,-0.08467656,0.7325642,0.4921324
2.400305748,0.5074369,-0.06186214,0.7345942,0.4423571
2.433082581,0.5570667,-0.03787016,0.7225378,0.4034961
2.465860367,0.6045243,-0.0129833,0.70042,0.3747282
2.498637676,0.6480247,0.00420475,0.6783527,0.3413379
2.533936024,0.6918057,0.01033847,0.6529178,0.3026944
2.566713333,0.7320055,0.006685548,0.6237246,0.267803
2.599491120,0.7745935,-0.009987211,0.5845663,0.2341263
2.632267952,0.8174185,-0.03873625,0.5332966,0.2062735
2.667566300,0.8504296,-0.06478146,0.4865333,0.1802376
2.700344086,0.8298324,-0.1181349,0.5237771,0.1403838
2.733121395,0.8444088,-0.07926045,0.5022747,0.1582378
2.765898228,0.8531449,-0.05318417,0.4897236,0.1615973
2.798676014,0.8592947,-0.02595348,0.4784105,0.1693818
2.833974361,0.862262,-0.02844165,0.4741155,0.1659439
2.866751671,0.8605617,-0.03706768,0.475075,0.1702671
2.899529457,0.8578458,-0.04288685,0.4777795,0.1749736
2.932306290,0.8574696,-0.03715716,0.4762013,0.1822781
2.967604637,0.8577048,-0.02857486,0.4741533,0.1879692
3.000381947,0.8552961,-0.01789732,0.4732614,0.2019889
3.033159733,0.8495225,0.008863295,0.4690188,0.234269
3.065936565,0.8418599,0.04367448,0.4647105,0.2646439
3.098713875,0.8313805,0.07881311,0.4605657,0.2951302
3.134013176,0.813059,0.1250533,0.4515124,0.340677
3.166790009,0.7880492,0.1690665,0.4381836,0.393723
3.199567318,0.7583168,0.2125541,0.4154927,0.4514089
3.232345104,0.729409,0.2351044,0.3966393,0.5019894
3.267643452,0.7031671,0.2237151,0.3931643,0.5454878
3.300420284,0.6792386,0.1869937,0.4072805,0.5782893
3.333198071,0.6514868,0.1399622,0.4279588,0.6078275
3.365975380,0.6209158,0.09214943,0.4493618,0.6329877
3.398752213,0.5872715,0.0479463,0.4690393,0.6553192
3.434051514,0.5531777,0.02360331,0.4625492,0.6900096
3.466828346,0.5265638,0.006459593,0.4533661,0.7167814
3.499605656,0.504997,-0.00947597,0.4468873,0.7360758
3.532382488,0.4903417,-0.02059313,0.4338603,0.7533485
3.567681790,0.4814566,-0.02882173,0.4179786,0.7676526
3.600458622,0.4770104,-0.03612756,0.4031696,0.7779703
3.633235932,0.4717154,-0.04315299,0.3878982,0.7885335
3.666013718,0.4648349,-0.050243,0.3705554,0.8004502
3.698790550,0.4562231,-0.05854365,0.3532594,0.8125692
3.734089375,0.4468834,-0.06860606,0.3404816,0.8223675
3.766866684,0.437839,-0.0784529,0.3280636,0.8313508
3.799643994,0.4283922,-0.09038357,0.3252922,0.8361361
3.832421303,0.4210846,-0.1011073,0.3253549,0.8385922
3.867720127,0.4162971,-0.1086989,0.318791,0.8425445
3.900497437,0.4124521,-0.1166295,0.3153561,0.8446651
3.933274269,0.4111151,-0.123258,0.3158583,0.8441879
3.966052055,0.4124191,-0.1260656,0.3089337,0.8456983
3.998829365,0.4137937,-0.1297867,0.3053612,0.8457614
4.034127712,0.4183729,-0.1316638,0.3042077,0.8436316
4.066904545,0.4235777,-0.1323597,0.3026156,0.8414953
4.099682331,0.4296189,-0.1333697,0.300975,0.8388575
4.132459641,0.4329887,-0.1371688,0.2960594,0.8382613
4.200535774,0.4367056,-0.1489004,0.2924702,0.8355871
4.233312607,0.4382313,-0.1534553,0.2857146,0.8363012
4.266089916,0.440926,-0.1570068,0.2830916,0.8351168
4.298867703,0.4459887,-0.160268,0.2816064,0.8323063
4.334166050,0.450874,-0.163935,0.2780245,0.8301615
4.366943359,0.4544327,-0.1713999,0.279394,0.8262442
4.399720669,0.4544275,-0.1867237,0.2762009,0.8239968
4.432497978,0.4474836,-0.2080547,0.2758403,0.8228071
4.465275288,0.4395069,-0.2234588,0.2675245,0.8258076
4.500574112,0.4252011,-0.2413983,0.2560861,0.8318524
4.533351421,0.4083083,-0.2589041,0.2506984,0.8366786
4.566128254,0.3921691,-0.2724946,0.2327324,0.8452297
4.598906040,0.3754934,-0.2835971,0.2569968,0.842115
4.634204388,0.3743756,-0.2832156,0.2833909,0.8342357
4.666981697,0.3700842,-0.2876498,0.2940859,0.8309251
4.699759484,0.362542,-0.2964983,0.2902443,0.8324891
4.732536316,0.3587019,-0.308485,0.2687487,0.8370016
4.765313626,0.3542573,-0.3246433,0.2426983,0.840734
4.800612450,0.3487211,-0.3410922,0.2135883,0.8444272
4.833389759,0.3394442,-0.3560168,0.1938322,0.8468096
4.866166592,0.3320436,-0.3686928,0.1723744,0.8489566
4.898943901,0.3250169,-0.3784749,0.1383346,0.8535876
4.934242725,0.3104732,-0.3918094,0.1125776,0.8567646
4.967020035,0.2983406,-0.4043277,0.09094249,0.8578281
4.999796867,0.2878705,-0.4161455,0.0644374,0.8581544
5.032574654,0.2813282,-0.424633,0.03967147,0.8576685
5.065351963,0.2753974,-0.4317144,0.01809057,0.8567843
5.100650311,0.2681947,-0.4384436,0.002119202,0.8558399
5.133428097,0.2615989,-0.4452443,-0.01412604,0.854255
5.166205406,0.2580873,-0.4535156,-0.02894868,0.8505905
5.198982239,0.2550852,-0.4646279,-0.04130904,0.8449697
5.234281540,0.2571948,-0.4757091,-0.06333164,0.8367606
5.267058373,0.2563857,-0.4870864,-0.07952856,0.8290454
5.299835682,0.2571552,-0.4968803,-0.09808827,0.8209674
5.332613468,0.2548849,-0.5077053,-0.1183674,0.8123335
5.365390301,0.2583278,-0.5179603,-0.1377282,0.8016499
5.400688648,0.2643058,-0.527328,-0.164963,0.7883415
5.433466435,0.2646046,-0.5357377,-0.1858341,0.777858
5.466243744,0.2650422,-0.5457653,-0.1882698,0.7701136
5.499020577,0.2746713,-0.554342,-0.1735565,0.7640461
5.534319878,0.2896642,-0.5644531,-0.1391143,0.7581307
5.567096710,0.3394144,-0.5620647,-0.1355056,0.7396938
5.599874020,0.4227735,-0.5456896,-0.1672646,0.7015237
5.632651806,0.5096339,-0.5205537,-0.19695,0.6535559
5.665428639,0.5901221,-0.4912724,-0.2144753,0.6008621
5.700727463,0.6666182,-0.4565942,-0.218755,0.5439814
5.733504772,0.7271985,-0.4215675,-0.2091822,0.4963199
5.766282082,0.7766542,-0.3919558,-0.1871547,0.4525258
5.799059391,0.8144462,-0.3682301,-0.1654033,0.4127391
5.834358215,0.8502376,-0.3354133,-0.1476182,0.3734039
5.867135525,0.8772413,-0.3011003,-0.1403274,0.3416466
5.899912357,0.8953377,-0.2733585,-0.1430829,0.3159122
5.932690144,0.9027807,-0.2700469,-0.1465271,0.2953289
5.965467453,0.9108426,-0.2519524,-0.1688567,0.273863
6.000765800,0.913123,-0.238306,-0.2032906,0.2543957
6.033543587,0.9057211,-0.2469609,-0.2371274,0.2430591
6.066320419,0.8868973,-0.2810745,-0.2674243,0.2439718
6.099097729,0.8678551,-0.3054255,-0.3024086,0.2423211
6.134396553,0.8515098,-0.3273497,-0.3310348,0.23413
6.167173862,0.8459703,-0.3313762,-0.3517838,0.2177154
6.199950695,0.8410484,-0.3365089,-0.3608779,0.213996
6.232728481,0.8241253,-0.3639127,-0.3668727,0.2245372
6.265505791,0.8066874,-0.3849483,-0.3797141,0.2313336
6.300804138,0.7843551,-0.4034531,-0.4016378,0.2394313
6.333581925,0.7594466,-0.4216599,-0.423865,0.2498197
6.366358757,0.7299387,-0.441709,-0.4459397,0.2642876
6.399136067,0.7146068,-0.435035,-0.480473,0.2566222
6.434435368,0.7056976,-0.4202581,-0.5129231,0.2427175
6.467212200,0.6904323,-0.4199746,-0.5357369,0.2377777
6.499989510,0.6740654,-0.4159755,-0.5626435,0.2294778
6.532767296,0.6593086,-0.4093914,-0.5874004,0.2220344
