Time (s),Power (dBm),Percentage (%)
0.069173813,-61,78
0.569154740,-59,82
1.069333553,-61,78
1.568967343,-59,82
2.069288731,-60,80
2.569176674,-69,62
3.069113255,-59,82
3.569105148,-62,76
4.069308758,-67,66
4.568935394,-57,86
5.069268703,-65,70
5.569118977,-59,82
6.069213390,-57,86
6.568999291,-49,100
7.069252968,-53,94
7.569000244,-53,94
8.069133759,-63,74
8.568898201,-47,100
9.069281101,-47,100
9.568923950,-49,100
10.069241524,-62,76
10.569118023,-47,100
11.069061279,-49,100
11.568919182,-59,82
12.069250107,-53,94
12.568998814,-47,100
13.069074154,-55,90
13.569058418,-53,94
14.069225788,-49,100
14.568871021,-47,100
15.069041729,-59,82
15.569077969,-45,100
16.069092274,-57,86
16.568991184,-53,94
17.069179058,-59,82
17.568890095,-53,94
18.069214821,-49,100
18.569020271,-59,82
19.069126606,-60,80
19.568860531,-60,80
20.069156647,-64,72
20.568958759,-73,54
21.568907738,-53,94
22.069046497,-69,62
22.568827629,-55,90
23.069128513,-61,78
23.568880081,-59,82
24.068955898,-57,86
24.568815231,-60,80
25.069003105,-60,80
25.568983078,-61,78
26.068948746,-61,78
26.568835735,-61,78
27.069118023,-60,80
27.568819523,-51,98
28.069057465,-62,76
28.568946362,-59,82
29.068945885,-61,78
29.568943501,-61,78
30.069115639,-57,86
30.568776608,-60,80
31.068941593,-51,98
31.568923950,-57,86
32.069103718,-57,86
32.568732739,-55,90
33.069058895,-53,94
33.568947315,-53,94
34.068901062,-49,100
34.568864346,-47,100
35.069080830,-57,86
35.568795681,-45,100
36.069029331,-59,82
36.568889141,-53,94
37.068861961,-53,94
37.568756104,-53,94
38.069023132,-60,80
38.568693638,-57,86
39.068887711,-59,82
39.568705559,-53,94
40.069053173,-51,98
40.568689346,-57,86
41.068991661,-45,100
41.568885803,-60,80
42.068841934,-61,78
42.568657875,-57,86
43.069020748,-57,86
43.568742275,-49,100
44.068816662,-59,82
44.568863392,-59,82
45.068997383,-55,90
45.568696976,-65,70
46.068817139,-59,82
46.568849564,-53,94
47.068823814,-64,72
47.568820477,-57,86
48.068983078,-59,82
48.568610668,-59,82
49.068942070,-53,94
49.568790436,-57,86
50.568614483,-65,70
51.068925381,-60,80
51.568785668,-60,80
52.068768024,-60,80
52.568595410,-60,80
53.068912029,-57,86
53.568615437,-69,62
54.068853855,-59,82
54.568755627,-59,82
55.068734646,-57,86
55.568598271,-57,86
56.068884850,-59,82
56.568674088,-55,90
57.068745136,-59,82
57.568717957,-51,98
58.068897724,-53,94
58.568593025,-47,100
59.068704128,-45,100
59.568751812,-59,82
60.068742752,-47,100
60.568672180,-59,82
61.068887234,-57,86
61.568527699,-57,86
62.068857670,-58,84
62.568730831,-59,82
63.068788528,-59,82
63.568525314,-57,86
64.068828106,-57,86
64.568686485,-63,74
65.068737507,-62,76
65.568498612,-62,76
66.068858624,-59,82
66.568517685,-53,94
67.068758965,-62,76
67.568657875,-55,90
68.068638802,-55,90
68.568481445,-51,98
69.068793297,-53,94
69.568562985,-53,94
70.068629265,-59,82
70.568634987,-60,80
71.068682194,-55,90
71.568498135,-53,94
72.068596840,-57,86
72.568535805,-60,80
73.068625450,-57,86
73.568608761,-53,94
74.068622589,-55,90
75.068742752,-67,66
75.568453789,-67,66
76.068649769,-67,66
76.568470955,-57,86
77.068579674,-63,74
77.568594933,-59,82
78.068589687,-57,86
78.568409443,-53,94
79.068766594,-55,90
79.568476677,-49,100
80.068672180,-62,76
80.568560124,-53,94
81.068584442,-51,98
81.568378449,-60,80
82.068730831,-53,94
82.568396568,-49,100
83.068552017,-47,100
83.568539143,-57,86
84.068721294,-51,98
84.568370342,-62,76
85.068673134,-59,82
85.568525314,-55,90
86.068570614,-55,90
86.568432808,-53,94
87.068696499,-59,82
87.568324089,-53,94
88.068648815,-47,100
88.568503380,-49,100
89.068527699,-45,100
89.568316460,-61,78
90.068637371,-53,94
90.568507195,-57,86
91.068494797,-55,90
91.568480969,-49,100
92.068683147,-59,82
92.568306923,-69,62
93.068491936,-57,86
93.568500996,-60,80
94.068476677,-65,70
94.568429470,-62,76
95.068634987,-60,80
95.568272591,-55,90
96.068608761,-55,90
96.568478584,-55,90
97.068516254,-55,90
97.568247795,-55,90
98.068613052,-55,90
98.568439961,-69,62
99.068442822,-59,82
99.568420410,-60,80
100.068609238,-53,94
100.568243504,-69,62
101.068543911,-60,80
101.568441391,-53,94
102.068388939,-55,90
102.568429947,-51,98
103.068539619,-45,100
103.568263531,-51,98
104.068368912,-57,86
104.568383217,-59,82
105.068588734,-53,94
105.568246365,-62,76
106.068516731,-59,82
106.568338394,-57,86
107.068344593,-63,74
107.568229199,-59,82
108.068498135,-59,82
108.568233013,-51,98
109.068468094,-51,98
109.568295479,-55,90
110.068324566,-55,90
110.568180084,-57,86
111.068417549,-53,94
111.568240166,-51,98
112.068386555,-55,90
112.568251133,-59,82
113.068499088,-65,70
113.568147659,-53,94
114.068280220,-55,90
114.568344593,-60,80
115.068355560,-73,54
115.568241596,-59,82
116.068442822,-59,82
116.568117619,-57,86
117.068463802,-61,78
117.568322182,-57,86
118.068340302,-55,90
118.568099499,-55,90
119.068456173,-55,90
119.568242550,-55,90
120.068267822,-55,90
120.568264485,-63,74
121.068432331,-62,76
121.568153381,-59,82
122.068223953,-55,90
122.568284989,-53,94
123.068295956,-58,84
123.568233490,-51,98
124.068384647,-55,90
124.568044186,-51,98
125.068361759,-55,90
125.568226814,-51,98
126.068241119,-55,90
126.568051338,-57,86
127.068363190,-49,100
127.568029881,-49,100
128.068249702,-58,84
128.568205357,-55,90
129.068156719,-65,70
129.568013191,-51,98
130.068212032,-53,94
130.567986965,-53,94
131.068203926,-53,94
131.568137646,-53,94
132.068360806,-53,94
132.567984104,-51,98
133.068295956,-51,98
133.568204403,-53,94
134.068216324,-51,98
134.568033219,-43,100
135.068337917,-51,98
135.568171501,-47,100
136.068158150,-51,98
136.568145752,-69,62
137.068301678,-65,70
137.567983151,-61,78
138.068194866,-65,70
138.568166256,-55,90
139.068116665,-53,94
139.568087578,-69,62
140.068300724,-71,58
140.567953110,-51,98
141.068288326,-53,94
141.568108082,-51,98
142.068187714,-49,100
142.567935944,-55,90
143.068242550,-51,98
143.568109512,-51,98
144.068089008,-63,74
144.568086624,-59,82
145.068241596,-47,100
145.567949772,-61,78
146.068171978,-55,90
146.568073273,-45,100
147.068074703,-44,100
147.568045139,-45,100
148.068207264,-69,62
148.567901611,-67,66
149.068193913,-49,100
149.568046093,-53,94
150.068140030,-53,94
150.567864895,-53,94
151.068169594,-57,86
151.568046570,-49,100
152.068042755,-55,90
152.567825794,-51,98
153.068218708,-57,86
153.567898750,-53,94
154.068125248,-59,82
154.568012238,-49,100
155.068022728,-51,98
155.567982197,-47,100
156.068184853,-60,80
156.567860127,-53,94
157.068175316,-57,86
157.568025589,-53,94
158.068081856,-55,90
158.567807675,-61,78
159.068123817,-61,78
159.567987442,-57,86
160.067980289,-59,82
160.567967892,-57,86
161.068161488,-53,94
161.567838669,-53,94
162.068028927,-57,86
162.567953110,-59,82
163.067957878,-57,86
163.567925453,-58,84
164.068088532,-59,82
164.567790508,-60,80
165.068147182,-60,80
165.567930699,-55,90
166.067991734,-58,84
166.567821503,-55,90
167.068066597,-49,100
167.567783833,-57,86
168.067908287,-51,98
168.567908764,-51,98
169.067908287,-62,76
169.567763806,-55,90
170.067981243,-53,94
170.567738533,-55,90
171.067938805,-55,90
171.567849159,-53,94
172.067863941,-53,94
172.567709446,-53,94
173.068023682,-53,94
173.567694664,-53,94
174.067974567,-59,82
174.567744255,-53,94
175.067821503,-51,98
175.567874909,-59,82
176.067861557,-58,84
176.567651272,-57,86
177.068005562,-57,86
177.567676544,-51,98
178.067870140,-45,100
178.567869663,-49,100
179.067885399,-51,98
179.567796230,-53,94
180.068004131,-49,100
180.567626476,-51,98
181.067943096,-57,86
181.567846775,-47,100
182.067850590,-69,62
182.567655563,-47,100
183.067981720,-51,98
183.567818642,-47,100
184.067775726,-49,100
184.567790032,-47,100
185.067953110,-55,90
185.567618370,-57,86
186.067803383,-55,90
186.567776203,-55,90
187.067798138,-55,90
187.567780972,-55,90
188.067945957,-55,90
188.567580223,-55,90
189.067957401,-59,82
189.567790985,-57,86
190.067807198,-53,94
