Time (s),W,X,Y,Z
0.000000000,0.01774268,0.6674152,-0.7420202,0.01660119
0.032283306,0.01772975,0.6674222,-0.7420154,0.01655809
0.067045689,0.0177504,0.6674879,-0.7419557,0.01656436
0.099328995,0.01778914,0.6675687,-0.7418817,0.016576
0.134095669,0.01781638,0.6675747,-0.7418761,0.01655173
0.166378498,0.01783803,0.6676303,-0.7418259,0.01654268
0.198661804,0.01785264,0.667722,-0.7417423,0.01657318
0.233428955,0.01787443,0.66787,-0.7416083,0.01658386
0.265707970,0.01782618,0.6678673,-0.7416116,0.01659477
0.300474644,0.0177926,0.667842,-0.741636,0.01655234
0.332757950,0.01780877,0.6679152,-0.7415709,0.01650985
0.365041256,0.01783469,0.667883,-0.7415985,0.01653416
0.399807453,0.01790206,0.6678121,-0.7416609,0.01653329
0.432090759,0.01791923,0.6677506,-0.7417154,0.01654646
0.466853142,0.01788666,0.6676852,-0.7417744,0.01657899
0.499136448,0.01785802,0.6676121,-0.7418414,0.01656286
0.533903599,0.01788458,0.6675518,-0.7418963,0.01650154
0.566186905,0.01789233,0.6674339,-0.7420023,0.01649215
0.598469734,0.01788054,0.6673685,-0.7420624,0.0164456
0.633236408,0.01790903,0.6673551,-0.7420738,0.0164511
0.665515423,0.01795261,0.6672862,-0.7421346,0.01645336
0.700282097,0.0179567,0.6672875,-0.7421331,0.01645879
0.732565403,0.0179449,0.6673797,-0.7420498,0.01649675
0.767331600,0.01793721,0.6673145,-0.7421069,0.01656891
0.799615383,0.01792916,0.6673253,-0.7420972,0.0165785
0.831898689,0.01790205,0.6674157,-0.7420169,0.01656463
0.866661072,0.01789101,0.667486,-0.741955,0.01651389
0.898944378,0.01793128,0.6675509,-0.7418966,0.01647344
0.933711052,0.01795901,0.6676192,-0.7418352,0.01644727
0.965993881,0.01797019,0.667616,-0.7418379,0.01643511
1.000760555,0.01798277,0.667666,-0.7417924,0.01643763
1.033043861,0.01802165,0.6677046,-0.7417561,0.01646919
1.065322876,0.018015,0.6676535,-0.741801,0.0165323
1.100090027,0.01795654,0.6676545,-0.7418018,0.01651671
1.132373333,0.01791543,0.6676694,-0.7417901,0.01648686
1.167139530,0.01793675,0.6676641,-0.7417945,0.01647953
1.199422836,0.01797625,0.6676775,-0.7417811,0.01649129
1.231706142,0.01797979,0.6677028,-0.7417588,0.01646998
1.266468525,0.01796838,0.6677726,-0.7416964,0.01646547
1.298751831,0.01795808,0.6677868,-0.7416835,0.01648242
1.333518028,0.01797466,0.6677915,-0.7416794,0.01645642
1.365802288,0.01795625,0.6677629,-0.7417052,0.01647531
1.400568485,0.01793994,0.6677098,-0.7417543,0.01643293
1.432851791,0.01794523,0.6676952,-0.7417676,0.01642235
1.465130806,0.01799385,0.6677529,-0.7417147,0.01641343
1.499897480,0.01803361,0.6677414,-0.741724,0.01641456
1.532180786,0.01801558,0.6677166,-0.7417462,0.01644365
1.566946983,0.01798095,0.6676512,-0.7418047,0.01648925
1.599230289,0.01794338,0.6676668,-0.7417912,0.01651198
1.633996963,0.01790788,0.6676895,-0.7417713,0.01652014
1.666276455,0.01789509,0.6677126,-0.7417514,0.01649923
1.698559761,0.01791672,0.6677281,-0.7417375,0.01646807
1.733326435,0.01794354,0.6676856,-0.7417754,0.01646098
1.765609264,0.01797437,0.6675945,-0.741857,0.01644594
1.800375938,0.01801061,0.6676575,-0.7417996,0.01643438
1.832659244,0.01798569,0.6676809,-0.7417779,0.01648596
1.864938259,0.01794078,0.6676838,-0.7417766,0.01647732
1.899704933,0.01788476,0.6676984,-0.7417648,0.01648184
1.931988716,0.01787996,0.6676739,-0.7417864,0.01650391
1.966754913,0.01790765,0.66762,-0.7418338,0.01652989
1.999038219,0.0179524,0.6675497,-0.7418961,0.01652191
