Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.745890617,50.684,33.898
1.745330810,50.65,33.9
2.744771004,50.676,33.9
3.744212151,50.696,33.902
4.746157646,50.656,33.902
5.745598316,50.64,33.904
6.745039463,50.716,33.906
7.744480133,50.688,33.906
8.743921280,50.684,33.906
9.745868206,50.714,33.908
10.745309830,50.726,33.908
11.744751453,50.694,33.91
12.744193077,50.702,33.91
13.746140003,50.744,33.912
14.745706558,50.716,33.912
15.745151043,50.702,33.912
16.744593143,50.708,33.912
17.744034767,50.76,33.914
18.745982170,50.72,33.914
19.745423794,50.696,33.914
20.744866371,50.744,33.914
21.744308472,50.696,33.914
22.743750095,50.73,33.914
23.745697498,50.74,33.914
24.745139122,50.734,33.914
25.744581699,50.706,33.914
26.744023800,50.746,33.914
27.743465900,50.72,33.914
28.745525360,50.702,33.914
29.744967937,50.752,33.914
30.744410515,50.734,33.916
31.743853092,50.748,33.916
32.745800495,50.742,33.916
33.745316029,50.774,33.918
34.744759083,50.73,33.918
35.744202137,50.742,33.918
36.743644237,50.742,33.918
37.745663643,50.738,33.918
38.745275974,50.772,33.918
39.744719028,50.76,33.918
40.744162083,50.72,33.918
41.743671417,50.744,33.918
42.745619297,50.74,33.918
43.745061874,50.66,33.918
44.744638920,50.766,33.918
45.744081974,50.756,33.918
46.746029377,50.732,33.918
47.745472431,50.786,33.918
48.744915008,50.756,33.918
49.744358063,50.756,33.918
50.743801117,50.702,33.918
51.745748520,50.76,33.918
52.745191574,50.748,33.918
53.744633675,50.756,33.918
54.744076729,50.748,33.918
55.743519783,50.738,33.918
56.745467663,50.758,33.92
57.745423317,50.766,33.92
58.744866848,50.742,33.92
59.744309902,50.768,33.92
60.743752956,50.798,33.92
61.745701313,50.782,33.92
62.745144844,50.78,33.922
63.744588375,50.774,33.922
64.744031906,50.792,33.922
65.745980740,50.792,33.924
66.745424271,50.826,33.924
67.745254517,50.778,33.926
68.744698048,50.802,33.926
69.744142532,50.79,33.926
70.746091843,50.762,33.928
71.745536327,50.81,33.928
73.744426250,50.788,33.93
74.743871212,50.84,33.93
75.745820522,50.84,33.932
76.745265484,50.812,33.932
77.744710445,50.8,33.932
78.744155407,50.83,33.932
79.743600368,50.804,33.932
80.745549679,50.784,33.932
81.744995594,50.81,33.932
82.744440556,50.814,33.932
83.743885517,50.842,33.934
84.745834827,50.806,33.934
85.745280266,50.77,33.934
86.744983196,50.814,33.934
87.744428158,50.822,33.934
88.743873119,50.854,33.934
89.745823383,50.816,33.932
90.745268345,50.832,33.934
91.744713306,50.814,33.934
92.744158268,50.824,33.934
93.743603706,50.826,33.934
94.745553970,50.81,33.934
95.744998932,50.868,33.934
96.744444370,50.818,33.934
97.743890285,50.834,33.936
98.745840549,50.83,33.936
99.745285988,50.886,33.936
100.744731426,50.84,33.938
101.744177341,50.894,33.938
102.743622780,50.832,33.936
103.745573521,50.864,33.936
104.745019436,50.844,33.936
105.744758129,50.828,33.936
106.744203567,50.864,33.936
107.743649483,50.862,33.936
108.745600223,50.812,33.936
109.745045662,50.818,33.936
110.744491577,50.84,33.936
111.744086266,50.8,33.938
112.743531704,50.878,33.938
113.745482922,50.812,33.938
114.744928837,50.866,33.938
115.744374752,50.826,33.938
116.743820667,50.854,33.938
117.745771885,50.854,33.938
118.745218277,50.824,33.94
119.744663715,50.814,33.94
120.744110107,50.83,33.94
121.743556023,50.806,33.94
122.745507240,50.852,33.94
123.744953155,50.852,33.94
124.744399548,50.91,33.94
125.743846416,50.898,33.942
126.743292808,50.878,33.942
127.745244503,50.88,33.944
128.744691372,50.88,33.944
129.744138241,50.87,33.944
130.743585110,50.886,33.946
131.743031979,50.912,33.946
132.744983673,50.906,33.946
134.743878841,50.888,33.948
135.743325710,50.872,33.948
136.745278358,50.872,33.95
137.744725704,50.936,33.95
138.744173527,50.888,33.95
139.743621349,50.906,33.952
140.743068695,50.88,33.952
141.745021343,50.91,33.952
142.744469166,50.928,33.952
143.743916988,50.936,33.952
144.743364334,50.904,33.952
145.742962837,50.886,33.952
146.744915485,50.916,33.952
147.744363308,50.924,33.952
148.743810654,50.93,33.952
149.743258953,50.898,33.952
150.743470669,50.942,33.952
151.745423794,50.958,33.952
152.744871139,50.938,33.952
153.744319439,50.912,33.952
154.743851185,50.944,33.952
155.745803356,50.926,33.952
156.745251656,50.91,33.952
157.744699001,50.96,33.952
158.744147301,50.91,33.952
159.743709087,50.954,33.952
160.745661735,50.91,33.952
161.745110035,50.906,33.952
162.744557857,50.976,33.952
163.744006157,50.976,33.952
164.743454456,50.934,33.952
165.745407104,50.9,33.952
166.744855404,50.946,33.952
167.744303703,50.952,33.954
168.743752003,50.93,33.954
169.743200302,50.956,33.954
170.745152950,50.9,33.954
171.744601250,51.002,33.954
172.744050026,50.916,33.954
173.743498325,50.918,33.954
174.745451927,51,33.956
175.744900227,50.932,33.956
176.744349003,50.906,33.956
177.743798256,50.952,33.956
178.743445873,50.91,33.956
179.745399475,50.924,33.956
180.744848251,50.986,33.958
181.744297028,50.98,33.958
182.743746757,50.946,33.958
183.743195534,50.97,33.958
184.745150089,50.926,33.958
185.744598865,50.964,33.958
186.744048595,51.01,33.96
187.743497848,50.956,33.96
188.742947102,50.976,33.96
189.744901657,50.982,33.96
190.744351387,50.968,33.96
191.743801117,50.988,33.962
192.743250370,50.98,33.962
193.742700100,50.978,33.962
194.744655132,51.04,33.962
195.744105339,50.994,33.964
196.743555069,50.988,33.964
197.743361950,50.972,33.964
198.745316505,51.008,33.966
199.744767189,50.99,33.968
200.744217873,51.034,33.968
201.743668079,50.996,33.968
202.743119240,51.006,33.968
203.745074749,50.982,33.968
204.744524956,51.004,33.97
205.743975639,50.996,33.97
206.743426800,50.982,33.972
207.742877483,51.03,33.972
208.744832992,51.028,33.972
209.744284630,51.006,33.972
210.743735790,50.996,33.972
211.743186474,51.02,33.974
212.743175030,51.06,33.974
213.745131016,51.02,33.974
214.744642258,51.026,33.974
215.744093418,51.074,33.976
216.743545055,51.048,33.976
217.745501518,51.098,33.976
218.744953155,51.072,33.976
219.744405270,51.078,33.978
220.743856907,51.042,33.978
221.743309021,51.06,33.978
222.745265961,51.098,33.978
223.744717598,51.072,33.978
224.744169712,51.092,33.978
225.743622303,51.11,33.978
226.743074417,51.074,33.98
227.745031357,51.03,33.98
228.744483471,51.074,33.98
229.743936539,51.112,33.982
230.743388653,51.098,33.982
231.742841721,51.11,33.984
232.744799137,51.09,33.984
233.744252205,51.086,33.984
234.743705273,51.07,33.984
235.743604660,51.124,33.984
236.743057728,51.088,33.984
237.745015621,51.126,33.986
239.743922234,51.094,33.986
240.743375301,51.092,33.986
241.742828846,51.096,33.988
242.744787216,51.126,33.988
243.744240761,51.17,33.988
244.743694305,51.138,33.988
245.743237019,51.106,33.99
246.745195866,51.112,33.99
247.744649410,51.15,33.992
248.744103908,51.1,33.992
249.743804932,51.154,33.992
250.743258953,51.118,33.992
251.745218754,51.114,33.994
252.744672775,51.208,33.994
253.744127750,51.132,33.996
254.743582249,51.14,33.996
255.743036747,51.16,33.996
256.744996548,51.134,33.996
257.744451523,51.158,33.996
258.743906498,51.186,33.996
