Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.796478748,71.89844,118.21875,3.90625,257.8125,0
1.851256847,71.88672,118.3125,3.905,248.4375,0
2.730245590,71.875,118.03125,3.90125,265,0
3.785307407,71.85938,117.84375,3.90375,263.125,0
4.839776039,71.84766,117.5625,3.905625,276.875,0
5.718876839,71.84766,117.75,3.905,271.5625,0
6.773625374,71.83594,117.84375,3.905625,261.5625,0
7.828436851,71.82422,118.03125,3.9025,260,0
8.707575321,71.8125,117.9375,3.905625,270,0
9.762088776,71.80078,118.21875,3.905625,253.125,0
10.817004681,71.78906,118.5,3.906875,248.4375,0
11.696001053,71.78906,118.3125,3.901875,280.9375,0
12.750761509,71.77734,118.3125,3.905625,259.0625,0
13.805741310,71.76172,118.3125,3.90625,272.5,0
14.684659481,71.75,118.3125,3.90375,268.125,0
15.739548206,71.73828,118.21875,3.905,255.3125,0
16.794264793,71.73828,118.3125,3.904375,261.5625,0
17.849237442,71.72656,118.125,3.905625,263.125,0
18.727946281,71.71484,118.125,3.90375,262.8125,0
19.782769680,71.70313,118.21875,3.90625,257.1875,0
20.837616920,71.69141,118.40625,3.905,243.75,0
21.716802120,71.67969,118.125,3.90375,269.375,0
22.771938324,71.67969,117.9375,3.905625,269.6875,0
23.826039791,71.66406,118.21875,3.905,255.9375,0
24.705020428,71.65234,118.21875,3.90375,250,0
25.759971142,71.64063,118.21875,3.90375,259.0625,0
26.815051556,71.62891,118.21875,3.9025,254.0625,0
27.693664074,71.62891,118.21875,3.90375,260,0
28.748429775,71.61719,118.125,3.90375,258.125,0
29.803230286,71.60547,118.125,3.90375,264.0625,0
30.682223320,71.59375,118.3125,3.904375,259.0625,0
31.736998558,71.58203,118.3125,3.905625,257.8125,0
32.791933536,71.58203,118.3125,3.905,258.75,0
33.846393585,71.56641,118.21875,3.903125,258.125,0
34.725484371,71.55469,118.21875,3.90375,250,0
35.780287266,71.54297,118.125,3.90375,249.0625,0
36.835179329,71.53125,118.125,3.898125,254.375,0
37.714806080,71.51953,118.3125,3.90375,255.9375,0
38.769126415,71.51953,118.3125,3.90125,267.8125,0
39.823931217,71.50781,118.125,3.9025,253.75,0
40.703025341,71.49609,118.21875,3.904375,255.3125,0
41.757635117,71.48438,118.21875,3.90625,253.4375,0
42.812829971,71.46875,118.125,3.904375,267.5,0
43.691478729,71.46875,117.9375,3.904375,261.875,0
44.746388435,71.45703,117.75,3.90125,272.1875,0
45.801215172,71.44531,117.9375,3.90375,266.875,0
46.679999828,71.43359,117.75,3.9025,256.5625,0
47.735159397,71.42188,117.65625,3.896875,261.5625,0
48.789575577,71.41016,117.65625,3.9025,260,0
49.844508171,71.39844,117.375,3.901875,264.0625,0
50.723429680,71.39844,117.28125,3.9025,268.75,0
51.778292656,71.38672,117.28125,3.9025,260,0
52.832883835,71.37109,117.28125,3.9025,260.625,0
53.711822987,71.35938,117.09375,3.9025,310.3125,0
54.766785145,71.34766,116.90625,3.901875,280.9375,0
55.821381569,71.34766,117.09375,3.90375,270.625,0
56.700414658,71.33594,116.90625,3.90125,276.25,0
57.755226135,71.32422,116.90625,3.899375,268.75,0
58.809997559,71.3125,116.90625,3.900625,283.4375,0
59.689109802,71.30078,116.90625,3.89875,260.9375,0
60.743909836,71.28906,116.71875,3.899375,259.0625,0
61.799104691,71.28906,116.90625,3.9025,265.9375,0
62.853618145,71.27344,116.90625,3.901875,273.4375,0
63.732705593,71.26172,117.09375,3.900625,271.875,0
64.787470818,71.25,117.09375,3.9025,264.6875,0
65.842665672,71.23828,117.09375,3.90125,258.125,0
66.721297264,71.23828,116.8125,3.89875,268.125,0
67.776038647,71.22656,117,3.905,255.3125,0
68.830960274,71.21484,117.09375,3.900625,274.375,0
69.709952831,71.20313,117,3.900625,265.9375,0
70.764561176,71.19141,117.1875,3.900625,253.75,0
71.819685936,71.17578,117.28125,3.900625,270.9375,0
72.698319912,71.17578,117.1875,3.900625,264.0625,0
73.753229141,71.16406,117.28125,3.89875,252.5,0
74.808009624,71.15234,117.28125,3.900625,257.1875,0
75.686948776,71.14063,117.375,3.900625,275.625,0
76.741971016,71.12891,117.28125,3.89875,266.875,0
77.796522617,71.12891,117.09375,3.90125,257.1875,0
78.851407528,71.11719,117.28125,3.89875,254.0625,0
79.730543613,71.10547,117.28125,3.9,263.75,0
80.785696983,71.09375,117.375,3.900625,266.875,0
81.839857578,71.07813,117.375,3.9025,255.625,0
82.718815803,71.07813,117.5625,3.898125,263.75,0
83.773739815,71.06641,117.375,3.89875,263.125,0
84.828384876,71.05469,117.28125,3.90125,275,0
85.707385063,71.04297,117.46875,3.899375,257.1875,0
86.762335777,71.03125,117.1875,3.9,267.5,0
87.817231178,71.01953,117.28125,3.899375,263.75,0
88.696201324,71.01953,117.46875,3.901875,256.875,0
89.750959873,71.00781,117.1875,3.89875,262.8125,0
90.805812359,70.99609,116.90625,3.89875,279.0625,0
91.684746742,70.98047,117,3.901875,254.0625,0
92.739512920,70.96875,117,3.899375,260,0
93.794282436,70.95703,117.09375,3.89875,261.25,0
94.848941326,70.95703,117,3.89875,264.0625,0
95.728231907,70.94531,116.90625,3.9,271.5625,0
96.782676220,70.93359,117,3.898125,265.3125,0
97.837569714,70.92188,117.09375,3.89875,255,0
98.716598511,70.91016,117.09375,3.898125,260.9375,0
99.771769047,70.91016,117.09375,3.89875,273.125,0
100.826580048,70.89844,117,3.89875,269.375,0
101.705156326,70.88281,117.09375,3.8975,262.1875,0
102.760070801,70.87109,117.1875,3.896875,261.875,0
103.814826488,70.85938,117,3.898125,266.25,0
104.694082737,70.85938,117.09375,3.89875,257.5,0
105.749009132,70.84766,116.71875,3.898125,271.875,0
106.803509235,70.83594,116.71875,3.9,248.125,0
107.682631493,70.82422,116.8125,3.900625,264.6875,0
108.737951279,70.8125,116.8125,3.900625,261.875,0
109.792147636,70.80078,117,3.89625,253.125,0
110.846985817,70.80078,117.1875,3.9,243.4375,0
111.725813866,70.78516,117.09375,3.8975,265,0
112.780776977,70.77344,117.09375,3.89875,268.75,0
113.835657120,70.76172,117.09375,3.900625,253.4375,0
114.714828968,70.75,117.5625,3.89875,247.1875,0
115.769112110,70.75,117.28125,3.89875,254.375,0
116.824086666,70.73828,116.90625,3.898125,247.5,0
117.703169346,70.72656,117.1875,3.8975,268.125,0
118.757969856,70.71484,117.1875,3.89875,256.875,0
119.812952995,70.70313,116.90625,3.89875,260.625,0
120.691611767,70.70313,117.09375,3.898125,283.125,0
121.746508121,70.6875,117.09375,3.899375,259.0625,0
122.801380634,70.67578,117,3.89875,267.8125,0
123.680863380,70.66406,117.09375,3.895,278.125,0
124.735041618,70.65234,117.09375,3.89625,256.875,0
125.789742470,70.64063,116.90625,3.896875,258.4375,0
126.844623089,70.64063,116.53125,3.89625,265.9375,0
127.723516941,70.62891,116.4375,3.900625,259.0625,0
128.778790951,70.61719,116.4375,3.89875,266.5625,0
129.833253860,70.60547,116.625,3.89875,273.125,0
130.712073803,70.58984,116.71875,3.898125,261.5625,0
131.767048359,70.58984,116.90625,3.899375,268.4375,0
132.821801186,70.57813,116.90625,3.896875,262.1875,0
133.700620174,70.56641,116.90625,3.89875,251.25,0
134.755503178,70.55469,116.8125,3.89625,259.0625,0
135.810355186,70.54297,116.4375,3.895,280.9375,0
136.689369202,70.54297,116.625,3.89625,256.875,0
137.744046688,70.53125,116.34375,3.895,262.5,0
138.799154282,70.51953,116.53125,3.894375,264.0625,0
139.853552818,70.50781,116.34375,3.8975,274.6875,0
140.732758522,70.49219,116.34375,3.89625,263.125,0
141.787429333,70.48047,116.625,3.8925,256.875,0
142.842368126,70.46875,116.625,3.895,261.5625,0
143.721379280,70.46875,116.625,3.895625,269.375,0
144.775916099,70.45703,116.625,3.89375,262.8125,0
145.830919743,70.44531,116.8125,3.895625,265.9375,0
146.709786415,70.43359,116.625,3.896875,257.8125,0
147.764733791,70.42188,116.71875,3.8975,263.4375,0
148.819436073,70.42188,117,3.895625,263.4375,0
149.698464394,70.41016,116.71875,3.89375,264.375,0
150.753346443,70.39453,116.53125,3.895,263.4375,0
