Time (s),Humidity (%)
0.577342987,14.77246
1.575762749,13.8877
2.576703071,13.10254
3.577643871,13.9248
4.576063633,14.21191
5.577004909,12.80273
6.577945709,13.27734
7.576365471,13.9375
8.577306747,13.42676
9.575726509,13.48926
10.576667786,14.1377
11.577609062,13.57617
12.576029301,13.70117
13.576969623,13.61426
14.577910900,14.0498
15.576330662,14.2998
16.577271938,12.72852
17.575692177,13.45215
18.576633453,13.82617
19.577575207,13.87598
20.575994968,14.26172
21.576936245,14.63574
22.577877521,13.9502
23.576297760,14.1875
24.577239513,14.71094
25.575659275,14.05078
26.576601505,14.74805
27.577543259,13.57715
28.575963974,14.91016
29.576905727,14.28711
30.577847481,13.46484
31.576268196,13.78906
32.577209949,13.26563
33.575630665,14.03809
34.576573372,13.15332
35.577515125,12.5293
36.575936317,12.66699
37.576878548,11.99316
38.577820301,12.75391
39.576241493,13.82617
40.577183247,13.30273
41.575604916,13.61426
42.576546669,12.31738
43.577488422,12.6543
44.575909614,13.37793
45.576851845,12.30469
46.577793598,12.16797
47.576214313,12.4043
48.577155590,13.10254
49.575575828,13.30273
50.576517105,12.94043
51.577458382,13.02832
52.575877666,12.60352
53.576818943,12.96484
54.577759743,12.60352
55.576179027,14.41113
56.577119350,13.8623
57.575538158,14.23633
58.576478481,13.84961
59.577418327,14.73438
60.575837612,13.98633
61.576777935,13.37598
62.577717781,13.37598
63.576136112,13.6123
64.577076912,13.58789
65.575495243,13.71191
66.576435089,14.47266
67.577375412,13.22656
68.575793743,14.07324
69.576733589,13.16406
70.577673435,14.47266
71.576092720,14.60938
72.577032566,13.53809
73.575451374,13.32617
74.576390743,13.3623
75.577330589,13.28809
76.575748444,13.88574
77.576687813,13.99805
78.577626705,13.33789
79.576045036,12.45215
80.576983929,13.3877
81.575402260,12.73926
82.576341152,12.26563
83.577280521,13.27441
84.575697899,12.41406
85.576636314,13.89746
86.577574253,12.72559
87.575991630,12.97559
88.576929569,12.85059
89.575345993,12.23926
90.576283932,14.38281
91.577221393,13.77246
92.575637817,14.2959
93.576574802,12.99902
94.577511787,14.32031
95.575927734,14.56934
96.576864719,14.2334
97.575280189,14.75586
98.576216698,14.63086
99.577153206,14.59375
100.575568676,12.74902
101.576504230,13.44629
102.577440262,12.98535
103.575854778,13.02246
104.576790810,13.34668
105.575204849,13.17188
106.576139927,12.48633
107.577075004,13.59473
108.575489044,11.7002
109.576423645,12.82227
110.577358246,13.43262
111.575770855,14.24219
112.576704979,13.76855
113.575117588,12.95801
114.576051235,12.9834
115.576984405,12.87109
116.575396538,13.73047
117.576329708,13.9043
119.575674057,14.32813
120.576606750,12.88281
121.575017929,12.64551
122.575950622,14.45215
123.576882362,14.9375
124.575294018,13.79199
125.576226234,14.77539
126.577158451,13.60449
127.575568676,13.86621
128.576500893,13.54199
129.574912071,14.8623
130.575843811,14.06543
131.576776028,13.96582
132.575186252,14.27734
133.576118469,14.11523
134.577050209,14.42676
135.575460911,13.67871
136.576392651,13.26758
137.577323913,13.6416
138.575734615,13.4668
139.576665878,11.27344
140.575076580,12.83105
141.576007843,12.2959
142.576939106,12.0332
143.575348854,12.1582
144.576280117,12.79395
145.577210903,12.23242
146.575620651,13.82715
147.576550960,13.87695
148.574960232,13.44141
149.575891018,12.35742
150.576820850,12.68066
151.575230122,12.79297
152.576159954,12.89258
153.577089786,12.79297
154.575498581,12.59277
155.576428413,12.33105
156.574836254,12.97949
157.575765610,13.04102
158.576694965,13.09082
159.575102329,12.97852
160.576031208,12.81641
161.576960087,13.36426
162.575367451,13.875
163.576295853,14.28613
164.574703216,13.89941
165.575631618,13.25195
166.576559544,13.23926
167.574966907,14.34766
168.575894833,13.91211
169.576822758,13.04004
170.575230122,13.17676
171.576158047,14.06152
172.574564457,13.07715
173.575492382,13.31348
174.576420307,14.52148
175.574827671,13.97363
176.575755596,13.98633
177.576683521,15.15625
178.575089931,14.53418
179.576017856,13.5752
180.576945305,13.13965
181.575351715,14.95703
182.576279640,14.23535
183.574686050,14.80762
184.575613975,14.27246
185.576541424,15.33105
186.574947834,16.5
187.575875759,15.09375
188.576803684,16.12695
189.575210571,15.97754
190.576138496,15.33105
191.574544907,15.7168
192.575472832,14.47168
193.576401234,14.37207
194.574808121,12.74121
195.575736523,13.88672
196.576664448,14.57227
197.575071812,13.8623
198.575999737,13.82422
199.574406624,13.21387
200.575335503,14.23535
201.576263428,13.00293
202.574670792,13.55078
203.575598717,12.42969
204.576527119,13.7627
205.574933529,13.06445
206.575861454,13.72461
207.574268341,13.61328
208.575196266,12.81543
209.576124191,14.38477
210.574530601,13.6748
211.575458050,13.03906
212.576385975,13.52539
213.574792385,13.36328
214.575719356,13.625
215.576647282,14.09766
216.575053215,13.79883
217.575981140,14.37207
218.574387073,13.77441
219.575314522,13.17578
220.576241970,13.4248
221.574647903,12.85156
222.575574875,12.39063
223.576501369,12.63965
224.574906826,11.86719
225.575833797,12.76465
226.574239254,13.93457
227.575165748,12.47754
228.576091766,12.72656
229.574496269,12.77637
230.575422287,13.84766
231.576348305,12.62695
232.574752808,13.21191
233.575678825,12.55176
234.574082374,13.51074
235.575008392,12.71387
236.575933933,13.74707
237.574337006,11.94141
238.575262070,12.73828
239.576186657,13.31055
240.574590683,13.16113
241.575515270,13.13574
242.576439857,13.09863
243.574842453,13.83301
244.575767040,12.13965
245.574170113,12.61328
246.575094223,13.57129
247.576018333,12.71191
248.574420929,12.35059
249.575344562,12.93652
250.576268673,13.27148
251.574670315,12.76074
252.575593948,12.58691
253.573996544,12.77344
254.574919701,12.4873
255.575842380,12.86035
256.574244022,12.68652
257.575166702,14.11816
258.576089859,12.86035
