Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.847445965,49.396,33.674
1.849355698,49.454,33.676
2.849111557,49.394,33.676
3.848517418,49.406,33.678
4.847922802,49.474,33.678
5.849833012,49.468,33.68
6.849238872,49.444,33.682
7.848645210,49.444,33.682
8.848051071,49.508,33.682
9.847480297,49.484,33.682
10.849391937,49.45,33.684
11.848797798,49.476,33.686
12.848205090,49.474,33.686
13.847611427,49.492,33.686
14.849523544,49.476,33.686
15.849054337,49.518,33.688
16.848461151,49.49,33.688
17.847868442,49.468,33.688
18.847275257,49.524,33.688
19.849186897,49.464,33.686
20.848776817,49.462,33.686
22.847590923,49.502,33.684
23.849503040,49.508,33.684
24.848909378,49.466,33.684
25.848316193,49.506,33.684
26.847723007,49.482,33.684
27.849634647,49.438,33.684
28.849203110,49.494,33.684
29.848609924,49.442,33.684
30.848016262,49.436,33.682
31.847423077,49.444,33.682
32.849483967,49.442,33.682
33.848890781,49.482,33.682
34.848297119,49.484,33.682
35.847703934,49.444,33.682
36.849615097,49.432,33.682
37.849217415,49.452,33.682
38.848623276,49.41,33.68
39.848029613,49.422,33.68
40.847435951,49.444,33.678
41.849346638,49.432,33.678
42.848752499,49.436,33.676
43.848158836,49.462,33.676
44.847564220,49.414,33.674
45.849474430,49.464,33.672
46.848879337,49.402,33.672
47.848288536,49.408,33.67
48.847693443,49.382,33.668
49.849602699,49.378,33.666
50.849007130,49.37,33.666
51.848421574,49.382,33.664
52.847825527,49.354,33.664
53.847229958,49.408,33.662
54.849138737,49.382,33.66
55.848560333,49.344,33.66
56.847964764,49.374,33.658
57.847367763,49.374,33.658
58.849409103,49.342,33.656
59.848812580,49.308,33.654
60.848215580,49.36,33.654
61.847618580,49.344,33.652
62.847021580,49.352,33.65
63.848935127,49.326,33.65
64.848408699,49.362,33.65
65.847810745,49.326,33.648
66.847213268,49.308,33.646
67.849120140,49.296,33.646
68.848522186,49.322,33.644
69.847932339,49.292,33.644
70.847333908,49.364,33.642
71.849240303,49.254,33.642
72.848762512,49.218,33.642
73.848163605,49.272,33.64
74.847564220,49.234,33.64
75.846965313,49.282,33.64
76.849168301,49.272,33.638
77.848568439,49.254,33.638
78.847969532,49.252,33.638
79.847369671,49.232,33.638
80.849275112,49.306,33.638
81.848675728,49.24,33.636
82.848075867,49.25,33.636
83.847476006,49.218,33.636
84.849381447,49.26,33.636
85.848782062,49.25,33.636
86.848181248,49.244,33.634
87.847581863,49.218,33.634
88.846982002,49.26,33.634
89.848914623,49.26,33.634
90.848315239,49.188,33.634
91.847714901,49.218,33.632
92.847114086,49.226,33.632
