Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.014480114,-0.08415719,-0.06351201,0.04754733,0.07098902,0.9302261,-0.3268835,-7.252366,-30.46035,-31.81011,1008.568
0.049240112,-0.02218353,-0.1809176,0.108488,0.07244816,0.9278221,-0.3235162,-7.252366,-30.46035,-31.81011,1008.568
0.081513405,0.1017638,0.1125963,0.1694287,0.07196347,0.9283046,-0.3235125,-7.977259,-30.81689,-31.79446,1008.568
0.116272450,-0.2700782,0.05389354,0.04754733,0.07436165,0.9355606,-0.326377,-7.602496,-30.81525,-31.36425,1008.568
0.148549557,-0.3320518,-0.06351201,-0.07433408,0.07632381,0.92542,-0.3216045,-7.602496,-30.81525,-31.36425,1008.569
0.183309555,-0.3320518,-0.06351201,-0.01339338,0.0714841,0.9263659,-0.3240059,-7.989905,-30.45801,-32.2348,1008.569
0.215586186,-0.02218353,-0.004809235,0.04754733,0.07292562,0.9307303,-0.3225338,-7.976597,-31.18141,-31.78984,1008.568
0.247863293,0.03979013,-0.06351201,0.108488,0.0767943,0.9297653,-0.3249649,-7.239058,-31.18375,-31.36515,1008.568
0.282619000,0.3496584,-0.06351201,-0.01339338,0.07389193,0.9307298,-0.3235028,-7.239058,-31.18375,-31.36515,1008.572
0.314992905,0.1017638,-0.06351201,0.1694287,0.0714812,0.9292859,-0.3191549,-7.602496,-30.81525,-31.36425,1008.57
0.349752903,-0.2700782,0.1125963,0.04754733,0.07776681,0.9283245,-0.3225579,-7.264351,-30.46599,-32.24583,1008.568
0.382030010,0.03979013,-0.1809176,-0.01339338,0.07148775,0.9273583,-0.3167486,-7.264351,-30.46599,-32.24583,1008.567
0.416789055,-0.02218353,0.05389354,-0.1352748,0.07678866,0.9331627,-0.3220449,-7.977259,-30.81689,-31.79446,1008.567
0.449066162,-0.2081045,0.1125963,-0.01339338,0.0729038,0.9389472,-0.3253877,-7.626467,-30.82652,-32.2357,1008.567
0.481339455,-0.02218353,-0.1222148,-0.01339338,0.07341608,0.928317,-0.3210983,-7.626467,-30.82652,-32.2357,1008.565
0.516099453,0.1017638,-0.06351201,-0.01339338,0.07148388,0.9283196,-0.3186769,-7.251705,-30.82487,-31.80549,1008.565
0.548375607,0.4736058,-0.1809176,-0.07433408,0.07728044,0.9278228,-0.3273941,-8.352682,-30.45402,-32.22929,1008.563
0.583135605,0.1017638,-0.06351201,-0.01339338,0.07485313,0.9311969,-0.3293034,-8.352682,-30.45402,-32.22929,1008.561
0.615412712,-0.08415719,-0.06351201,0.1694287,0.07050592,0.9307152,-0.3249459,-7.251705,-30.82487,-31.80549,1008.561
0.647689342,-0.3320518,-0.1809176,0.108488,0.0748705,0.9263821,-0.3220793,-7.239719,-30.81923,-31.36976,1008.565
0.682445049,-0.5179728,0.1125963,-0.01339338,0.07197025,0.9244233,-0.3264351,-7.239719,-30.81923,-31.36976,1008.564
0.714722156,-0.2081045,-0.2396203,-0.1352748,0.07583038,0.9297757,-0.3210952,-7.614481,-30.82088,-31.79997,1008.564
0.749482155,-0.02218353,-0.06351201,-0.1352748,0.07631475,0.9302692,-0.3186762,-7.61382,-31.1854,-31.79536,1008.562
0.781758785,-0.02218353,0.2300019,-0.07433408,0.07629967,0.9341161,-0.3259059,-7.61382,-31.1854,-31.79536,1008.562
0.816518307,-0.08415719,-0.06351201,0.04754733,0.06905453,0.9311966,-0.3244566,-7.977259,-30.81689,-31.79446,1008.562
0.848795414,0.2876848,-0.1809176,-0.01339338,0.07487354,0.9249287,-0.322571,-7.61382,-31.1854,-31.79536,1008.562
0.881068230,0.6595268,-0.1222148,-0.01339338,0.07292937,0.9283025,-0.3249649,-7.61382,-31.1854,-31.79536,1008.56
0.915827751,0.3496584,0.1125963,0.108488,0.07485854,0.9297532,-0.3268945,-7.614481,-30.82088,-31.79997,1008.56
0.948104858,-0.3940255,0.05389354,-0.07433408,0.08065232,0.9336429,-0.3264014,-7.601834,-31.17976,-31.35963,1008.56
0.982864857,-0.6419201,0.1125963,0.2303694,0.08114428,0.9302585,-0.3259383,-7.601834,-31.17976,-31.35963,1008.56
1.015141487,-0.5179728,-0.2396203,-0.1962155,0.07437587,0.9307328,-0.3230204,-8.35202,-30.81854,-32.22467,1008.559
1.049901485,-0.2700782,0.05389354,-0.2571562,0.07052392,0.9239483,-0.3225672,-7.977921,-30.45238,-31.79907,1008.559
1.082174301,0.2257111,-0.1809176,0.108488,0.0763089,0.9312223,-0.3230218,-7.977921,-30.45238,-31.79907,1008.557
1.114450932,0.4116321,-0.4157287,0.04754733,0.07291708,0.9326497,-0.3273573,-7.977259,-30.81689,-31.79446,1008.559
1.149210930,0.03979013,-0.1222148,-0.07433408,0.07438537,0.9263742,-0.3240121,-7.602496,-30.81525,-31.36425,1008.559
1.181488037,-0.2081045,-0.06351201,0.2913101,0.07485361,0.9321762,-0.3259138,-7.602496,-30.81525,-31.36425,1008.559
1.216247559,0.03979013,0.1125963,0.04754733,0.07486936,0.9268661,-0.3220765,-7.239719,-30.81923,-31.36976,1008.559
1.248524189,-0.02218353,-0.06351201,-0.1352748,0.07196686,0.926364,-0.3249738,-7.602496,-30.81525,-31.36425,1008.559
1.283279896,0.2876848,-0.1809176,-0.01339338,0.08065224,0.9326652,-0.3293076,-7.965273,-30.81126,-31.35873,1008.563
1.315648079,-0.02218353,-0.1222148,-0.01339338,0.07437006,0.9321748,-0.3259128,-7.965273,-30.81126,-31.35873,1008.563
1.347925186,-0.1461309,-0.1222148,-0.1352748,0.0748512,0.9316775,-0.3302676,-7.614481,-30.82088,-31.79997,1008.564
1.382684231,-0.2700782,-0.004809235,0.04754733,0.07147174,0.9297354,-0.3293045,-7.59051,-30.80961,-30.92852,1008.564
1.414961338,-0.2081045,-0.1222148,0.04754733,0.07631656,0.928322,-0.3220714,-7.59051,-30.80961,-30.92852,1008.564
1.449721336,0.2257111,0.1712991,0.04754733,0.07196189,0.9282981,-0.3254462,-7.614481,-30.82088,-31.79997,1008.566
1.481994629,0.03979013,0.05389354,0.108488,0.07921243,0.9297739,-0.3244866,-7.61382,-31.1854,-31.79536,1008.566
1.516753674,0.03979013,-0.06351201,-0.07433408,0.07775397,0.9307147,-0.3312462,-7.61382,-31.1854,-31.79536,1008.566
1.549030781,-0.08415719,-0.06351201,-0.01339338,0.07632256,0.9244375,-0.325961,-7.614481,-30.82088,-31.79997,1008.568
1.581307888,-0.2700782,-0.1222148,-0.1352748,0.07969787,0.9288058,-0.3249766,-7.61382,-31.1854,-31.79536,1008.568
1.616067886,-0.2081045,-0.1222148,-0.1962155,0.07389365,0.9278049,-0.3298041,-7.61382,-31.1854,-31.79536,1008.568
1.648344517,-0.2081045,-0.06351201,-0.07433408,0.07582612,0.9307353,-0.323507,-8.329373,-30.07824,-31.36245,1008.568
