Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.371902466,50.79297,87,3.77625,271.5625,0
1.250976086,50.79297,87,3.774375,250.3125,0
2.305773258,50.78125,87,3.77625,260.625,0
3.360344887,50.76563,86.71875,3.771875,268.75,0
4.239696503,50.75391,86.4375,3.775625,254.0625,0
5.294436932,50.74219,86.53125,3.775625,248.4375,0
6.348890305,50.74219,86.53125,3.774375,262.5,0
7.227848530,50.73047,86.625,3.775625,253.125,0
8.282788277,50.71875,86.625,3.774375,255.3125,0
9.337583065,50.70703,87,3.7725,270.3125,0
10.216517925,50.70703,86.625,3.77375,263.4375,0
11.271543026,50.69531,86.53125,3.773125,266.5625,0
12.325945854,50.68359,86.34375,3.771875,255.9375,0
13.205528736,50.66797,86.4375,3.775625,253.75,0
14.259717465,50.65625,86.4375,3.77375,250.3125,0
15.314534664,50.65625,86.53125,3.774375,306.25,0
16.369539738,50.64453,86.4375,3.774375,256.5625,0
17.248523712,50.63281,86.34375,3.774375,264.6875,0
18.303289414,50.62109,86.34375,3.775625,247.5,0
19.358056545,50.60938,86.4375,3.773125,258.75,0
20.237603664,50.60938,86.71875,3.774375,249.375,0
21.292041779,50.59766,86.71875,3.773125,254.6875,0
22.346646786,50.58594,86.8125,3.7725,260.3125,0
23.225651741,50.57031,86.90625,3.773125,254.6875,0
24.280451775,50.55859,86.90625,3.774375,264.0625,0
25.335306168,50.55859,86.8125,3.773125,250.3125,0
26.214320183,50.54688,86.8125,3.773125,263.125,0
27.269141197,50.53516,87,3.7725,256.25,0
28.323876381,50.52344,87,3.77125,251.25,0
29.378546238,50.51172,86.90625,3.77375,250.9375,0
30.257475376,50.51172,86.8125,3.77125,266.875,0
31.312379360,50.5,86.53125,3.77375,255.625,0
32.367019177,50.48828,86.34375,3.7725,265.3125,0
33.246176243,50.47266,86.15625,3.771875,253.75,0
34.301085472,50.46094,86.0625,3.774375,265.9375,0
35.355780602,50.44922,85.6875,3.771875,271.5625,0
36.234795570,50.44922,85.6875,3.773125,263.125,0
37.289429188,50.4375,85.5,3.771875,272.5,0
38.344273567,50.42578,85.59375,3.77125,261.25,0
39.223471165,50.41406,85.5,3.77375,265,0
40.278155327,50.41406,85.5,3.7725,257.8125,0
41.333083153,50.40234,85.59375,3.774375,251.25,0
42.211889267,50.39063,85.78125,3.77125,259.6875,0
43.267270088,50.375,85.875,3.77375,252.5,0
44.321997643,50.36328,85.875,3.77125,266.5625,0
45.376845837,50.36328,85.96875,3.773125,257.1875,0
46.255844593,50.35156,86.15625,3.7725,269.6875,0
47.310659409,50.33984,85.96875,3.77125,264.375,0
48.365214825,50.32813,85.96875,3.7725,273.75,0
49.244204044,50.32813,86.15625,3.773125,244.375,0
50.299083710,50.31641,86.15625,3.770625,259.6875,0
51.353888035,50.30469,86.25,3.7725,257.8125,0
52.232813835,50.29297,86.25,3.770625,262.5,0
53.287470341,50.27734,86.15625,3.773125,250.3125,0
54.342637062,50.27734,86.15625,3.770625,255.9375,0
55.221299171,50.26563,86.34375,3.7725,248.75,0
56.276380539,50.25391,86.15625,3.77,260.625,0
57.330792427,50.24219,86.25,3.770625,259.6875,0
58.209755898,50.23047,86.0625,3.76875,267.8125,0
59.264636040,50.23047,86.34375,3.7725,266.25,0
60.319501400,50.21875,86.15625,3.770625,251.875,0
61.374454498,50.20703,86.15625,3.77125,265,0
62.253013611,50.19531,86.4375,3.77125,251.25,0
63.308403492,50.17969,86.34375,3.77125,253.75,0
64.362629414,50.17969,86.34375,3.771875,250.3125,0
65.241897106,50.16797,86.15625,3.76875,249.0625,0
66.296348095,50.15625,86.25,3.771875,247.8125,0
67.351248741,50.14453,86.15625,3.769375,247.1875,0
68.230230331,50.14453,85.875,3.773125,263.125,0
69.285025597,50.13281,85.96875,3.769375,267.1875,0
70.340223789,50.12109,86.0625,3.771875,250.9375,0
71.218980312,50.10938,86.0625,3.77,265.3125,0
72.274067879,50.09766,86.0625,3.77,255,0
73.328161240,50.09766,86.15625,3.769375,253.125,0
74.207192898,50.08203,85.6875,3.77,257.8125,0
75.261951923,50.07031,85.875,3.76875,270.625,0
76.316835404,50.05859,85.96875,3.77125,250,0
77.371596336,50.04688,85.875,3.77,290.3125,0
78.250793934,50.04688,86.0625,3.76875,253.75,0
79.305477142,50.03516,85.78125,3.77,269.0625,0
80.360195160,50.02344,85.875,3.77125,258.75,0
81.239170075,50.01172,85.59375,3.770625,274.0625,0
82.294194222,50,85.6875,3.771875,269.0625,0
83.348789215,50,85.6875,3.770625,250.625,0
84.227688313,49.98438,85.875,3.769375,251.25,0
85.282712936,49.97266,85.875,3.766875,248.125,0
86.337536335,49.96094,85.78125,3.77125,261.25,0
87.216590405,49.96094,85.5,3.76875,262.5,0
88.271150589,49.94922,85.59375,3.76875,249.375,0
89.325916290,49.9375,85.59375,3.76875,248.4375,0
90.205104828,49.92578,85.5,3.768125,257.8125,0
91.259883404,49.91406,85.59375,3.766875,256.5625,0
92.314503670,49.91406,85.59375,3.770625,247.5,0
93.369443894,49.90234,85.5,3.770625,246.5625,0
94.248382568,49.88672,85.59375,3.770625,249.0625,0
95.303276539,49.875,85.59375,3.768125,248.4375,0
96.358229160,49.86328,85.59375,3.76625,273.75,0
97.237077713,49.86328,85.5,3.76875,250,0
98.291995049,49.85156,85.5,3.77125,261.25,0
99.346537590,49.83984,85.5,3.77,248.4375,0
100.225440502,49.82813,85.5,3.77,256.5625,0
101.280206204,49.81641,85.3125,3.769375,257.5,0
102.335144043,49.81641,85.21875,3.7675,273.4375,0
103.214076042,49.80469,85.3125,3.770625,258.125,0
104.268987179,49.78906,85.21875,3.76875,261.25,0
105.323643208,49.77734,85.21875,3.76875,252.8125,0
106.378864288,49.76563,85.3125,3.768125,253.75,0
107.257490635,49.76563,85.3125,3.76875,263.4375,0
108.312315941,49.75391,85.40625,3.765625,265.3125,0
109.367242336,49.74219,85.3125,3.769375,253.4375,0
110.246066570,49.73047,85.3125,3.766875,265.3125,0
111.301041603,49.73047,85.3125,3.766875,251.875,0
112.355896473,49.71875,85.3125,3.766875,257.1875,0
113.234860897,49.70703,85.3125,3.768125,254.6875,0
114.289512158,49.69141,85.3125,3.76625,280.3125,0
115.344769001,49.67969,85.3125,3.769375,257.1875,0
116.223503590,49.67969,85.21875,3.76625,270.3125,0
117.278110504,49.66797,85.125,3.7675,260.9375,0
118.333001137,49.65625,85.21875,3.76875,269.6875,0
119.211849213,49.64453,85.125,3.76875,257.5,0
120.266738415,49.63281,84.75,3.77,261.5625,0
121.321456909,49.63281,84.65625,3.768125,262.1875,0
123.255564690,49.60938,84.84375,3.7675,275.625,0
124.309947014,49.59375,84.65625,3.76875,255,0
125.364755631,49.58203,84.65625,3.768125,250,0
126.243810177,49.58203,84.84375,3.76875,248.125,0
127.298426628,49.57031,85.03125,3.768125,260.3125,0
128.353344441,49.55859,84.84375,3.76625,245.3125,0
129.232366085,49.54688,84.9375,3.76625,263.4375,0
130.287074089,49.54688,84.84375,3.763125,256.25,0
131.341731548,49.53516,84.75,3.7675,251.875,0
132.220746994,49.52344,84.84375,3.76625,273.4375,0
133.275901794,49.51172,84.5625,3.768125,261.5625,0
134.330590248,49.49609,84.5625,3.766875,255.9375,0
135.209615231,49.49609,84.46875,3.766875,256.5625,0
136.264261723,49.48438,84.75,3.76875,251.25,0
