Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.281296730,46.25,74.90625,3.75625,258.125,0
1.335975170,46.23828,74.90625,3.7575,255,0
2.390894413,46.22656,74.90625,3.755625,263.75,0
3.269833565,46.21484,74.90625,3.756875,266.25,0
4.324372768,46.20313,75.1875,3.75875,254.375,0
5.379293442,46.19141,75.28125,3.75625,254.0625,0
6.258760929,46.19141,75.28125,3.758125,257.8125,0
7.313354015,46.17578,75.28125,3.75875,262.8125,0
8.367933750,46.16406,75.09375,3.758125,300.3125,0
9.246886730,46.15234,75,3.758125,259.0625,0
10.301749706,46.14063,74.8125,3.755625,253.75,0
11.356400967,46.12891,74.71875,3.755625,256.25,0
12.235846520,46.12891,74.8125,3.75625,276.5625,0
13.290189743,46.11719,75,3.759375,259.0625,0
14.345121861,46.10547,75.09375,3.7575,267.5,0
15.399930954,46.09375,75.1875,3.75625,269.0625,0
16.278769493,46.07813,75.1875,3.755625,259.375,0
17.333789826,46.07813,75.1875,3.756875,247.1875,0
18.388383389,46.06641,75.28125,3.75625,262.1875,0
19.267402649,46.05469,75.1875,3.755,255.9375,0
20.322202206,46.04297,75.28125,3.75625,261.5625,0
21.376977444,46.03125,75.375,3.755625,274.6875,0
22.256129265,46.01953,75.1875,3.7575,253.4375,0
23.310601235,46.01953,75.09375,3.755625,269.0625,0
24.365568638,46.00781,75.09375,3.754375,253.4375,0
25.244564056,45.99609,75.09375,3.75625,262.8125,0
26.299348831,45.98047,74.90625,3.75375,275,0
27.354472160,45.96875,74.90625,3.759375,253.125,0
28.233079910,45.95703,74.8125,3.754375,253.75,0
29.287946701,45.95703,74.71875,3.755625,269.0625,0
30.342860222,45.94531,74.71875,3.755625,250,0
31.397722244,45.93359,74.8125,3.755625,258.125,0
32.276716232,45.92188,74.90625,3.755625,270,0
33.331289768,45.91016,75,3.75625,264.375,0
34.386209965,45.89844,75.09375,3.756875,262.8125,0
35.265169144,45.89844,75.1875,3.75375,260.3125,0
36.320524216,45.88281,75.09375,3.756875,250,0
37.374644280,45.87109,75,3.75375,262.5,0
38.253760338,45.85938,75,3.75625,272.8125,0
39.308628082,45.84766,75,3.755625,265.3125,0
40.363343239,45.83594,74.90625,3.754375,260,0
41.242398262,45.83594,74.90625,3.75375,277.5,0
42.297318935,45.82422,75,3.75625,256.25,0
43.351945877,45.8125,74.90625,3.75375,260,0
44.231118679,45.80078,74.53125,3.753125,289.375,0
45.285720825,45.78516,74.625,3.754375,256.875,0
46.340466023,45.77344,74.71875,3.754375,261.875,0
47.395405769,45.77344,74.71875,3.75375,269.375,0
48.274251461,45.76172,74.625,3.75625,257.1875,0
49.329191208,45.75,74.53125,3.75625,267.8125,0
50.383844376,45.73828,74.4375,3.755,265,0
51.263403893,45.72656,74.625,3.75375,263.4375,0
52.317615986,45.71484,74.53125,3.753125,255.3125,0
53.372534752,45.71484,74.625,3.753125,259.375,0
54.251494885,45.70313,74.53125,3.7525,280.9375,0
55.306518555,45.6875,74.4375,3.754375,275.3125,0
56.361447811,45.67578,74.34375,3.7575,260.625,0
57.239967346,45.67578,74.34375,3.755,274.0625,0
58.294889450,45.66406,74.34375,3.754375,257.8125,0
59.349618435,45.65234,74.25,3.755625,248.4375,0
60.228523254,45.64063,74.34375,3.755,263.75,0
61.283559799,45.62891,74.53125,3.755,264.0625,0
62.338054657,45.61719,74.53125,3.755,261.875,0
63.393046856,45.60547,74.34375,3.754375,260.625,0
64.272098541,45.60547,74.34375,3.75125,257.1875,0
66.381519318,45.57813,74.34375,3.75625,260,0
67.260459900,45.56641,74.53125,3.754375,260,0
68.315375328,45.55469,74.4375,3.7525,260,0
69.369997501,45.54297,74.34375,3.7475,265.625,0
70.249405861,45.54297,74.53125,3.7525,253.75,0
71.304006577,45.53125,74.34375,3.755625,257.5,0
72.358535767,45.51953,74.4375,3.754375,266.875,0
73.237646103,45.50781,74.34375,3.75375,266.5625,0
74.292422295,45.49219,74.34375,3.75375,253.125,0
75.347190857,45.49219,74.15625,3.754375,275.625,0
76.226323605,45.48047,74.25,3.753125,258.125,0
77.281141758,45.46875,74.0625,3.751875,254.0625,0
78.336046696,45.45703,73.96875,3.750625,261.5625,0
79.391238690,45.44531,74.15625,3.75375,245.3125,0
80.269867420,45.43359,74.15625,3.751875,260.3125,0
81.324484348,45.43359,73.96875,3.750625,278.4375,0
82.379461289,45.42188,74.0625,3.751875,252.1875,0
83.258391380,45.41016,74.0625,3.750625,269.375,0
84.313101292,45.39453,73.96875,3.749375,284.375,0
85.368082523,45.38281,73.96875,3.750625,257.1875,0
86.246761799,45.37109,73.78125,3.750625,284.0625,0
87.301745415,45.37109,73.78125,3.75125,269.375,0
88.356468678,45.35938,73.875,3.7525,268.125,0
89.235342026,45.34766,73.875,3.75125,255.9375,0
90.290325642,45.33594,73.96875,3.750625,262.5,0
91.344861507,45.32422,73.78125,3.750625,262.5,0
92.399774551,45.3125,73.875,3.751875,255.3125,0
93.278743267,45.3125,73.78125,3.751875,268.75,0
94.333969593,45.29688,73.96875,3.75125,254.0625,0
95.388329506,45.28516,74.15625,3.753125,254.0625,0
96.267294884,45.27344,74.0625,3.751875,279.375,0
97.322131634,45.26172,74.0625,3.7525,272.5,0
98.377092362,45.25,73.96875,3.7525,254.375,0
99.255767345,45.25,73.96875,3.749375,260,0
100.310740948,45.23828,74.0625,3.75,264.0625,0
101.365517140,45.22656,73.96875,3.751875,259.0625,0
102.244477272,45.21484,74.0625,3.7525,260.625,0
103.299177647,45.21484,74.25,3.7525,265,0
104.354071140,45.19922,74.25,3.75375,272.1875,0
105.232970238,45.1875,73.96875,3.751875,256.875,0
106.287886143,45.17578,73.78125,3.750625,270.9375,0
107.342623711,45.16406,73.78125,3.750625,273.75,0
108.398083210,45.15234,73.5,3.7525,256.25,0
109.276591778,45.15234,73.59375,3.746875,314.6875,0
110.331003189,45.14063,73.40625,3.749375,263.4375,0
111.385950089,45.12891,73.125,3.750625,269.375,0
112.265061855,45.11719,73.03125,3.75,270.3125,0
113.319855213,45.10156,73.03125,3.751875,270,0
114.374733925,45.08984,72.9375,3.749375,275.9375,0
115.253438473,45.07813,73.03125,3.7525,259.6875,0
116.308377266,45.07813,73.03125,3.74875,256.25,0
117.363300324,45.06641,73.03125,3.75125,254.0625,0
118.242290497,45.05469,73.21875,3.751875,264.375,0
119.297233105,45.04297,72.9375,3.750625,258.125,0
120.352046013,45.03125,73.21875,3.753125,250.9375,0
121.231015682,45.03125,73.3125,3.750625,264.6875,0
122.286241055,45.01953,73.40625,3.7525,258.75,0
123.340431690,45.00391,73.5,3.750625,253.75,0
124.395231247,44.99219,73.40625,3.75125,272.5,0
125.274317741,44.98047,73.59375,3.749375,260,0
126.329057217,44.96875,73.5,3.75,258.125,0
127.384151459,44.95703,73.5,3.749375,271.5625,0
128.263163567,44.95703,73.5,3.750625,265.9375,0
129.317522526,44.94531,73.59375,3.751875,260.9375,0
130.372409821,44.93359,73.78125,3.7525,264.375,0
131.251356602,44.92188,73.59375,3.74875,263.4375,0
132.306035042,44.90625,73.59375,3.750625,247.8125,0
133.361012459,44.90625,73.6875,3.74875,251.875,0
134.239788532,44.89453,73.6875,3.749375,272.8125,0
135.294670105,44.88281,73.6875,3.751875,273.125,0
136.349364758,44.87109,73.5,3.749375,280.9375,0
137.229147911,44.85938,73.59375,3.749375,259.6875,0
138.283319473,44.84766,73.6875,3.749375,255,0
139.338031769,44.84766,73.5,3.74875,260.9375,0
140.392938614,44.83594,73.5,3.75,269.0625,0
141.272021771,44.82422,73.59375,3.75125,258.75,0
142.326992989,44.80859,73.59375,3.75125,249.0625,0
143.381381035,44.79688,73.3125,3.74875,258.125,0
144.260430813,44.79688,73.3125,3.749375,270,0
145.315239906,44.78516,73.3125,3.748125,263.75,0
146.369933128,44.77344,73.125,3.75,261.25,0
147.248958588,44.76172,72.9375,3.749375,258.75,0
148.303730965,44.75,72.84375,3.74875,257.8125,0
149.358624935,44.73828,72.9375,3.749375,261.25,0
150.237657547,44.73828,72.9375,3.750625,258.75,0
151.292267799,44.72656,72.9375,3.750625,256.875,0
152.347325325,44.71094,72.9375,3.749375,297.5,0
153.225992203,44.69922,72.75,3.749375,263.75,0
