Time (s),Humidity (%)
-0.005759716,18.6875
0.993649006,18.9502
1.993057728,19.28613
2.992466927,20.48145
3.991876602,20.21973
4.993790627,19.77246
5.993200302,17.86719
6.992647171,19.59863
7.992057323,18.80176
8.993971825,18.47852
9.993381977,18.66504
10.992792130,18.4043
11.992202282,19.4502
12.991612911,19.35059
13.993528366,19.37598
14.993005276,18.75293
15.992415428,18.94043
16.991826534,18.4043
17.993741989,19.92383
18.993152142,19.71191
19.992563248,18.89063
20.991973877,18.99023
21.993923664,19.18945
22.993739128,19.46387
23.993150234,17.91992
24.992561817,18.54199
25.991972446,18.97852
26.993888855,19.02832
27.993300438,19.00293
28.992712021,19.75098
29.992133617,19.83789
30.994050026,18.46875
31.993461609,19.09082
32.992873669,18.81738
33.992285252,19.53906
34.991697311,19.46484
35.993618488,18.92969
36.993030548,17.94629
37.992443085,18.80566
38.991855144,19.11719
39.993772984,19.42871
40.993255138,19.34082
41.992668152,20.2373
42.992080212,19.11719
43.991492271,19.63965
44.993410110,19.04199
45.992822170,19.65234
46.992234707,19.00488
47.991647243,18.68164
48.993564129,20.00098
49.993021011,18.27051
50.992434025,18.83105
51.991846561,19.51563
52.991258621,19.06738
53.993519783,19.03027
54.992931843,19.72754
55.992344856,19.61523
56.991756916,19.49023
57.993674755,19.24219
58.993087292,19.44141
59.992500305,18.98047
60.991913319,18.90625
61.991338730,19.5166
62.993256569,18.48242
63.992670059,19.64063
64.992083073,19.33008
65.991496563,19.41699
66.993414879,19.15527
67.992827892,19.5918
68.992408752,19.74023
69.991821766,18.66992
70.991235256,19.56641
71.993153572,19.97754
72.992659092,18.91895
73.992072582,18.96875
74.991579533,19.74023
75.993497849,19.86523
76.992911339,18.52051
77.992324829,19.09277
78.991738319,19.31738
79.991152287,19.95313
80.993070126,19.26758
81.992708683,20.25195
82.992122173,19.85352
83.991535664,19.15625
84.993453979,18.76953
85.992867470,19.77832
86.992280960,19.85352
87.991694927,20.07715
88.993613720,19.39258
89.993027210,19.71582
90.992440701,19.95313
91.991854191,19.41699
92.991268158,20.07715
93.993255138,18.66992
94.992862701,19.19336
95.992276669,19.6543
96.991690159,19.50488
97.993609428,19.25586
98.993022919,19.40527
99.992436886,19.66699
100.991850853,19.94043
101.991264343,19.66699
102.993183136,18.88184
103.992597580,19.74121
104.992011070,19.80371
105.991424561,18.81934
106.993500710,18.79492
107.992914200,19.37988
108.992348671,18.78223
109.991763115,19.55469
110.991177082,19.24414
111.993095875,20.24023
112.992510319,20.25195
113.991925240,20.07813
114.991339684,19.94141
115.993307114,19.72949
116.992721081,20.12793
117.992136002,19.14453
118.991550446,19.7041
119.990964890,19.94141
120.992883682,19.79199
121.992298126,20.16504
122.991712093,19.25586
123.991214275,19.64258
124.993134022,19.50488
125.992548466,20.10254
126.991962433,20.26465
127.991375923,19.31836
128.991386414,18.80762
129.993305206,19.8916
130.992719650,19.75391
131.992133617,19.29395
132.991548061,20.53906
133.993466854,20.13965
134.992881298,19.61719
135.992295265,20.11523
136.991709709,20.04004
137.991123676,19.6416
138.993042946,20.27637
139.992456436,19.19336
140.991870880,19.86523
141.991284370,18.83203
142.993203163,19.40527
143.992616653,20.05176
144.992031097,19.61621
145.991444588,19.61621
146.990859032,20.06445
147.992776871,19.55371
148.992191315,19.47949
149.991604805,19.84082
150.991018295,18.94336
151.992937565,19.4541
152.992351532,19.67871
153.991765022,20.20117
154.991179466,20.01465
155.990592957,18.86914
156.992511749,20.08887
157.991926193,19.82813
158.991339684,18.88184
159.990754128,19.6543
160.992672920,20.38867
161.992087364,19.10645
162.991501331,19.5166
163.990957260,19.49219
164.992876530,19.42969
165.992290974,19.13086
166.991950989,18.93164
167.991365433,20.25195
168.990780354,19.04492
169.992700100,18.5957
170.992115021,19.41797
171.991529942,18.89551
172.990944862,18.82031
173.992865086,19.28223
174.992376328,20.27832
175.991792202,19.84277
176.991207600,20.34082
177.990623951,18.46094
178.992544651,19.46973
179.991961002,20.2793
180.991488457,19.59473
181.990904808,20.61621
182.993008614,20.15527
183.992425442,20.03125
184.991842270,19.79492
185.991259098,20.6543
186.990675926,18.46191
187.992598534,20.26855
188.992222786,18.31348
189.991640091,19.12305
190.991056919,18.87402
191.992979527,19.13574
192.992396832,19.04883
