Time (s),Humidity (%)
0.098988533,13.35742
1.098790646,11.63477
2.098592281,11.49805
3.098394871,11.44824
4.098196507,11.62207
5.100494385,11.60938
6.100296021,12.41504
7.100163460,12.16699
8.099965096,12.19238
9.099766731,11.25
10.099568367,11.53516
11.099370003,10.51855
12.099171162,11.83203
13.099050999,11.99316
14.098851681,12.10449
15.098652840,10.76563
16.098453045,13.16992
17.098253727,11.32324
18.098053932,11.58398
19.100327969,11.76953
20.100127697,11.08691
21.099941731,11.92969
22.099740505,11.32227
23.099816799,12.20215
24.099615097,11.25977
25.099412918,11.80469
26.099209785,12.53613
27.099007607,12.62207
28.098803997,11.79199
29.098600864,11.44434
30.098420620,12.37402
31.098447323,11.95215
32.098243237,12.76953
33.100513458,11.24512
34.100308418,12.34766
35.100103378,11.16992
36.099897862,11.81445
37.099692345,11.20703
38.099574566,11.19434
39.099368095,12.51953
40.099161148,11.73926
41.098954201,12.2959
42.098747253,12.32031
43.098539352,11.7627
44.098331928,10.87109
45.098123550,11.94824
46.100389957,12.26953
47.100180626,11.16699
48.099971771,12.56641
49.099761963,11.00586
50.099551678,12.28125
51.099354267,11.78613
52.099398613,12.65234
53.099187374,12.99902
54.098976612,12.75098
55.098764896,13.01074
56.098553658,11.46289
57.098341465,12.78711
58.098129749,12.18066
59.100392342,12.98535
60.100179672,12.81152
61.099967003,11.53613
62.099753857,12.31543
63.099540710,12.51367
64.099328041,11.7334
65.099113941,12.1416
66.098899841,11.03906
67.098685265,11.83105
68.098471165,12.30176
69.098567009,11.6084
70.098351955,11.22461
71.098136902,12.27637
72.100395679,11.81836
73.100275993,13.10547
74.100060463,12.05273
75.099843979,12.07715
76.099631786,11.76758
77.099414825,11.80469
78.099197865,11.07422
79.099151611,13.10449
80.098933697,12.93066
81.098716259,11.59375
82.098498344,12.50879
83.098280907,12.58398
84.098062515,13.00391
85.100318909,11.95117
86.100100040,13.06445
87.099880219,13.49805
88.099661350,12.38379
89.099602222,13.80664
90.099381924,13.11328
91.099161625,13.92969
92.098941326,13.5957
93.098721027,12.80371
94.098499775,12.07324
95.098409653,12.88965
96.098187923,13.23535
97.097966194,10.99512
98.100219250,11.96094
99.099997044,12.47949
100.099774361,13.53125
101.099552155,13.54395
102.099328995,14.35938
103.099172115,13.3584
104.098948956,13.09863
105.098725319,13.45703
106.098502636,13.56836
107.098278999,13.03613
108.098055363,12.24414
109.097831249,12.28125
110.100082397,12.4668
111.099858284,13.30762
112.099633694,13.08398
113.099436760,12.50098
115.098986149,12.09277
116.098922253,11.06641
117.098697662,12.99609
118.098652363,12.66211
119.098426819,13.44141
120.098201275,12.10547
121.097974777,12.2168
122.097749233,13.13184
123.099997997,12.15527
124.099809647,12.69922
125.099632740,12.9834
126.099406242,12.41406
127.099183559,11.64648
128.098957062,12.87109
129.098738194,12.01758
130.098511219,12.0293
131.098284245,11.73242
132.098057270,12.27734
133.097830296,12.63574
134.097602367,13.35352
135.099882603,11.7207
136.099655151,11.6582
137.099427700,13.11816
138.099199772,13.76074
139.099215984,12.25195
140.099054337,13.24121
141.098825932,13.1543
142.098598003,14.37891
143.098370075,12.8584
144.098141670,13.2041
145.097913265,13.19141
146.097769737,13.14258
147.100016117,13.32715
148.099787712,13.36426
149.099559307,13.53809
150.099330902,13.63672
151.099103451,14.00781
152.098875046,13.9209
153.098646641,13.66113
154.098419189,13.45117
155.098190784,13.16699
156.097963333,13.37695
157.097735405,12.28906
158.097507954,14.19336
159.100113392,13.01855
160.099886417,12.4873
161.099658966,13.5752
162.099431992,14.18164
163.099205494,14.24316
164.099017620,12.88379
165.098791599,14.12109
166.098565102,13.23047
167.098339558,13.88574
168.098114014,13.55273
169.097887993,12.2168
170.097662926,13.34277
171.099912643,13.4043
172.099687576,12.61328
173.099462986,12.3418
174.099238396,13.00977
175.099014282,13.82617
176.098789692,12.54004
177.098565578,13.75195
178.098341942,12.88672
179.098118305,13.72754
180.097893715,12.83691
181.097671032,12.08301
182.097446919,12.72656
183.099759579,13.44336
184.099589348,11.84766
185.099534988,13.35645
186.099311352,12.54004
187.099087238,12.67578
188.098951340,11.52539
189.098771572,11.85938
190.098547936,12.26758
191.098324776,12.23145
192.098101139,13.81445
193.097979546,12.08301
