Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.6804992,0.4877949,0.3831706,0.08316638,-0.7950441,0.6076747,-11.84907,45.36723,-14.26315,1008.465
0.032168865,1.110512,-0.2224253,0.01544843,0.08367626,-0.786806,0.6062919,-11.47691,45.35617,-14.71137,1008.465
0.066815853,-0.6709699,0.2510549,0.07673546,0.08370504,-0.7935497,0.612984,-11.47665,45.73731,-14.71323,1008.465
0.098988533,-0.6709699,0.1918698,0.07673546,0.0812734,-0.79353,0.6139709,-11.47665,45.73731,-14.71323,1008.465
0.133635521,-0.7324003,-0.2816103,0.07673546,0.08367063,-0.7959989,0.6100721,-11.85433,46.12381,-14.71316,1008.465
0.165808201,-0.240957,-0.1040552,0.07673546,0.08218239,-0.7960137,0.6071939,-11.47665,45.73731,-14.71323,1008.465
0.200455666,-1.285274,0.1326848,0.1993095,0.08373127,-0.7901409,0.6144579,-11.47665,45.73731,-14.71323,1008.469
0.232624054,-0.3638178,0.3694249,0.1993095,0.08806207,-0.7931197,0.6086089,-11.85485,45.36154,-14.70943,1008.469
0.264796734,0.3119168,-0.5183503,-0.7199959,0.07780945,-0.8032281,0.6129592,-11.09897,45.35081,-14.7133,1008.47
0.331616402,-36.11632,13.39013,2.099207,0.08263411,-0.6505322,0.5905551,-11.86011,46.11812,-15.15944,1008.465
0.398436070,-652.0176,-9.751212,-150.5055,0.3628579,-2.449612,-0.2106226,-11.09319,45.35649,-14.26702,1008.465
0.433079243,-157.6257,91.98782,-186.2971,0.2690743,-2.780248,-0.4096111,-12.06033,46.67923,-1.452173,1008.465
0.465251923,-168.5603,93.28989,-246.2971,-0.02306551,-1.484913,0.2043651,-16.46012,45.03542,14.00922,1008.465
0.499899864,-202.777,122.5273,-256.1643,0.3322258,-1.539393,-0.4635946,-16.46012,45.03542,14.00922,1008.463
0.532071591,-20.45156,167.212,-232.8139,0.3230023,-1.0631,-0.5140479,-24.34952,38.27539,18.10016,1008.461
0.566719532,32.50145,176.7408,-203.7026,0.4376799,-0.6147334,-0.2665658,-33.80522,27.73786,18.20061,1008.459
0.598891258,63.21666,166.8569,-181.2103,0.5706814,-0.4412145,-0.08659054,-33.80522,27.73786,18.20061,1008.457
0.633535385,62.84808,148.0952,-155.7149,0.5449854,-0.1736694,0.03635475,-39.1934,19.71907,11.19002,1008.46
0.665707588,23.47118,137.2052,-131.2001,0.5842723,-0.1412017,-0.00808812,-43.8126,13.98772,5.056965,1008.46
0.700355053,23.34832,142.4135,-103.1919,0.4928753,-0.02671805,-0.1383593,-43.8126,13.98772,5.056965,1008.458
0.732527733,-12.71133,183.0736,-74.69344,0.6309236,0.0973075,-0.2051409,-46.15813,8.61097,-0.6432762,1008.451
0.767174721,-31.69333,235.5707,-41.47586,0.4055365,0.01200357,-0.271703,-46.24654,4.715173,-7.255123,1008.449
0.799347401,-224.9534,154.4872,41.99706,-2.923753,-0.684813,8.185235,-46.24654,4.715173,-7.255123,1008.451
0.831515789,20.03108,-116.3434,-84.98965,-0.2872153,-0.07614311,1.132797,-44.85188,1.08709,-16.10766,1008.451
0.866163254,201.9265,52.9849,-13.65156,1.741579,-0.6252849,0.02387616,-42.99939,3.372401,-19.12526,1008.449
0.898335457,100.9964,4.68993,-3.661773,0.3254429,0.404068,0.9840292,-42.99939,3.372401,-19.12526,1008.447
0.932982922,-16.45859,-13.77579,-11.50651,0.9098476,-0.09342106,0.733475,-43.76867,0.6403117,-20.00062,1008.447
0.965155125,54.49354,-15.84727,10.49553,0.8785487,-0.04061798,0.6999804,-42.64243,-2.049413,-20.43967,1008.446
0.999802589,29.92138,-20.16777,15.3372,0.6830032,-0.3044398,0.7285501,-43.39882,-2.800943,-20.43209,1008.444
1.031970978,66.47247,-21.46984,26.06243,0.7823429,-0.2287223,0.6665514,-43.39882,-2.800943,-20.43209,1008.444
1.066618443,81.2772,-12.05943,45.85814,0.7532699,-0.0900882,0.6241037,-43.38149,-2.783888,-19.09324,1008.444
1.098790646,110.0266,-1.702051,67.24731,0.7585547,-0.1526081,0.7025868,-44.11978,-2.374964,-17.75239,1008.444
1.133438110,158.4338,-7.738922,81.22075,0.7248472,-0.1099195,0.6777074,-44.11978,-2.374964,-17.75239,1008.442
1.165610790,181.0402,-6.496037,94.76518,0.5413702,-0.1056152,0.6770448,-43.74184,-2.380332,-17.75433,1008.44
1.200257778,229.4474,-9.396102,101.2616,0.5259154,-0.1633821,0.6661088,-44.49694,-1.226195,-17.75604,1008.44
1.232426167,269.8071,-7.087887,118.1155,0.6568362,-0.05022979,0.5694202,-44.49694,-1.226195,-17.75604,1008.44
1.267073631,278.9603,12.91665,128.4118,0.5086091,0.2188878,0.6284518,-44.48621,-1.215637,-16.92723,1008.44
1.299246311,183.5588,22.32706,125.1635,0.5266153,0.4057074,0.8226237,-44.86338,-0.06686795,-16.93088,1008.439
1.331418514,74.51985,31.50074,129.4536,0.5207495,0.3361309,0.7970409,-44.86338,-0.06686795,-16.93088,1008.439
1.366065979,-18.05578,35.93962,142.9368,0.2973601,0.1285905,0.6788425,-43.74556,0.6630511,-18.21549,1008.439
1.398238182,-27.33177,33.21711,147.472,0.4824559,0.03254159,0.7423575,-43.7545,4.526539,-19.12697,1008.437
1.432881832,-39.00355,42.80508,161.0777,0.3945122,-0.01729646,0.5798514,-43.7545,4.526539,-19.12697,1008.437
1.465054035,-68.7973,44.75819,162.3035,0.3810355,-0.2631204,0.6049426,-41.87276,9.824194,-20.05525,1008.439
1.499701500,-51.28963,65.82805,167.5129,0.4387747,-0.5218619,0.5743147,-38.85642,16.24915,-20.99492,1008.439
1.531873703,-32.92194,71.86491,175.6028,0.4244418,-0.4627015,0.8728118,-38.85642,16.24915,-20.99492,1008.439
1.566521168,-39.18784,51.20935,179.0961,0.172769,-0.4898238,0.8440887,-35.83457,22.29865,-21.48644,1008.439
1.598693848,-29.60469,36.59065,173.3964,0.09317289,-0.8272675,0.6526237,-30.55137,27.54799,-22.43213,1008.439
1.633337021,-0.9166915,33.51303,152.0073,0.08627957,-0.9757825,0.7753375,-30.55137,27.54799,-22.43213,1008.437
1.665509224,22.36544,38.48457,129.0246,0.1040661,-0.9602338,0.8519376,-24.88393,33.55992,-22.93719,1008.44
1.700156689,51.11487,40.55605,107.6967,0.1125704,-0.9248224,0.9177021,-20.36311,36.52832,-24.25037,1008.442
1.732329369,69.17541,40.91116,97.89082,0.1465573,-0.7512884,1.161743,-20.36311,36.52832,-24.25037,1008.442
1.766976356,-89.25362,1.37557,81.22075,0.01100558,-1.095894,1.516365,-15.05468,37.16906,-27.85173,1008.442
1.799149036,-22.41734,2.914381,14.84691,-0.151532,-1.266004,1.129915,-11.66452,37.4905,-28.76356,1008.444
1.833792210,74.33556,-2.530641,-23.21233,0.1325665,-1.08462,0.4125087,-11.66452,37.4905,-28.76356,1008.446
1.865964889,165.9897,27.89046,-0.9651439,-0.04074486,0.1666435,0.6119391,-9.00032,39.37564,-27.44756,1008.446
1.898137093,-85.07635,-0.5775353,7.982761,-0.06610015,0.05816977,1.131841,-9.802371,38.19831,-30.9446,1008.446
1.932784557,-107.1299,-19.99022,10.25038,0.07233895,-0.4182639,0.9955175,-9.802371,38.19831,-30.9446,1008.447
1.964956760,-124.0232,-14.78194,13.37602,0.03698334,-0.9053534,0.6240662,-9.419682,36.6741,-30.49281,1008.449
1.999604225,-24.99741,-0.4591653,7.553752,0.03713153,-0.8718897,0.6836267,-8.988722,39.45053,-26.55531,1008.451
2.031772614,-31.93905,3.802156,0.4444576,-0.02649033,-0.646547,0.7853699,-8.988722,39.45053,-26.55531,1008.451
2.066420078,-23.58451,-2.885751,1.302476,0.01400916,-0.7361373,0.7119536,-8.964581,40.99781,-24.77763,1008.453
2.098592281,-11.54415,-0.8734604,10.25038,0.05389282,-0.5175487,0.8227974,-9.319976,41.40624,-23.05619,1008.453
2.133239746,-37.52922,-11.64513,12.39543,0.03107339,-0.6739306,0.7961751,-8.185385,42.53354,-23.06757,1008.455
2.165412426,-71.0088,-18.8657,21.09818,-0.002921265,-0.2994781,0.8670592,-8.185385,42.53354,-23.06757,1008.456
2.200059414,-175.3176,-13.59824,15.95008,0.02761826,-0.6086301,0.7017918,-8.16253,42.17514,-21.28059,1008.458
2.232227802,-159.5914,-10.16551,5.592567,0.01107891,-1.131348,0.3799991,-7.343714,43.74984,-16.51032,1008.458
2.266875267,-48.77098,1.2572,-4.029495,0.001813944,-1.052474,0.3426579,-7.343714,43.74984,-16.51032,1008.46
2.299047947,-9.394088,18.00656,-10.64849,-0.04466497,-1.041789,0.4395795,-7.273402,46.48518,-11.23173,1008.46
2.333694935,18.06531,6.465481,-15.30631,0.03032027,-0.7156816,0.6685901,-7.633751,46.88874,-9.892818,1008.46
2.365867615,-41.33791,0.54698,-10.58721,-0.003978038,-0.6087692,0.6003835,-7.633751,46.88874,-9.892818,1008.462
2.400515556,-76.59896,-0.4591653,-3.355338,0.05586914,-0.8764544,0.4183145,-8.011948,46.51298,-9.889023,1008.462
2.432683468,-28.99039,2.736825,-7.155133,0.04096554,-1.050669,0.4131613,-8.360996,46.54677,-7.655686,1008.462
2.464855671,-28.25323,3.742971,-14.32571,0.0007749868,-0.8442575,0.466812,-8.360996,46.54677,-7.655686,1008.462
2.499503136,-55.71262,2.144975,-17.51264,0.1457039,-0.8439779,0.407622,-9.093507,46.96138,-5.868557,1008.463
2.531675816,-30.95616,8.536957,-11.5678,0.06454196,-0.9350735,0.3753344,-8.321118,46.96688,-4.597337,1008.465
2.566323280,-35.62487,-1.820421,-17.94165,0.0474189,-0.8722388,0.4560241,-8.321118,46.96688,-4.597337,1008.467
2.598495483,-56.94123,3.447046,-19.96412,0.121777,-0.92939,0.3309852,-9.426304,46.63028,-2.358272,1008.467
2.633139133,-28.37609,0.1918698,-19.96412,0.0065976,-1.044365,0.3272561,-10.15907,46.66376,-0.5692806,1008.467
2.665311813,5.779223,-1.051015,-23.15105,-0.006071164,-0.9679181,0.3506585,-10.15907,46.66376,-0.5692806,1008.467
2.699958801,-8.841214,-3.832711,-23.88649,0.0537429,-0.905059,0.2951886,-11.28737,46.30442,-0.1153393,1008.467
2.732131481,-18.73151,-8.330771,-18.61581,0.08087537,-0.9223719,0.3964947,-12.0383,46.32003,0.2710552,1008.465
2.766778946,-24.69026,-9.455287,-11.62909,0.1809551,-0.8812073,0.3231182,-12.0383,46.32003,0.2710552,1008.461
2.798951149,-28.8061,-4.128636,3.876531,0.1514544,-0.9440522,0.2110515,-12.78236,46.72326,1.165623,1008.465
2.833594322,-7.428315,-2.589826,11.84384,0.1496023,-0.9801819,0.182333,-12.77158,45.59124,2.063766,1008.465
2.865767002,5.349211,4.867486,20.30145,0.1143884,-1.020215,0.1924535,-12.77158,45.59124,2.063766,1008.465
2.900414467,30.71997,6.938961,28.02362,0.0500913,-0.8994535,0.264421,-13.52168,45.60766,2.513916,1008.465
2.932586670,15.97667,4.8083,33.7846,0.06012458,-0.8987698,0.296627,-12.77132,45.97237,2.061905,1008.465
2.964759350,32.01001,2.79601,41.07775,0.05344946,-0.9754807,0.3524508,-12.77132,45.97237,2.061905,1008.465
2.999406338,35.20439,-5.253151,44.44854,0.02734906,-1.049628,0.4764389,-10.89318,45.93416,1.159676,1008.465
3.031575203,19.29391,-13.47987,36.54251,-0.02193476,-1.046813,0.2431522,-9.781132,46.65839,-0.5712147,1008.467
3.066222191,55.23071,-3.832711,41.87449,0.04045865,-1.029369,0.3424877,-8.2799,48.15008,-1.478955,1008.467
3.098394871,43.25177,-12.59209,40.09716,-0.1960924,-1.018445,0.410819,-8.2799,48.15008,-1.478955,1008.467
3.133041859,49.88626,-20.58207,33.53945,-0.1963406,-0.9790555,0.420304,-6.041668,47.32718,-3.71824,1008.461
3.165214539,67.88537,-29.81493,34.45876,-0.1954939,-0.9946521,0.4124556,-4.546986,47.66978,-5.066678,1008.461
3.199862003,73.29124,-30.82108,19.44343,-0.213086,-0.8645816,0.4628559,-4.546986,47.66978,-5.066678,1008.461
3.232030392,17.63529,11.9105,61.30247,-0.7831525,-0.4784363,0.3826708,-3.069071,47.61501,-7.688343,1008.463
3.266677380,-36.91491,-28.39449,22.87551,-0.1226124,-0.9155904,0.4524332,-1.952844,47.20072,-9.031125,1008.461
3.298850060,29.73709,-11.64513,29.80094,-0.4303848,-1.111628,0.4498329,-1.952844,47.20072,-9.031125,1008.461
3.333497524,26.91129,-5.667447,46.96131,-0.5403115,-0.6239854,0.5474227,-0.4353065,47.18493,-8.592581,1008.461
3.365669727,-0.4866786,-9.159362,65.71513,-0.4917673,-0.7090471,0.4999966,0.68118,47.15177,-9.937223,1008.461
3.400317192,14.6252,-12.23698,80.9756,-0.5239486,-0.9597607,0.5083519,0.68118,47.15177,-9.937223,1008.463
3.432485581,85.39304,0.66535,112.661,-0.3326691,-0.6348358,0.4070619,3.315457,47.48395,-10.84518,1008.463
3.467133045,19.90822,-0.1632403,130.5568,-0.3991903,-0.7933314,0.5818238,6.693854,46.27031,-12.57837,1008.463
3.499305248,74.08984,-2.116346,145.756,-0.1615072,-0.9357243,0.711946,6.693854,46.27031,-12.57837,1008.467
3.531477928,8.727884,-16.43912,151.2105,0.04779872,-0.7850005,0.6914735,11.96639,44.27243,-13.93499,1008.467
3.566124916,-2.575313,-4.898042,156.5425,0.2880476,-0.4763804,0.2695445,18.36119,42.24707,-16.18996,1008.467
3.598297596,-136.125,-6.318482,140.853,0.3461843,-0.6768816,0.4905148,18.36119,42.24707,-16.18996,1008.467
3.632940769,-236.5023,-56.389,47.57418,0.6396793,-1.854967,0.7947375,23.71297,38.6773,-16.2003,1008.467
3.665113449,192.4048,52.62979,138.279,-0.2338273,-1.092352,0.3695918,28.30423,36.00179,-11.74768,1008.463
3.699760437,-24.19882,57.42378,69.88265,0.07468557,-0.7719224,0.5163646,28.30423,36.00179,-11.74768,1008.469
3.731933117,124.0328,46.23781,61.97663,-1.047035,-0.1584181,1.114627,30.56082,36.72047,-12.65556,1008.469
3.766580582,7.437845,17.94737,32.31371,-1.39221,-0.1073796,0.8387084,33.18123,33.61109,-14.43933,1008.465
3.798752785,10.44794,26.23328,13.06958,-0.545275,-0.437008,0.6213104,33.18123,33.61109,-14.43933,1008.466
3.833395958,-0.8552611,40.08257,11.1084,-0.518599,-0.5996947,0.5642903,34.69119,30.92168,-14.43405,1008.465
3.865568638,29.06135,37.41924,4.979697,-0.5442071,-0.4697373,0.5318607,36.22002,30.53612,-13.10108,1008.465
3.900216103,34.34436,29.60682,15.3372,-0.8120769,-0.5867708,0.4774835,36.22002,30.53612,-13.10108,1008.465
3.932388306,28.07846,13.62687,14.54047,-0.8525726,-0.443947,0.4674707,36.60926,30.16099,-12.20859,1008.465
3.967035770,10.14078,1.434755,10.00523,-0.7140675,-0.255266,0.5400338,37.35885,29.3823,-12.65502,1008.465
3.999207973,-0.3638178,-9.751212,4.366827,-0.713845,-0.5619805,0.4825552,37.35885,29.3823,-12.65502,1008.463
4.031376839,37.0473,-24.66584,2.099207,-0.5869776,-0.2783195,0.40177,37.73653,28.9958,-12.65509,1008.465
4.066023827,2.523412,-28.21694,-4.397217,-0.6969247,-0.505224,0.5522731,37.34678,28.60866,-13.54386,1008.465
4.098196507,32.74717,-37.86409,-3.906921,-0.5657886,-0.3145048,0.4436899,37.34678,28.60866,-13.54386,1008.465
4.165016174,36.92444,-38.39676,-4.090782,-0.6456162,-0.269434,0.4462524,36.56753,28.21553,-15.32325,1008.466
4.199663639,-8.472631,-29.69656,-2.129597,-0.6690462,-0.590413,0.6009567,36.54994,27.81734,-16.66023,1008.468
4.231832027,28.01703,-21.52903,8.350484,-0.6410452,-0.3713634,0.5750273,36.54994,27.81734,-16.66023,1008.468
4.266479015,24.94551,-6.140927,11.04711,-0.5665101,-0.5562025,0.8234477,36.16153,28.19328,-17.48897,1008.468
4.298651695,16.95956,-9.751212,3.324948,-0.6449356,-0.3196271,0.6097121,36.89486,27.77949,-19.21234,1008.468
4.333299160,-49.75387,15.81671,11.1084,-0.8292401,-0.5511272,0.6827872,36.89486,27.77949,-19.21234,1008.466
4.365471363,18.92533,3.920526,0.1993095,-0.6642103,-0.4565662,0.5890009,35.75449,26.64651,-19.64724,1008.468
4.400118828,-47.05093,10.19414,4.428114,-0.8271801,-0.3687705,0.6654734,36.52771,26.65282,-18.31226,1008.468
4.432287216,32.87003,3.565416,1.854059,-0.5809716,-0.3170471,0.6708324,36.52771,26.65282,-18.31226,1008.468
4.466934681,-5.892555,5.281781,4.244253,-0.5389305,-0.5366544,0.6695936,36.8996,26.26064,-18.75862,1008.468
4.499106884,35.88013,-4.957227,5.776429,-0.5873553,-0.2425822,0.6300539,36.53297,25.89624,-17.86226,1008.47
4.533754826,-9.70124,-4.306191,1.547624,-0.761232,-0.4560028,0.5995509,36.53297,25.89624,-17.86226,1008.468
4.565927029,1.601955,-8.685882,3.508809,-0.5273072,-0.2196091,0.5636491,36.89357,25.87382,-19.20304,1008.468
4.598099232,-3.496769,-0.4591653,7.615039,-0.6005704,-0.5509948,0.6584826,36.89332,25.49269,-19.20118,1008.468
4.632763863,3.936311,11.43702,7.308604,-0.7333754,-0.2922859,0.6994506,36.89332,25.49269,-19.20118,1008.468
4.664936542,-19.03866,19.0127,1.42505,-0.5752638,-0.2181166,0.6634008,36.52141,25.88487,-18.75482,1008.468
4.699583530,-13.93994,33.45385,3.570096,-0.654009,-0.5268143,0.6755686,37.27729,25.87413,-18.75869,1008.472
4.731756210,-9.63981,51.86039,8.963354,-0.5306188,-0.09484848,0.6900284,37.27729,25.87413,-18.75869,1008.472
4.766403198,-31.14045,59.73199,2.405642,-0.5986109,-0.4145938,0.535233,36.92685,26.28744,-16.65472,1008.47
4.798575878,-30.46472,72.87106,8.22791,-0.5774936,-0.2061957,0.508316,38.85096,25.91357,-13.98485,1008.47
4.833219051,-46.25234,86.1285,10.37296,-0.6722439,-0.4098638,0.5976549,38.85096,25.91357,-13.98485,1008.47
4.865391731,-15.53713,91.92863,19.87244,-0.6901566,-0.3659732,0.3610402,39.64094,26.31726,-11.37665,1008.47
4.900038719,-7.428315,96.90018,23.54967,-0.6784371,-0.3820197,0.4277965,40.44882,26.35769,-7.36399,1008.47
4.932211399,-13.32563,91.2776,34.7039,-0.8951606,-0.571853,0.2812439,40.44882,26.35769,-7.36399,1008.47
4.966858864,20.33823,74.94254,45.42913,-0.8464546,-0.1873342,0.2000915,41.62149,25.23717,-4.303999,1008.472
4.999031067,4.857767,64.0525,44.01953,-0.9250405,-0.3383555,0.3292376,42.79472,23.73632,-1.178393,1008.472
5.033674240,-30.34186,62.39532,39.85202,-1.073541,-0.5625024,0.2458715,42.79472,23.73632,-1.178393,1008.472
5.065846920,0.1276255,64.34842,38.56499,-1.167862,-0.2159622,0.1199506,43.20599,23.00199,1.437325,1008.474
5.098019600,-31.57047,57.54215,21.46591,-0.8790604,-0.4707956,0.115637,43.995,20.73855,4.122303,1008.474
5.132666588,18.12674,76.71809,32.8653,-0.9911603,-0.08772082,0.1212871,43.995,20.73855,4.122303,1008.474
5.164839268,-10.86842,69.26078,17.97255,-0.9937128,-0.2502156,0.07032531,44.40157,20.38048,6.353634,1008.474
5.199486256,-25.1817,64.8219,19.99502,-1.068312,-0.3290173,-1.750886E-07,44.05618,18.51348,8.978802,1008.472
5.231655121,-19.89869,72.63432,18.03383,-0.949357,-0.1528395,0.0750522,43.72262,17.03898,12.49467,1008.474
5.266302109,-8.718353,75.17928,41.01647,-1.15365,-0.1133116,-0.1550394,43.72262,17.03898,12.49467,1008.474
5.298474789,-28.8061,59.90955,39.9133,-1.112245,-0.4259335,-0.07076114,43.75729,17.07309,15.17235,1008.476
