Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.704122543,77.92969,130.125,3.94625,266.5625,0
1.758822441,77.91406,130.125,3.949375,259.0625,0
2.813673973,77.90234,130.125,3.948125,265.3125,0
3.692519188,77.90234,130.21875,3.94625,259.6875,0
4.747479916,77.89063,130.21875,3.9475,254.375,0
5.802189827,77.87891,130.125,3.944375,265.625,0
6.681092262,77.86719,130.125,3.94625,277.1875,0
7.736041546,77.85547,129.9375,3.948125,254.6875,0
8.791000366,77.85547,130.125,3.948125,274.0625,0
9.669816017,77.84375,130.125,3.945625,252.8125,0
10.724467277,77.83203,130.21875,3.9475,260,0
11.779451847,77.81641,130.21875,3.946875,266.875,0
12.658452511,77.80469,129.9375,3.9475,261.25,0
13.713089943,77.80469,129.65625,3.9475,265.3125,0
14.767920971,77.79297,129.65625,3.945,264.6875,0
15.823084354,77.78125,129.84375,3.945625,258.4375,0
16.701753139,77.76953,129.84375,3.94625,265.9375,0
17.756453991,77.75781,130.125,3.94625,258.75,0
18.811386108,77.74609,130.125,3.94625,255,0
19.690437794,77.74609,130.125,3.94625,272.1875,0
20.745139599,77.73438,130.125,3.9475,260.9375,0
21.799857140,77.71875,130.03125,3.944375,261.875,0
22.678828239,77.70703,130.125,3.94625,264.0625,0
23.733920097,77.69531,130.3125,3.946875,246.875,0
24.788365364,77.69531,129.9375,3.94625,270.9375,0
25.667494774,77.68359,129.84375,3.946875,264.6875,0
26.722348690,77.67188,129.75,3.9475,255,0
27.777062416,77.66016,129.1875,3.945625,285.625,0
28.656377315,77.64844,129.1875,3.944375,271.875,0
29.710916042,77.64844,129.28125,3.944375,262.5,0
31.820349216,77.62109,129.28125,3.944375,270.625,0
32.699377060,77.60938,128.90625,3.943125,305,0
33.754333973,77.59766,128.8125,3.945625,256.875,0
34.809036732,77.58594,129,3.94375,269.375,0
35.688290119,77.58594,129.375,3.943125,258.75,0
36.742839813,77.57422,129.46875,3.94375,264.6875,0
37.797453403,77.5625,129.46875,3.945,267.5,0
38.676596165,77.55078,129.5625,3.944375,255,0
39.731605053,77.53906,129.5625,3.944375,254.0625,0
40.786180496,77.53906,129.5625,3.945,267.8125,0
41.665102005,77.52344,129.46875,3.94375,256.25,0
