Time (s),Power (dBm),Percentage (%)
0.490948677,-62,76
0.991298199,-60,80
1.490910053,-62,76
1.991209984,-62,76
2.491117477,-62,76
2.991050720,-60,80
3.490956306,-61,78
3.991223812,-60,80
4.490846634,-62,76
4.991064548,-62,76
5.491043091,-57,86
5.990942001,-53,94
6.490943432,-59,82
6.991256714,-55,90
7.490933418,-55,90
7.991184235,-51,98
8.491106033,-59,82
8.991000652,-55,90
9.490988254,-59,82
9.991195679,-59,82
10.490815163,-55,90
10.991088390,-53,94
11.490897655,-60,80
11.990938663,-55,90
12.491046905,-57,86
12.991087914,-63,74
13.490936756,-62,76
13.991182327,-53,94
14.490865707,-53,94
14.991172314,-53,94
15.490950584,-57,86
15.990991116,-57,86
16.490947246,-55,90
16.991050243,-59,82
17.490997791,-53,94
17.991216660,-55,90
18.491006851,-47,100
18.991045475,-53,94
19.490934849,-47,100
19.991106510,-47,100
20.490856171,-47,100
20.990959167,-55,90
21.490949154,-57,86
21.991005898,-55,90
22.491012096,-57,86
22.991030693,-61,78
23.490770817,-59,82
23.991123676,-57,86
24.490827083,-53,94
24.990948677,-51,98
25.490936756,-51,98
25.990947247,-55,90
26.490709782,-55,90
26.991048813,-60,80
27.490734577,-62,76
27.990953445,-53,94
28.490862369,-55,90
28.990814209,-64,72
29.490786075,-65,70
29.990973949,-65,70
30.490633488,-67,66
30.990845680,-53,94
31.490834713,-53,94
31.990738392,-53,94
32.490623951,-53,94
32.990956783,-53,94
33.490698814,-53,94
33.990801811,-53,94
34.490859508,-53,94
34.990868092,-53,94
35.490832329,-53,94
35.991001129,-69,62
36.490673542,-59,82
36.991028309,-53,94
37.490859985,-59,82
37.990826607,-57,86
38.490868091,-57,86
38.990923882,-62,76
39.490628719,-65,70
39.990978241,-71,58
40.490625381,-60,80
40.990901947,-59,82
41.490830421,-64,72
41.990760326,-59,82
42.490768432,-58,84
42.991055012,-57,86
43.490683555,-51,98
43.990936756,-55,90
44.490870952,-61,78
44.990841866,-60,80
45.490763187,-60,80
45.990987301,-62,76
46.490561008,-62,76
46.990775108,-62,76
47.490796566,-63,74
47.990716934,-59,82
48.490498543,-57,86
48.990893841,-64,72
49.490497112,-47,100
49.990845203,-51,98
50.490705490,-55,90
50.990673542,-57,86
51.490695953,-49,100
51.990769863,-47,100
