Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.853156090,76.03516,130.5,3.92875,256.875,0
1.732214928,76.02344,130.3125,3.926875,263.4375,0
2.786902428,76.01172,130.3125,3.9275,254.6875,0
3.841767788,76,130.5,3.92875,249.0625,0
4.720637798,76,130.59375,3.926875,251.875,0
5.775544643,75.98828,130.40625,3.92875,282.5,0
6.830463886,75.97656,130.21875,3.92875,270,0
7.709480286,75.96094,130.40625,3.925625,253.125,0
8.764208794,75.94922,130.59375,3.92625,256.875,0
9.818966389,75.94922,130.3125,3.9275,259.375,0
10.697985649,75.9375,130.125,3.92875,260.3125,0
11.752910137,75.92578,129.84375,3.926875,270.625,0
12.807782650,75.91406,130.03125,3.9275,255,0
13.862646103,75.90234,129.9375,3.925,253.4375,0
14.741986751,75.90234,130.21875,3.92875,249.0625,0
15.796459675,75.89063,130.125,3.925,266.5625,0
16.851030827,75.87891,130.125,3.9275,267.1875,0
17.730156898,75.86328,130.21875,3.92625,250.9375,0
18.785174370,75.86328,130.40625,3.9275,255.3125,0
19.839739799,75.85156,130.5,3.926875,258.125,0
20.719122410,75.83984,130.5,3.925,255.625,0
21.773481369,75.82813,130.40625,3.928125,254.6875,0
22.828466415,75.81641,130.3125,3.92625,255.3125,0
23.707304954,75.81641,130.59375,3.92625,243.125,0
24.762014866,75.80469,130.40625,3.924375,266.5625,0
25.816752434,75.79297,130.6875,3.926875,255.3125,0
26.695911407,75.78125,130.40625,3.924375,266.5625,0
27.750532150,75.78125,130.40625,3.925,265,0
28.805262089,75.76563,130.40625,3.9275,248.75,0
29.860197544,75.75391,130.40625,3.925625,255.9375,0
30.739349842,75.74219,130.125,3.925625,255,0
31.794231415,75.73047,129.9375,3.926875,265.9375,0
32.849096298,75.71875,129.9375,3.925625,251.875,0
33.728017330,75.71875,129.9375,3.925625,254.375,0
34.782851219,75.70703,130.3125,3.925625,263.4375,0
35.837626934,75.69531,130.59375,3.92375,254.0625,0
36.716582775,75.68359,130.5,3.926875,262.1875,0
37.771355152,75.68359,130.125,3.925625,265.625,0
38.826033115,75.66797,130.03125,3.925,253.4375,0
39.705147266,75.65625,129.5625,3.925,267.8125,0
40.759982109,75.64453,129.9375,3.92625,251.875,0
41.814774513,75.63281,130.03125,3.92625,252.1875,0
42.869979858,75.63281,130.03125,3.926875,262.5,0
44.803710937,75.60938,129.84375,3.924375,257.1875,0
45.857890606,75.59766,129.84375,3.92625,256.5625,0
46.736867428,75.59766,129.84375,3.92375,267.8125,0
47.791710377,75.58594,129.84375,3.92375,259.6875,0
48.846501350,75.57031,129.84375,3.92375,279.375,0
49.725475788,75.55859,129.9375,3.925,250.3125,0
50.780231953,75.54688,129.84375,3.924375,267.1875,0
51.834918976,75.54688,129.65625,3.925625,271.25,0
