Time (s),W,X,Y,Z
0.033116817,0.5351918,0.2400535,-0.8070182,0.03596185
0.068184853,0.5351694,0.2396491,-0.8071483,0.03607586
0.100748539,0.5352134,0.2393022,-0.8072148,0.03623422
0.133307457,0.5352137,0.2390568,-0.8072798,0.03640418
0.168375492,0.5352428,0.239018,-0.8072636,0.03658763
0.200939179,0.5352383,0.2388923,-0.8072783,0.03714395
0.233502388,0.5351465,0.23881,-0.8073492,0.037454
0.268570900,0.535358,0.2385095,-0.8072931,0.03756094
0.301134110,0.5351005,0.239038,-0.8073501,0.03663234
0.333693028,0.534815,0.2394252,-0.8074768,0.03546128
0.368761540,0.5346088,0.2394181,-0.8076519,0.0346174
0.401324749,0.5345423,0.2391909,-0.8077739,0.03437083
0.433887959,0.5345415,0.2387731,-0.8078927,0.03449394
0.466451168,0.5344921,0.2384217,-0.8080184,0.03474719
0.501519680,0.5345345,0.2380444,-0.8080839,0.03515589
0.534078598,0.5345463,0.2377174,-0.8081588,0.03546338
0.566642284,0.5345342,0.237358,-0.8082583,0.03578425
0.601710319,0.5344977,0.2368533,-0.8084118,0.03620331
0.634273529,0.5345215,0.2365241,-0.8084832,0.03641073
0.666837215,0.534492,0.2362499,-0.8085766,0.03654575
0.701905250,0.5345044,0.2360436,-0.8086306,0.03650654
0.734464645,0.534506,0.2357661,-0.808709,0.03654138
0.767027855,0.5345208,0.2354245,-0.8087922,0.03668482
0.802095890,0.5346302,0.2347955,-0.8088859,0.03705585
0.834659576,0.5346398,0.2341641,-0.8089584,0.03926196
0.867222786,0.5345726,0.2331491,-0.8092214,0.0407709
0.899785995,0.5344372,0.2325969,-0.8094453,0.04125001
0.934850216,0.5345569,0.2317991,-0.8095477,0.0421701
0.967413425,0.5345951,0.2313776,-0.8096231,0.04255124
0.999976635,0.5345709,0.2311857,-0.809692,0.04258789
1.035045147,0.5344892,0.2308113,-0.8098413,0.04280269
1.067608356,0.5345151,0.2304239,-0.8099211,0.04305752
1.100171566,0.5344717,0.2302219,-0.810002,0.04315405
1.135235786,0.5344342,0.2301259,-0.8100533,0.04316922
1.167798996,0.534412,0.2300116,-0.8100981,0.04321
1.200362206,0.5343754,0.2299399,-0.8101444,0.04317887
1.235430718,0.5343708,0.2300494,-0.8101186,0.04313382
1.267993927,0.5344297,0.2298988,-0.8101149,0.04327808
1.300557613,0.5344328,0.2295734,-0.8101917,0.04352854
1.333116531,0.5344643,0.2293924,-0.810216,0.04364538
1.368184567,0.5344364,0.2293442,-0.8102468,0.04366783
1.400748253,0.5344037,0.2291891,-0.8103085,0.0437354
1.433311463,0.5343506,0.228989,-0.8103909,0.0439043
1.468379497,0.5343329,0.2287898,-0.8104501,0.04406606
1.500943184,0.5343041,0.2286653,-0.8104988,0.04416871
1.533502102,0.5343201,0.2285729,-0.8105095,0.04425786
1.568570614,0.5343447,0.2284698,-0.8105164,0.04436211
1.601133823,0.5343981,0.2282939,-0.8105268,0.04443403
1.633697033,0.5344191,0.2281361,-0.8105534,0.04451016
1.668765545,0.5343883,0.2280625,-0.8105935,0.04452604
1.701328754,0.5343447,0.2280509,-0.8106247,0.04454045
1.733887672,0.5343131,0.2279907,-0.8106585,0.04461163
1.766451359,0.5343209,0.2279196,-0.8106724,0.04462883
1.801519394,0.5343463,0.2279061,-0.8106592,0.04463218
1.834082603,0.534379,0.2278742,-0.8106508,0.0445585
1.866646290,0.5343464,0.2276105,-0.8107377,0.04471679
1.901714325,0.5342975,0.2273484,-0.8108341,0.04488399
1.934273243,0.5342945,0.2273036,-0.810845,0.04494767
1.966836929,0.5342832,0.2271846,-0.8108793,0.04506435
2.001904964,0.5342728,0.2270439,-0.8109194,0.04517631
2.034468651,0.5342612,0.2269599,-0.8109497,0.04519393
2.067031860,0.5342442,0.2267623,-0.8110118,0.04527202
2.102099419,0.5342137,0.2266055,-0.811068,0.04540975
2.134659290,0.5342489,0.2265504,-0.8110562,0.0454823
2.167222500,0.5342619,0.2263581,-0.8110943,0.04560564
2.199785709,0.5342424,0.2262118,-0.8111424,0.04570703
2.234854221,0.534232,0.2260478,-0.8111855,0.04587327
2.267417431,0.5342674,0.2258936,-0.8111933,0.04608242
2.299980640,0.5343227,0.2258189,-0.81117,0.0462189
2.335044861,0.5344268,0.2258325,-0.8110936,0.04628851
2.367608070,0.5345126,0.2257969,-0.8110488,0.04625554
