Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.033116817,-0.1188941,0.1145033,0.02738071,-0.8471154,-0.3149945,-0.435748,10.31352,-0.2486677,29.92764,1008.562
0.068184853,0.004160807,-0.1829014,0.02738071,-0.8500899,-0.3087531,-0.4274325,10.68567,-0.6098323,29.92906,1008.561
0.100748539,0.434853,0.05502238,-0.03381869,-0.8519523,-0.3151173,-0.4226941,10.68567,-0.6098323,29.92906,1008.561
0.133307457,-0.4880589,-0.2423823,-0.4010151,-0.8437636,-0.3105658,-0.4381006,9.591938,-0.9815826,29.93524,1008.561
0.168375492,-0.05736665,-0.4208252,-0.5846133,-0.8417063,-0.3169232,-0.4236982,9.951097,-0.6177087,29.48537,1008.557
0.200939179,0.7424903,0.2334652,-1.135408,-0.8647088,-0.3132047,-0.4521385,9.951097,-0.6177087,29.48537,1008.557
0.233502388,1.050128,0.05502238,-0.9518097,-0.8534086,-0.318474,-0.4367618,10.32488,-0.9762893,29.93286,1008.557
0.268570900,-3.810541,-0.6587489,-0.2174169,-0.8445992,-0.3141601,-0.3985177,9.952728,-0.6151257,29.93144,1008.557
0.301134110,-5.225673,-0.004458558,0.1497795,-0.8336068,-0.3003185,-0.4181356,9.952728,-0.6151257,29.93144,1008.557
0.333693028,-4.487344,-0.1829014,0.3945771,-0.8466814,-0.3058547,-0.413857,10.31734,-0.6154308,29.42045,1008.559
0.368761540,-2.39541,-0.2423823,0.2721783,-0.8564742,-0.3039809,-0.4263868,9.958408,-0.9789362,29.93405,1008.559
0.401324749,-0.7341687,0.1145033,0.1497795,-0.8496232,-0.3053806,-0.4196475,9.958408,-0.9789362,29.93405,1008.559
0.433887959,-0.05736665,0.1739843,-0.09501809,-0.8399716,-0.2984354,-0.4229345,10.67836,-0.2486043,29.48038,1008.561
0.466451168,0.434853,-0.004458558,-0.5234139,-0.8515961,-0.3067867,-0.4365852,9.952728,-0.6151257,29.93144,1008.557
0.501519680,0.434853,0.05502238,-0.6458127,-0.8471401,-0.3097176,-0.4206828,9.952728,-0.6151257,29.93144,1008.559
0.534078598,0.434853,-0.004458558,-0.1562175,-0.8437186,-0.3101722,-0.4177928,10.31734,-0.6154308,29.42045,1008.559
0.566642284,0.3733255,0.05502238,-0.09501809,-0.8461866,-0.3110945,-0.4356894,9.578712,-0.2569132,29.42022,1008.559
0.601710319,0.06568827,-0.0639395,0.02738071,-0.8486202,-0.3097015,-0.4284151,9.578712,-0.2569132,29.42022,1008.563
0.634273529,0.2502706,-0.004458558,0.08858011,-0.8496348,-0.3048837,-0.4220568,11.04809,-0.2407913,30.37133,1008.563
0.666837215,-0.05736665,0.05502238,0.2721783,-0.8495579,-0.312634,-0.4274923,10.32488,-0.9762893,29.93286,1008.563
0.701905250,-0.3650039,-0.1234204,0.1497795,-0.8452333,-0.3067635,-0.4235398,10.32488,-0.9762893,29.93286,1008.563
0.734464645,0.1887432,0.1145033,0.1497795,-0.8427625,-0.3082247,-0.4158305,9.956778,-0.9815192,29.48798,1008.561
0.767027855,0.5579079,0.1739843,0.08858011,-0.8417511,-0.311134,-0.4144257,10.31734,-0.6154308,29.42045,1008.563
0.802095890,2.465259,0.9472365,0.2721783,-0.8384166,-0.3042956,-0.4123911,10.31734,-0.6154308,29.42045,1008.563
0.834659576,9.233279,2.017893,0.1497795,-0.8391995,-0.3232061,-0.4242799,10.3192,-0.6124787,29.93025,1008.561
