Time (s),Humidity (%)
0.975733757,14.80566
1.975501537,13.22461
2.975269318,15.46094
3.975037575,13.83008
4.974805832,14.18848
5.974574089,13.39844
6.974580288,13.62109
7.974349022,12.79297
8.976593018,13.63281
9.976362228,13.58398
10.976131916,12.42285
11.975968361,13.68359
12.975737572,12.83008
13.975507259,13.88086
14.975276947,13.81934
15.975046635,12.63281
16.974816322,13.95508
17.974695683,13.02832
18.974465370,12.76855
19.974234581,13.7334
20.976480007,12.80566
21.976249695,12.42285
22.976018429,12.45898
23.975788116,11.58203
24.975557804,14.11621
25.975327492,13.3125
26.975096226,13.48535
27.974865913,12.87988
28.974635124,12.15039
29.974404335,12.48438
30.974177361,14.375
31.973946095,13.59668
32.976190567,13.06543
33.976020336,14.40039
34.975789070,13.89355
35.975638866,14.48633
36.975455284,14.15332
37.975286007,14.4375
38.975055695,13.02832
39.974824905,14.68457
40.974593639,13.60938
41.974362850,11.98926
42.974132538,13.2998
43.973991394,12.23633
44.976234913,12.8916
45.976004124,12.99121
46.975773334,12.5332
47.975542068,13.89355
48.975310326,13.79395
49.975083351,14.375
50.974946499,12.87988
51.974714756,13.54688
