Time (s),Power (dBm),Percentage (%)
0.477659702,-57,86
0.977951050,-62,76
1.477829933,-65,70
1.977961540,-60,80
2.477767467,-59,82
2.977925301,-47,100
3.477767467,-41,100
3.977882862,-57,86
4.477650165,-57,86
4.977801323,-59,82
5.477647781,-57,86
5.977761269,-59,82
6.477555752,-51,98
6.977964401,-55,90
7.477788448,-61,78
7.977934837,-57,86
8.477738857,-45,100
8.978039742,-45,100
9.477900028,-45,100
9.977931023,-49,100
10.477818489,-47,100
10.977952003,-42,100
11.477727890,-41,100
11.978028774,-59,82
12.477838993,-51,98
12.977892399,-55,90
13.477850437,-47,100
13.977947235,-47,100
14.477702141,-47,100
14.977946281,-47,100
15.477787971,-51,98
15.977838993,-49,100
16.477658749,-51,98
16.977815628,-47,100
17.477660179,-49,100
17.977895260,-43,100
18.477737427,-47,100
18.977891922,-41,100
19.477690697,-53,94
19.977806568,-45,100
20.477668285,-49,100
20.977947712,-49,100
21.477771282,-45,100
21.977814674,-53,94
22.477710724,-53,94
22.977843285,-55,90
23.477722645,-43,100
23.977818966,-44,100
24.477663040,-55,90
24.977830887,-57,86
25.477675438,-53,94
25.977772713,-53,94
26.477652073,-53,94
26.977772236,-55,90
27.477613926,-53,94
27.977710247,-59,82
28.477477550,-53,94
28.977631569,-62,76
29.477474689,-47,100
29.977599621,-53,94
30.477468967,-60,80
30.977602005,-49,100
31.477385998,-49,100
31.977534294,-47,100
32.477360725,-47,100
32.977647781,-47,100
33.477518082,-60,80
33.977587223,-55,90
34.477491855,-49,100
34.977624416,-53,94
35.477583885,-55,90
35.977679253,-62,76
36.477526188,-51,98
36.977702618,-60,80
37.477645397,-59,82
37.977784157,-45,100
38.477622509,-55,90
38.977782249,-51,98
39.477581978,-57,86
39.977628231,-49,100
40.477440834,-53,94
40.977619648,-47,100
41.477458477,-51,98
41.977561951,-51,98
42.477432728,-47,100
42.977513790,-55,90
43.477514744,-49,100
43.977801323,-44,100
44.477410316,-45,100
44.977690220,-45,100
45.477532387,-49,100
45.977602959,-49,100
46.477487087,-58,84
46.977620602,-60,80
47.477498054,-53,94
47.977594852,-53,94
48.477440834,-53,94
48.977607250,-51,98
49.477415085,-47,100
49.977542877,-59,82
50.477430344,-53,94
50.977647781,-49,100
51.477502823,-55,90
51.977517605,-49,100
