Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.975733757,42.982,32.37
1.975501537,42.934,32.37
2.975269318,42.956,32.37
3.975037575,42.958,32.372
4.974805832,42.916,32.372
5.974574089,42.978,32.374
6.974580288,42.948,32.374
7.974349022,42.966,32.376
8.976593018,43.02,32.378
9.976362228,43.046,32.378
10.976131916,43.068,32.38
11.975968361,43.01,32.38
12.975737572,43.016,32.376
13.975507259,43.02,32.376
14.975276947,43.042,32.378
15.975046635,43.028,32.38
16.974816322,43.04,32.38
17.974695683,43.026,32.382
18.974465370,43.014,32.382
19.974234581,43.046,32.384
20.976480007,43.076,32.382
21.976249695,43.036,32.382
22.976018429,43.028,32.38
23.975788116,42.988,32.38
24.975557804,42.97,32.38
25.975327492,43.052,32.382
26.975096226,43.01,32.382
27.974865913,42.992,32.382
28.974635124,43.012,32.382
29.974404335,43.034,32.382
30.974177361,43.018,32.382
31.973946095,42.972,32.382
32.976190567,43.02,32.38
33.976020336,42.992,32.382
34.975789070,42.984,32.382
35.975638866,43.056,32.382
36.975455284,42.972,32.382
37.975286007,42.992,32.382
38.975055695,42.966,32.382
39.974824905,43,32.38
40.974593639,43.018,32.38
41.974362850,42.96,32.38
42.974132538,43.026,32.378
43.973991394,43.016,32.378
44.976234913,42.974,32.378
45.976004124,42.996,32.378
46.975773334,43.01,32.378
47.975542068,43.036,32.378
48.975310326,42.964,32.378
49.975083351,43.018,32.378
50.974946499,42.998,32.378
51.974714756,42.996,32.378
