Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.565177917,74.54688,124.6875,3.923125,255.9375,0
1.619172096,74.53516,124.5,3.923125,255,0
2.674091816,74.52344,124.3125,3.9225,274.6875,0
3.553114414,74.51172,124.40625,3.9225,266.875,0
4.607855797,74.49609,124.5,3.92375,265,0
5.662532329,74.48438,124.59375,3.923125,260.9375,0
6.541699409,74.48438,124.78125,3.923125,255.9375,0
7.596347332,74.47266,124.6875,3.924375,276.875,0
8.651082516,74.46094,124.59375,3.924375,272.8125,0
9.530103683,74.44922,124.5,3.92,266.5625,0
10.584918976,74.44922,124.5,3.924375,257.5,0
11.639793873,74.4375,124.5,3.92375,260.3125,0
12.694683552,74.42578,124.59375,3.92375,255,0
13.573572159,74.41406,124.6875,3.92125,260,0
14.628494263,74.39844,124.5,3.924375,251.5625,0
15.683048248,74.38672,124.21875,3.921875,273.125,0
16.562050819,74.38672,124.21875,3.923125,263.4375,0
17.616831303,74.375,123.75,3.923125,263.4375,0
18.671798229,74.36328,123.75,3.921875,275.9375,0
19.550619602,74.35156,123.75,3.9225,267.5,0
20.605584145,74.33984,124.03125,3.921875,270.625,0
21.660638809,74.33984,124.125,3.923125,255.3125,0
22.539297581,74.32813,123.9375,3.923125,271.25,0
23.594008922,74.31641,123.9375,3.920625,269.6875,0
24.648903847,74.30078,124.125,3.920625,258.75,0
25.527991295,74.28906,123.9375,3.920625,282.8125,0
26.582733631,74.28906,123.9375,3.923125,272.1875,0
27.637549877,74.27734,124.03125,3.9225,270.3125,0
28.692422867,74.26563,124.21875,3.92,263.4375,0
29.571396351,74.25391,124.03125,3.9225,258.75,0
30.625916958,74.24219,124.125,3.923125,267.5,0
31.680890560,74.23047,124.21875,3.92125,274.0625,0
32.559904098,74.23047,124.3125,3.9225,257.1875,0
33.614682197,74.21875,124.03125,3.919375,265.625,0
34.669721603,74.20313,124.03125,3.9225,263.75,0
35.548432350,74.19141,123.9375,3.92125,270.3125,0
36.603574753,74.17969,123.375,3.920625,279.6875,0
37.657908916,74.17969,123.375,3.920625,263.75,0
38.536842346,74.16797,123.375,3.92125,268.75,0
39.591693878,74.15625,123.46875,3.921875,255,0
40.646607399,74.14453,123.75,3.921875,250.625,0
41.701828957,74.13281,123.75,3.923125,250.3125,0
42.580457687,74.13281,123.9375,3.92125,251.5625,0
43.635735989,74.12109,123.84375,3.923125,255.3125,0
44.689794540,74.10547,123.84375,3.919375,260.9375,0
45.568836212,74.09375,123.84375,3.92125,265.3125,0
46.623609066,74.08203,123.65625,3.9225,262.8125,0
47.678524971,74.07031,123.84375,3.91875,261.875,0
48.557387829,74.07031,123.9375,3.919375,260.625,0
49.612270355,74.05859,123.84375,3.918125,263.4375,0
50.667400837,74.04688,123.84375,3.919375,266.875,0
51.546061039,74.03516,123.84375,3.918125,256.25,0
