Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.002729416,43.676,32.568
1.003687382,43.664,32.568
2.002123833,43.746,32.568
3.003081799,43.744,32.568
4.001518250,43.71,32.568
5.002476215,43.74,32.568
6.003434181,43.666,32.568
7.001870632,43.702,32.568
8.002828598,43.692,32.566
9.003786564,43.724,32.566
10.002223015,43.65,32.566
11.003180981,43.65,32.566
12.001617432,43.694,32.566
13.002574921,43.66,32.566
14.003532887,43.67,32.566
15.001969337,43.714,32.566
16.002926826,43.698,32.566
17.001363277,43.704,32.566
18.002320290,43.688,32.564
19.003278255,43.672,32.564
20.001714230,43.73,32.564
21.002671719,43.714,32.564
22.003629208,43.678,32.564
23.002065182,43.686,32.564
24.003022671,43.682,32.56
25.001458645,43.652,32.56
26.002415657,43.714,32.56
27.003373146,43.652,32.56
28.001808167,43.674,32.558
29.002765656,43.67,32.558
30.001200676,43.714,32.558
31.002157211,43.666,32.558
32.003113747,43.654,32.556
33.001549244,43.624,32.556
34.002505779,43.64,32.554
35.003461838,43.632,32.554
36.001896381,43.612,32.552
37.002851963,43.574,32.552
38.001286983,43.61,32.552
39.002242088,43.64,32.55
40.003198147,43.65,32.55
41.001631737,43.584,32.548
42.002587318,43.626,32.548
43.003541470,43.608,32.548
44.001975536,43.58,32.546
45.002930164,43.596,32.546
46.001364231,43.604,32.546
47.002318859,43.584,32.544
48.003273487,43.572,32.542
49.001706600,43.552,32.542
50.002660275,43.554,32.542
51.001093864,43.574,32.54
52.002048492,43.516,32.54
53.003002167,43.576,32.54
54.001434803,43.614,32.54
55.002389431,43.618,32.54
56.003343105,43.556,32.538
57.001775742,43.55,32.538
58.002730370,43.602,32.538
59.001163006,43.558,32.538
60.002117157,43.54,32.538
61.003070831,43.586,32.538
62.001503468,43.536,32.536
63.002457142,43.586,32.536
64.000889301,43.62,32.536
65.001842976,43.528,32.536
66.002796650,43.534,32.534
67.001228333,43.554,32.534
68.002181530,43.528,32.532
69.003134251,43.492,32.53
70.001565456,43.558,32.53
71.002518177,43.508,32.528
72.000949383,43.488,32.528
73.001901150,43.47,32.526
74.002852917,43.522,32.524
75.001283646,43.486,32.524
76.002234936,43.46,32.524
77.003186703,43.45,32.522
78.001616955,43.472,32.52
79.002568245,43.474,32.52
80.000997066,43.482,32.518
