Time (s),W,X,Y,Z
0.016672134,0.3042025,-0.6162887,0.6519623,0.3149949
0.048949242,0.304235,-0.6162654,0.6519298,0.3150765
0.083709240,0.3041807,-0.616224,0.6520306,0.3150013
0.115986347,0.3041441,-0.6163229,0.6520623,0.3147774
0.148263454,0.3041783,-0.6163114,0.6520558,0.3147804
0.183023453,0.3042343,-0.6162114,0.6520329,0.3149695
0.215296745,0.304195,-0.6161701,0.6520695,0.3150122
0.250057220,0.3041287,-0.6162358,0.6520249,0.3150403
0.282333851,0.3041077,-0.6163047,0.651956,0.3150684
0.317094326,0.3040039,-0.6162507,0.6520577,0.3150635
0.349371433,0.3038988,-0.6162045,0.6522145,0.3149309
0.381648540,0.3038849,-0.61608,0.6523532,0.3149002
0.416404247,0.3039567,-0.6157876,0.6524969,0.3151055
0.448681354,0.3039205,-0.6154029,0.6527728,0.3153204
0.483441353,0.3038932,-0.6151127,0.6529799,0.3154844
0.515718460,0.3038859,-0.6150486,0.6530079,0.3155579
0.547995567,0.3037968,-0.615047,0.653045,0.3155703
0.582756042,0.3036719,-0.6151096,0.6531021,0.3154501
0.615029335,0.3036287,-0.6152448,0.6530493,0.3153374
0.649789333,0.3036162,-0.6150288,0.6531772,0.3155057
0.682066441,0.3036794,-0.6149501,0.6531817,0.3155891
0.716825962,0.3037691,-0.6150373,0.6531278,0.3154448
0.749103546,0.3038636,-0.6151428,0.6530992,0.3152069
0.781380653,0.3039552,-0.6152377,0.6529892,0.3151609
0.816136360,0.3040672,-0.6153257,0.6528395,0.3151915
0.848413467,0.3040807,-0.6154435,0.6527316,0.315172
0.883173943,0.3040617,-0.6155033,0.6526796,0.3151813
0.915451050,0.3040048,-0.6154988,0.6527073,0.3151874
0.950211048,0.303999,-0.6156205,0.6526312,0.3151128
0.982488155,0.3039328,-0.6155494,0.6527497,0.3150705
1.014761448,0.3038731,-0.6153706,0.6529171,0.3151305
1.049520969,0.3040045,-0.6154569,0.652782,0.3151151
1.081798553,0.304034,-0.6153407,0.6528262,0.3152219
1.116558075,0.304003,-0.6151217,0.6529837,0.3153527
1.148835182,0.3039228,-0.6149498,0.6531356,0.3154505
1.183595657,0.3038959,-0.6150106,0.6531175,0.3153954
1.215868950,0.3038121,-0.6151241,0.6530918,0.3153084
1.248146057,0.3037383,-0.6151126,0.6531345,0.3153134
1.282906055,0.3038138,-0.6151636,0.6530495,0.3153175
1.315183163,0.3039289,-0.6152456,0.6529029,0.3153498
1.349943161,0.3040017,-0.6153738,0.6528007,0.3152412
1.382220268,0.3040295,-0.615499,0.6527488,0.3150771
1.416975975,0.3040491,-0.6154951,0.6527653,0.3150317
1.449253082,0.3039843,-0.6153025,0.6529243,0.3151411
1.481530189,0.3039598,-0.6152492,0.6529593,0.3151963
1.516290665,0.3039018,-0.615228,0.6529831,0.3152442
1.548568249,0.3038539,-0.6151929,0.6530135,0.3152959
1.583327770,0.303801,-0.6151677,0.6530471,0.3153263
1.615601063,0.303792,-0.6151554,0.6530779,0.3152952
1.650361061,0.3037257,-0.6151153,0.6531491,0.3152899
1.682638168,0.303697,-0.615081,0.6532071,0.3152645
1.714915276,0.303728,-0.6150315,0.6532292,0.3152855
1.749675274,0.3037837,-0.6149872,0.6532485,0.3152781
1.781952381,0.303884,-0.6150911,0.653123,0.315239
1.816708565,0.3039328,-0.6152089,0.6530037,0.3152091
1.848986149,0.3039247,-0.6153613,0.6529045,0.3151251
1.881263256,0.303839,-0.6153591,0.6529483,0.3151212
1.916022778,0.3038707,-0.6155157,0.6528049,0.3150818
1.948299885,0.3040289,-0.615735,0.6525531,0.3150219
1.983059883,0.3040318,-0.6156841,0.6525558,0.3151131
2.015333176,0.3039364,-0.6155738,0.6526775,0.3151689
2.050093174,0.3037588,-0.6154251,0.6529112,0.3151462
2.082370281,0.3037248,-0.6153818,0.6529949,0.3150903
2.114647388,0.3037508,-0.6153316,0.6529972,0.3151586
2.149407864,0.3038,-0.6153125,0.6529471,0.3152522
2.181684971,0.3038196,-0.6154441,0.6528313,0.3152159
2.216440677,0.3037826,-0.6155736,0.652733,0.3152022
2.248717785,0.3037911,-0.6156667,0.6526434,0.3151978
2.283477783,0.3037262,-0.6156445,0.6526923,0.3152027
2.315754890,0.3036806,-0.6157269,0.6526737,0.3151239
2.348031998,0.303652,-0.6158035,0.6526408,0.3150703
2.382791996,0.3036723,-0.6157505,0.6526656,0.3151026
2.415065288,0.3037429,-0.6157929,0.6525865,0.3151158
2.449825764,0.3038217,-0.6158244,0.6525052,0.3151462
2.482102871,0.3038562,-0.6157557,0.6525157,0.3152259
2.516862869,0.3038716,-0.6158605,0.6524312,0.315181
2.549139976,0.3038463,-0.6160654,0.6523229,0.3150291
2.581417084,0.3038586,-0.6163276,0.6521273,0.3149091
2.616172790,0.3039067,-0.6164271,0.6520236,0.3148827
2.648449898,0.3039767,-0.6165728,0.6518859,0.3148151
2.683209896,0.3040767,-0.6168091,0.6516584,0.3147267
2.715487003,0.3041196,-0.6168876,0.6516556,0.3145371
2.750247478,0.3042035,-0.6168817,0.651715,0.3143445
2.782524586,0.304273,-0.6168032,0.6516809,0.314502
2.814797878,0.3043112,-0.6167454,0.6516276,0.3146888
2.849557877,0.3042316,-0.616827,0.6515707,0.3147238
2.881834984,0.3041725,-0.6169448,0.6514262,0.3148485
2.916594505,0.3042457,-0.6173475,0.6510551,0.3147562
2.948872089,0.3042284,-0.6173987,0.6510605,0.3146613
2.983632565,0.3045772,-0.6171315,0.6510687,0.3148313
3.015905380,0.3050527,-0.6169763,0.6509113,0.3150004
3.048182487,0.3054532,-0.6167877,0.6508194,0.3151715
