Time (s),Humidity (%)
0.906337261,8.973633
1.906129360,10.20117
2.905922413,10.48633
3.905715466,9.791992
4.905509472,9.606445
5.905305386,11.41602
6.905183315,9.693359
7.904977798,10.67285
8.907303810,10.83398
9.907097816,10.25098
10.906891823,9.805664
11.906686783,9.818359
12.906481266,9.768555
13.906276226,10.06641
14.906071186,9.805664
15.905990124,10.11621
16.905785084,11.33008
17.905580997,11.12012
18.905657768,9.620117
19.905482292,10.15332
20.905278683,9.621094
21.907548904,10.15332
22.907345295,10.78613
23.907141685,11.72754
24.906938553,9.595703
25.906734943,10.72461
26.906531811,10.03027
27.906329155,9.869141
28.906126022,11.18359
29.905927658,9.757813
30.905724525,9.708008
31.905522346,10.04297
32.905319691,10.16699
33.905117035,9.881836
34.904978752,10.52637
35.907251358,10.03125
36.907049179,9.646484
37.906847000,10.05566
38.906644821,9.485352
39.906580448,10.14258
40.906396389,10.53906
41.906194210,9.472656
42.905992031,10.32813
43.905789375,9.746094
44.905586719,9.485352
45.905384064,11.2334
46.905181408,10.41504
47.905202866,11.27051
48.904999733,9.535156
49.907272339,10.51367
50.907069206,10.79883
51.906866074,11.27051
52.906663418,11.46875
53.906572819,9.856445
54.906369686,10.6748
55.906167030,10.1543
56.905963421,10.00586
57.905760288,9.856445
58.905557156,9.794922
59.905353546,8.790039
60.905185699,10.53906
61.904982090,10.50098
62.904813766,11.12109
63.907084942,9.447266
64.907083988,10.89746
66.906675816,10.48828
67.906472206,10.20313
68.906268597,9.310547
69.906064033,9.832031
70.905860424,9.459961
71.905656338,10.74902
72.905451775,10.00488
73.905248165,9.719727
74.905227184,9.521484
75.905023575,10.53809
76.904819012,9.992188
77.907089710,10.43848
78.906885147,9.210938
79.906764030,9.855469
80.906559944,10.93457
81.906385422,10.5752
82.906181335,10.48828
83.905976772,10.38867
84.905771732,10.09082
85.905567646,10.5625
86.905370712,10.5625
87.905234814,10.15332
88.905030727,10.12891
89.904825687,10.42578
90.907096386,11.30566
91.906892300,10.14063
93.906482697,9.645508
94.906278610,9.732422
95.906074047,9.533203
96.906090736,9.942383
97.905886173,9.955078
98.905681133,11.15723
99.905477047,11.47949
100.905272007,10.45117
101.905070305,10.89648
102.904865265,9.831055
103.904660225,11.81348
104.907156467,9.880859
105.906951427,10.28906
106.906746387,11.08203
107.906541347,10.20313
108.906336784,9.879883
109.906131744,9.210938
110.905925751,9.916992
111.905720711,10.62402
112.905515671,10.56152
113.905311108,10.93359
