Time (s),W,X,Y,Z
0.005536079,-0.2547317,-0.1828996,-0.03612898,-0.9470913
0.040182590,-0.2543601,-0.1828827,-0.03581773,-0.9472062
0.072354794,-0.2543409,-0.1828523,-0.03579948,-0.947218
0.106997490,-0.2539824,-0.1829171,-0.03513787,-0.9473264
0.139170170,-0.2534905,-0.1830715,-0.03444164,-0.9474539
0.173817158,-0.2535537,-0.1831172,-0.03430725,-0.947433
0.205989361,-0.2538012,-0.1830971,-0.03453001,-0.9473625
0.240636349,-0.2538764,-0.183064,-0.03434325,-0.9473556
0.272808075,-0.2538132,-0.1829703,-0.03385689,-0.9474081
0.304976940,-0.2538478,-0.182877,-0.03357303,-0.947427
0.339623451,-0.2538354,-0.1827658,-0.03330814,-0.9474611
0.371795654,-0.2536615,-0.1827085,-0.03335048,-0.9475173
0.406442642,-0.2536923,-0.182664,-0.03363229,-0.9475076
0.438614845,-0.2538365,-0.1826905,-0.03382762,-0.9474569
0.473261356,-0.2541113,-0.1827028,-0.03390913,-0.9473779
0.505430221,-0.2542416,-0.1826749,-0.03397406,-0.9473461
0.540077209,-0.254242,-0.182596,-0.03396878,-0.9473614
0.572248936,-0.2541312,-0.1825094,-0.03389353,-0.9474105
0.606896400,-0.2539535,-0.1824292,-0.03375088,-0.9474787
0.639068127,-0.2537352,-0.1824002,-0.03362263,-0.9475473
0.673715591,-0.2536252,-0.1822975,-0.0337854,-0.9475906
0.705883503,-0.2534611,-0.1821916,-0.03397739,-0.9476481
0.740530491,-0.253206,-0.182217,-0.03386291,-0.9477156
0.772702217,-0.2530769,-0.1823059,-0.03375667,-0.9477367
0.807349682,-0.2532592,-0.1822755,-0.0340402,-0.9476836
0.839521408,-0.2536504,-0.1821756,-0.03457813,-0.9475788
0.871694088,-0.2538882,-0.1820972,-0.03463967,-0.9475279
0.906337261,-0.2539555,-0.1820011,-0.03419521,-0.9475445
0.938508987,-0.2538971,-0.1819151,-0.0338897,-0.9475877
0.973156452,-0.2538754,-0.1818474,-0.03401679,-0.9476019
1.005328178,-0.2540101,-0.1817987,-0.03430685,-0.9475647
1.039975643,-0.2541642,-0.1817982,-0.03441621,-0.9475195
1.072147369,-0.2543682,-0.1817947,-0.03452775,-0.9474614
1.106790543,-0.2543716,-0.1817645,-0.03460413,-0.9474635
1.138962269,-0.2542989,-0.1817803,-0.03444373,-0.9474859
1.173609734,-0.2541749,-0.1817606,-0.03430136,-0.9475281
1.205781460,-0.2542937,-0.1816933,-0.03442435,-0.9475046
1.240428924,-0.2542359,-0.1816674,-0.03437809,-0.9475267
1.272601127,-0.2540904,-0.1817237,-0.03424791,-0.9475597
1.307243824,-0.2538939,-0.1816983,-0.03415859,-0.9476204
1.339416504,-0.2539422,-0.1816032,-0.03447226,-0.9476144
1.371588230,-0.2539918,-0.1815842,-0.03457512,-0.947601
1.406235218,-0.2539799,-0.1817023,-0.0343517,-0.9475896
1.438407421,-0.2539988,-0.1817227,-0.03433776,-0.9475812
1.473054409,-0.2541825,-0.1816714,-0.03472405,-0.9475276
1.505222320,-0.2542707,-0.1816041,-0.03485906,-0.947512
1.539869785,-0.2542009,-0.1815711,-0.0345892,-0.9475468
1.572041988,-0.2540241,-0.1815456,-0.03425438,-0.9476113
1.606688499,-0.2541403,-0.1815229,-0.03434896,-0.9475811
1.638861179,-0.2543752,-0.1815034,-0.03456438,-0.9475141
1.673507690,-0.2546187,-0.1814626,-0.03459529,-0.9474553
1.705676556,-0.254582,-0.1814342,-0.03455592,-0.947472
1.740323067,-0.2546161,-0.1814313,-0.03472821,-0.9474571
1.772495270,-0.2546876,-0.1814699,-0.03460553,-0.947435
1.807142734,-0.254834,-0.181465,-0.03441846,-0.9474034
1.839314461,-0.2550078,-0.1813794,-0.03459718,-0.9473665
1.873961925,-0.255136,-0.1813383,-0.03463255,-0.9473386
1.906129360,-0.2550831,-0.1813656,-0.03433286,-0.9473584
1.938302040,-0.2550075,-0.1814195,-0.03413973,-0.9473755
1.972948551,-0.2550007,-0.1813771,-0.03406027,-0.9473883
2.005121231,-0.2551794,-0.1813579,-0.03432517,-0.9473342
2.039767742,-0.2551268,-0.1813737,-0.0343733,-0.9473436
2.071940422,-0.2547883,-0.1814766,-0.03396199,-0.9474299
2.106583595,-0.2544743,-0.1815433,-0.03372146,-0.9475102
2.138755322,-0.2544376,-0.1816045,-0.03388047,-0.9475026
2.173402786,-0.2544855,-0.1816499,-0.03403938,-0.9474754
2.205574512,-0.2543909,-0.1816633,-0.03389136,-0.9475035
2.240221500,-0.2542778,-0.1816356,-0.03350875,-0.9475528
2.272393703,-0.254153,-0.1816385,-0.03323853,-0.9475951
2.307036877,-0.2540302,-0.181643,-0.03312761,-0.9476312
2.339208603,-0.2537898,-0.1817236,-0.03279984,-0.9476914
2.373856068,-0.2535429,-0.1818917,-0.03219225,-0.9477462
2.406028271,-0.2535303,-0.1819667,-0.03211624,-0.9477378
2.438200474,-0.2536195,-0.1820369,-0.0320747,-0.9477018
2.472847462,-0.2535478,-0.1821958,-0.03165279,-0.9477046
2.505015373,-0.2534086,-0.1822929,-0.03125241,-0.9477365
2.539662838,-0.2534012,-0.182298,-0.03101659,-0.9477453
2.571834564,-0.253258,-0.1823649,-0.03067359,-0.9477818
2.606481552,-0.2529288,-0.1825531,-0.03034708,-0.9478439
2.638653755,-0.2524627,-0.1835293,-0.03048068,-0.9477754
2.673300743,-0.2517902,-0.1854392,-0.03158316,-0.9475464
2.705469131,-0.2510852,-0.1907019,-0.03213724,-0.9466699
2.740115642,-0.2486539,-0.2026477,-0.02828743,-0.9449512
2.772288322,-0.2443256,-0.2155855,-0.03991767,-0.9427949
2.806934833,-0.2523434,-0.2255408,-0.1044473,-0.9333661
2.839107513,-0.2633887,-0.2437107,-0.1703606,-0.9158801
2.873754501,-0.2537143,-0.2863569,-0.1733168,-0.9056587
2.905922413,-0.2212606,-0.341573,-0.1330713,-0.9018266
2.940569878,-0.1737015,-0.4000413,-0.09757189,-0.8926938
2.972741604,-0.1298746,-0.4447312,-0.08257749,-0.880429
3.004914284,-0.08843065,-0.4815263,-0.08033457,-0.8663061
3.039560795,-0.05978383,-0.5166256,-0.1021863,-0.845996
3.071733475,-0.03374092,-0.5448923,-0.1231742,-0.826686
3.106375694,-0.001711685,-0.5694157,-0.1395385,-0.8080343
3.138548374,0.02399172,-0.5863814,-0.1585538,-0.7918771
3.173195839,0.04917422,-0.5984324,-0.1820825,-0.7764883
3.205367565,0.07418633,-0.603099,-0.199981,-0.7664223
3.240014553,0.1015877,-0.60382,-0.2177132,-0.7578324
3.272186756,0.130275,-0.5949025,-0.2285387,-0.7573091
3.306829929,0.1644021,-0.5737545,-0.2348385,-0.7650205
3.339001655,0.1864838,-0.5386354,-0.2505748,-0.7803433
3.373648643,0.2046509,-0.4753352,-0.2717413,-0.8092948
3.405821323,0.2107894,-0.4920686,-0.2804805,-0.7946035
3.440467834,0.214103,-0.5206453,-0.3232528,-0.758435
3.472640514,0.1877701,-0.5026199,-0.3585767,-0.7616864
3.507283211,0.1598686,-0.5076319,-0.3884807,-0.7499748
3.539455414,0.1486114,-0.5084394,-0.3757766,-0.7581712
3.571627617,0.1347208,-0.5083626,-0.3562948,-0.7701296
3.606274605,0.110044,-0.5140394,-0.343247,-0.7761849
3.638447285,0.08486097,-0.5144809,-0.3282101,-0.7855022
3.673093796,0.06089252,-0.5105224,-0.2991382,-0.8017501
3.705262184,0.03842102,-0.5045468,-0.2627305,-0.8194855
3.739908695,0.0109199,-0.4943216,-0.2153798,-0.8400989
3.772081375,-0.0188972,-0.4802294,-0.1687636,-0.8585855
3.806728840,-0.05802424,-0.4575107,-0.1233459,-0.8767728
3.838900566,-0.09190194,-0.4342749,-0.07408607,-0.8911218
3.873547554,-0.13369,-0.4101272,-0.02755095,-0.899884
3.905715466,-0.1849259,-0.3755626,-0.02350656,-0.9059969
3.940362930,-0.2395353,-0.3171715,-0.06139928,-0.9137192
3.972534657,-0.2784076,-0.2627808,-0.1015426,-0.9163799
4.007182121,-0.2941456,-0.2299071,-0.09311053,-0.9211835
4.039353848,-0.290376,-0.2238399,-0.04326113,-0.9275416
4.071526527,-0.2762823,-0.2310966,0.02270385,-0.9307925
