Time (s),Humidity (%)
0.567279339,11.33691
1.568212986,9.916016
2.569146156,10.55176
3.567558765,10.07813
4.568492889,11.4375
5.566905975,10.54004
6.567840576,9.829102
7.568775177,10.30273
8.567188740,9.929688
9.568123817,10.39063
10.569058895,9.916992
11.567473411,10.0166
12.568408966,10.16699
13.566823959,11.13965
14.567759991,10.84082
15.568696022,10.41699
16.567111015,9.294922
17.568047523,11.83887
18.568984508,10.05566
19.567400455,9.956055
20.568336964,10.7666
21.566752911,11.41504
22.567689896,10.20605
23.568627357,10.94141
24.567043781,9.333008
25.567981243,10.10645
26.568919182,10.51758
27.567335606,10.21875
28.568273544,11.05469
29.566689968,10.94238
30.567628860,9.806641
31.568566799,10.70508
32.566983700,9.944336
33.567922592,10.33105
34.568860531,9.669922
35.567278385,10.54395
36.568216801,11.10449
37.566634178,10.64355
38.567572594,11.36719
39.568511963,10.31934
40.566929817,10.36914
41.567868233,10.51855
42.568807602,10.04492
43.567224979,10.70605
44.568164349,11.75391
45.566581249,11.5166
46.567520618,9.645508
47.568459034,10.39453
48.566876411,10.19434
49.567815304,9.794922
50.568753719,9.496094
51.567171097,11.42969
52.568109512,10.86816
53.566526890,10.40625
54.567465305,10.69336
55.568403721,10.29395
56.566821098,9.757813
57.567759514,10.10645
58.568697452,11.08008
59.567114830,9.669922
60.568052769,9.607422
61.566470146,10.85547
62.567408562,10.28125
63.568346500,10.29395
64.566763401,9.769531
65.567700863,9.071289
66.568638325,10.99219
67.567054748,10.34375
68.567992210,10.33105
69.566408157,9.819336
70.567344665,11.76465
71.568281174,10.74219
72.566696644,10.54199
73.567633152,10.75391
74.568569183,10.85352
75.566983700,9.943359
76.567919254,10.87793
77.566333294,9.917969
78.567268848,10.08008
79.568203926,11.77539
80.566617966,10.41602
81.567553043,10.81543
82.568488121,9.754883
83.566901684,10.44043
84.567836285,10.46582
85.566249370,10.70215
86.567183971,11.27637
87.568118572,10.22852
88.566531658,10.62793
89.567465782,11.23828
90.568399429,10.16602
91.566812038,10.26563
92.567746162,10.71387
93.566158295,10.47754
94.567091465,10.04004
95.568023682,9.829102
96.566435814,10.27734
97.567368507,10.24023
98.568301201,11.38672
99.566712379,11.46094
100.567644596,11.19922
101.566056251,10.28906
102.566988468,10.50098
103.567920685,10.65137
104.566331863,11
105.567263603,10.875
106.568195820,10.60059
107.566606998,10.60059
108.567538738,10.04004
109.565949440,9.52832
110.566881180,11.47363
111.567813396,9.44043
112.566223621,10.72559
113.567155838,9.777344
