Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.590130329,44.75,74.15625,3.745,266.25,0
1.644935131,44.73828,74.15625,3.7475,253.125,0
2.523933888,44.72656,74.34375,3.74625,267.1875,0
3.578577995,44.72656,74.34375,3.7475,271.875,0
4.633604526,44.71094,74.4375,3.745625,247.1875,0
5.512518406,44.69922,74.4375,3.745625,256.5625,0
6.567558289,44.6875,74.53125,3.748125,244.375,0
7.622072220,44.67578,74.4375,3.745625,268.125,0
8.501040459,44.67578,74.34375,3.7475,255.3125,0
9.555758000,44.66406,74.4375,3.7475,266.5625,0
10.610538006,44.65234,74.625,3.7475,259.0625,0
11.489553928,44.64063,74.4375,3.745,260.625,0
12.544526577,44.62891,74.53125,3.745625,263.75,0
13.599527359,44.61328,74.4375,3.746875,256.875,0
14.478225231,44.61328,74.625,3.74625,263.75,0
15.533023834,44.60156,74.71875,3.745,272.8125,0
16.587675572,44.58984,74.53125,3.745625,264.0625,0
17.642507076,44.57813,74.34375,3.745625,261.875,0
18.521502495,44.56641,74.34375,3.746875,238.75,0
19.576496124,44.56641,74.34375,3.745,261.875,0
20.631187439,44.55469,74.34375,3.74625,262.8125,0
21.510193348,44.54297,74.4375,3.74375,324.6875,0
22.565011978,44.53125,74.0625,3.7475,260,0
23.619763374,44.51563,74.15625,3.74375,258.4375,0
24.498698712,44.51563,74.0625,3.74625,251.25,0
25.553501606,44.50391,74.0625,3.74625,267.8125,0
26.608225346,44.49219,74.0625,3.745625,268.4375,0
27.487237454,44.48047,74.0625,3.746875,264.6875,0
28.542191982,44.46875,74.0625,3.744375,254.375,0
29.596849442,44.45703,73.96875,3.7425,274.6875,0
30.475830555,44.45703,73.875,3.745625,262.5,0
31.530623913,44.44531,73.875,3.746875,271.5625,0
32.585427284,44.43359,73.875,3.7475,252.1875,0
33.640373707,44.41797,74.0625,3.7475,269.375,0
34.519338608,44.40625,74.15625,3.746875,260.9375,0
35.574142933,44.40625,73.875,3.744375,257.8125,0
36.628817081,44.39453,73.875,3.745625,258.125,0
37.507830143,44.38281,73.96875,3.745,258.125,0
38.562976837,44.37109,73.875,3.743125,266.875,0
39.617393494,44.35938,73.96875,3.744375,270.9375,0
40.496366501,44.35938,74.0625,3.743125,261.875,0
41.551331997,44.34766,74.0625,3.7425,268.4375,0
