Time (s),Humidity (%)
0.772896290,19.72461
1.772265911,19.41406
2.771636009,19.01855
3.773510933,18.75781
4.772881985,19.73828
5.772253036,19.89941
6.771623611,17.90332
7.773499966,18.8584
8.772871494,19.0332
9.772243977,18.64844
10.771615982,18.59961
11.773492813,20.19922
12.772865772,19.1582
13.772238731,19.45508
14.771611690,20.26172
15.773489952,18.65039
16.772863388,18.67578
17.772237778,19.03516
18.771611214,19.11035
19.773490906,20.64746
20.772865295,18.89941
21.772240162,20.20117
22.771615028,20.28906
23.773494720,19.45801
24.772870064,20.37598
25.772245884,18.85156
26.771621227,19.62109
27.773502350,19.39746
28.772878647,21.5293
29.772255421,20.93555
30.771632194,21.34473
31.773513794,20.78711
32.772891521,19.15137
33.772268295,20.36621
34.771646976,19.78418
35.773529053,19.8457
36.772906780,20.70117
37.772284985,18.9043
38.771663189,19.79688
39.771041393,20.71484
40.772924423,20.30566
41.772303104,20.79004
42.771682262,19.04102
43.771060944,20.62793
44.772944450,20.61621
45.772323608,20.12012
46.771703243,19.35156
47.771081924,19.89746
48.772966385,19.95996
49.772346020,21.23633
50.771725178,20.1084
51.771104813,20.95215
53.772368908,21.02637
54.771749020,20.92676
55.771128654,20.76563
56.773013592,20.72852
57.772393227,21.55957
58.771773338,21.83203
59.771153450,21.1875
60.773037910,20.20801
61.772418022,20.58008
62.771798611,21.7207
63.771178722,20.41895
64.773062706,19.95996
65.772443294,20.69141
66.771823406,19.55078
67.771203041,20.92676
68.773087978,19.36426
69.772468090,21.31152
70.771847725,20.66699
71.771227360,20.23242
72.773112297,20.05957
73.772491932,19.74902
74.771871567,21.38574
75.771250248,19.5625
76.773134708,20.08398
77.772514343,19.43848
78.771893024,19.83496
79.771272182,20.6416
80.773156166,19.20215
81.772535324,19.46289
82.771914005,19.81055
83.771293640,20.19434
84.773177147,19.89648
85.772556305,20.86426
86.771934986,20.90137
87.771314144,21.40918
88.773197651,20.13184
89.772576332,20.92578
90.771955490,21.28516
91.771334171,21.62012
92.773217678,19.54883
93.772596836,21.9541
94.771975517,21.4209
95.771354675,20.99902
97.772616386,20.28027
98.771994591,20.76367
99.771373749,21.29688
100.770752430,20.9375
101.772635937,20.25586
102.772015095,20.62793
103.771393776,19.4248
104.770772934,21.52051
105.772656441,20.85156
106.772035599,19.16504
107.771414280,19.52441
108.770793438,20.65332
109.772676945,20.60352
110.772055626,19.68652
111.771434784,19.74805
112.770813465,20.21973
113.772696972,20.61621
114.772076130,20.45508
115.771454811,20.65332
116.770833969,20.24414
117.772717476,21.97949
118.772097111,22.27734
119.771475792,20.56641
120.770854950,21.32227
121.772738934,20.38086
122.772118092,19.16504
123.771497726,20.95117
124.770876408,21.35938
125.772759914,20.75195
126.772139549,20.70313
