Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.008200169,0.1265746,-0.6114836,-0.315609,0.4199139,-0.09108824,0.9091756,-30.69162,14.07919,-32.50395,1007.809
0.042847633,-0.7334512,-0.1971886,-0.009173895,0.4232665,-0.08971208,0.9009618,-30.69162,14.07919,-32.50395,1007.809
0.075020313,0.6180179,-0.1380036,0.2359742,0.4295675,-0.09606897,0.8989226,-31.07559,13.69774,-32.94643,1007.809
0.109667778,0.6794483,0.1579215,0.05211313,0.4173968,-0.08824486,0.8986186,-31.44749,14.08993,-32.50008,1007.807
0.141839981,0.1265746,-0.01963352,-0.009173895,0.4149934,-0.08529802,0.9015573,-31.44749,14.08993,-32.50008,1007.807
0.174012661,0.2494354,0.2171065,-0.193035,0.4149833,-0.08579081,0.9005893,-31.0693,14.46569,-32.50388,1007.807
0.208660126,0.06514417,-0.1380036,-0.376896,0.4174335,-0.09207997,0.9048526,-30.69714,14.45464,-32.95209,1007.807
0.240832329,0.3722962,-0.3747436,-0.376896,0.4149895,-0.088203,0.9024974,-30.69714,14.45464,-32.95209,1007.809
0.275480270,-0.1805775,-0.4339286,-0.009173895,0.4222661,-0.08779514,0.8971309,-30.70343,13.68669,-33.39465,1007.807
0.307652950,0.4951571,-0.1971886,0.05211313,0.4174088,-0.08533249,0.8986425,-30.69714,14.45464,-32.95209,1007.807
0.342299938,0.7408787,-0.1380036,0.05211313,0.4208367,-0.08630572,0.9005305,-30.69714,14.45464,-32.95209,1007.807
0.374472618,0.003713749,-0.07881854,-0.07046092,0.4213045,-0.08826084,0.899064,-30.70317,14.06782,-33.39651,1007.807
0.409119606,-0.2420079,0.2171065,-0.009173895,0.4198629,-0.08678249,0.9010177,-31.07508,14.46001,-32.95016,1007.809
0.441292286,0.2494354,-0.01963352,-0.07046092,0.4203346,-0.08776683,0.8995591,-31.07508,14.46001,-32.95016,1007.807
0.475939751,0.5565875,-0.01963352,-0.009173895,0.4203345,-0.08679973,0.8990851,-30.69765,13.69237,-32.94837,1007.809
0.508111954,0.188005,-0.2563736,-0.07046092,0.4208204,-0.0853534,0.8981285,-30.69187,13.69806,-32.50209,1007.809
0.542759895,-0.1191471,0.03955149,-0.009173895,0.4251878,-0.08926608,0.8970915,-30.69187,13.69806,-32.50209,1007.807
0.574932575,0.3722962,0.3946616,-0.009173895,0.4183018,-0.09363344,0.8927817,-30.69187,13.69806,-32.50209,1007.807
0.609579563,0.003713749,0.1579215,-0.1317479,0.4184091,-0.08724942,0.9024733,-31.07508,14.46001,-32.95016,1007.807
0.641752243,0.003713749,-0.3155586,-0.315609,0.41403,-0.09108458,0.9058565,-31.07508,14.46001,-32.95016,1007.807
0.673924923,0.2494354,-0.5522986,0.05211313,0.4193425,-0.08777668,0.8976403,-30.70343,13.68669,-33.39465,1007.807
0.708571911,-0.4262991,-0.07881854,0.05211313,0.42569,-0.08973916,0.8990109,-30.69162,14.07919,-32.50395,1007.807
0.740744591,1.109461,0.03955149,0.3585483,0.423724,-0.0911929,0.8980533,-30.69162,14.07919,-32.50395,1007.807
0.775392532,0.3108658,-0.01963352,0.2972612,0.4222742,-0.08682065,0.8976209,-30.69739,14.07351,-32.95023,1007.809
0.807565212,-0.3648687,0.0987365,0.05211313,0.423722,-0.09167829,0.8980493,-31.45327,14.08424,-32.94636,1007.811
0.842212200,-0.1805775,0.2762915,-0.254322,0.4189095,-0.09207626,0.9062849,-30.69765,13.69237,-32.94837,1007.811
0.874384880,-0.1805775,0.03955149,-0.193035,0.4159697,-0.09303968,0.9053404,-30.69765,13.69237,-32.94837,1007.811
0.909031868,-0.05771666,-0.07881854,-0.193035,0.4197778,-0.09266264,0.89374,-31.07533,14.07887,-32.9483,1007.815
0.941204548,0.3722962,-0.1971886,0.05211313,0.4241857,-0.09460419,0.8965748,-31.08085,14.45432,-33.39644,1007.811
0.975852489,1.170892,-0.1380036,-0.009173895,0.4130276,-0.09062012,0.9024957,-31.08085,14.45432,-33.39644,1007.816
1.008025169,-0.1191471,0.2171065,-0.009173895,0.424293,-0.0853189,0.9048444,-31.45931,13.69742,-33.39078,1007.815
1.042672157,-1.040603,0.2171065,-0.07046092,0.4222968,-0.09211935,0.9028789,-30.69187,13.69806,-32.50209,1007.815
1.074844837,0.003713749,0.0987365,-0.009173895,0.4179012,-0.0921009,0.9024381,-30.69187,13.69806,-32.50209,1007.815
1.109491825,0.3722962,-0.1971886,-0.009173895,0.4203043,-0.09117936,0.8976033,-30.69765,13.69237,-32.94837,1007.816
1.141664505,0.3722962,0.1579215,-0.009173895,0.4188585,-0.08680343,0.8976529,-30.70343,13.68669,-33.39465,1007.816
1.176312447,-0.7948816,0.03955149,0.2359742,0.4184092,-0.08821652,0.9029474,-30.70343,13.68669,-33.39465,1007.816
1.208485127,0.2494354,0.03955149,0.05211313,0.4198978,-0.0949714,0.9091438,-30.69162,14.07919,-32.50395,1007.818
1.240657330,0.9251699,0.0987365,-0.254322,0.4154734,-0.08917625,0.9024848,-31.08137,13.69205,-33.39272,1007.818
1.275304794,-0.3034383,0.0987365,-0.254322,0.4194196,-0.08577231,0.9058501,-31.08137,13.69205,-33.39272,1007.816
1.307476997,-0.1805775,-0.3155586,-0.376896,0.416482,-0.09205288,0.9077537,-31.08085,14.45432,-33.39644,1007.818
1.342124462,-0.4877295,-0.2563736,0.1746872,0.4193122,-0.09215631,0.8961585,-30.69739,14.07351,-32.95023,1007.818
1.374297142,0.6794483,0.2762915,0.1746872,0.427146,-0.0945894,0.9004033,-30.69739,14.07351,-32.95023,1007.818
1.408944130,1.109461,-0.01963352,0.1134001,0.4164126,-0.08631313,0.8967157,-30.31342,14.45496,-32.50774,1007.818
1.441117287,-0.6720208,0.3946616,0.1134001,0.4232296,-0.08394276,0.8937797,-31.07508,14.46001,-32.95016,1007.818
1.475764752,-0.9791729,0.3946616,-0.07046092,0.4193628,-0.08872531,0.9005243,-31.07508,14.46001,-32.95016,1007.82
1.507936955,-0.1805775,0.3354765,-0.193035,0.4154697,-0.0959496,0.9053211,-31.07559,13.69774,-32.94643,1007.818
1.542584419,0.4337267,0.1579215,-0.254322,0.4169554,-0.08674926,0.903455,-31.06955,14.08456,-32.50201,1007.818
1.574757099,0.188005,-0.1971886,-0.193035,0.4184336,-0.08819436,0.9058393,-31.06955,14.08456,-32.50201,1007.818
1.609404087,0.1265746,-0.07881854,0.05211313,0.4198144,-0.09262939,0.8980779,-30.70317,14.06782,-33.39651,1007.818
1.641576767,0.188005,-0.1380036,-0.009173895,0.4227802,-0.08148748,0.8971781,-31.06981,13.70342,-32.50015,1007.816
1.676224708,-0.54916,0.2171065,-0.009173895,0.4203163,-0.088267,0.8976272,-31.06981,13.70342,-32.50015,1007.816
1.708396912,-0.3648687,0.3354765,0.05211313,0.4212905,-0.09262569,0.8995101,-30.69739,14.07351,-32.95023,1007.815
1.740569591,0.06514417,0.03955149,0.05211313,0.4227279,-0.09314062,0.8966005,-31.07508,14.46001,-32.95016,1007.815
1.775217056,-0.4262991,0.0987365,0.1134001,0.4188667,-0.08776314,0.8990909,-31.07508,14.46001,-32.95016,1007.815
1.807389259,0.3108658,0.1579215,0.05211313,0.4193018,-0.08684654,0.8923464,-30.70317,14.06782,-33.39651,1007.815
