Time (s),W,X,Y,Z
0.013855457,0.01393569,-0.6423077,0.7638192,0.02131862
0.046135426,0.01399365,-0.6421695,0.7639334,0.02135605
0.078415394,0.01398569,-0.6421407,0.7639565,0.02140046
0.113178253,0.0139869,-0.6421465,0.7639533,0.02133726
0.145458221,0.01395619,-0.6421695,0.7639369,0.02124573
0.180221558,0.01395314,-0.6421566,0.7639496,0.02118642
0.212501526,0.01395357,-0.6421391,0.7639641,0.02119245
0.247264385,0.0140139,-0.6421289,0.7639701,0.02124654
0.279544830,0.01404336,-0.6421418,0.7639573,0.0213049
0.311824799,0.01405297,-0.642153,0.7639466,0.02133746
0.346588135,0.01404859,-0.642193,0.7639119,0.02137703
0.378867626,0.01402209,-0.6422023,0.7639045,0.02138272
0.413630962,0.01396486,-0.6422399,0.763875,0.02134511
0.445910931,0.01391268,-0.642368,0.7637689,0.02131683
0.480673790,0.01385921,-0.6423103,0.7638192,0.02128857
0.512953758,0.01386284,-0.6422279,0.7638885,0.02128735
0.545234203,0.01389055,-0.6422279,0.763887,0.02132535
0.579997540,0.01391187,-0.6422362,0.7638769,0.02142094
0.612277508,0.01389108,-0.6422186,0.7638913,0.02145141
0.647040367,0.01386266,-0.6421773,0.763926,0.02147021
0.679320336,0.01388684,-0.6421905,0.7639145,0.02147077
0.711600304,0.01388949,-0.6422775,0.7638387,0.02155766
0.746363163,0.01385238,-0.6424093,0.7637287,0.02155371
0.778643131,0.01388568,-0.6424291,0.7637149,0.02142774
0.813406468,0.01387062,-0.6424432,0.7637047,0.02138416
0.845686913,0.01386986,-0.642447,0.7637012,0.02139223
0.880449295,0.01387487,-0.6424628,0.7636862,0.02144732
0.912729740,0.01387183,-0.6424793,0.7636703,0.02152835
0.945009708,0.01386241,-0.6425123,0.7636403,0.02160825
0.979773045,0.0138074,-0.6426557,0.7635187,0.02167658
1.012052536,0.01379589,-0.6425367,0.7636186,0.02169471
1.046815872,0.01382235,-0.6422614,0.7638514,0.02163194
1.079095840,0.01383282,-0.6421068,0.7639822,0.02159337
1.113858700,0.01380911,-0.641952,0.7641131,0.02157993
1.146139622,0.01380851,-0.6418517,0.7641979,0.02156495
1.178419113,0.01382445,-0.6419771,0.764091,0.02160486
1.213182449,0.01382744,-0.6420196,0.7640535,0.02166529
1.245462418,0.01378665,-0.6420048,0.7640654,0.02171876
1.280225277,0.01375017,-0.6420243,0.7640503,0.02168978
1.312505245,0.01377147,-0.6422201,0.7638863,0.02166026
1.347268581,0.01373877,-0.6423143,0.7638066,0.02169363
1.379548073,0.01370657,-0.6420314,0.7640481,0.02158942
1.411828518,0.01374212,-0.6420957,0.7639995,0.02137091
1.446591854,0.01378303,-0.6421768,0.7639325,0.02130608
1.478871822,0.01383936,-0.6421818,0.7639264,0.02133638
1.513634682,0.01393403,-0.6421963,0.7639098,0.0214321
1.545914650,0.01395731,-0.6421571,0.7639396,0.02152494
1.580677986,0.01386527,-0.6420256,0.7640517,0.02152803
1.612957955,0.01375042,-0.6419877,0.7640869,0.02148357
1.645238400,0.01366242,-0.6419317,0.764139,0.02136519
1.680000782,0.01367887,-0.6419179,0.764153,0.02126477
1.712281227,0.0137125,-0.6418912,0.7641752,0.02124863
1.747044563,0.01379788,-0.6418766,0.7641841,0.02132058
1.779324055,0.01392253,-0.6418844,0.764174,0.02136302
1.811604023,0.01396404,-0.6420131,0.7640626,0.02145092
1.846367359,0.01393557,-0.6420699,0.7640151,0.02146297
1.878647327,0.01385824,-0.6420729,0.7640149,0.02142926
1.913410187,0.01382184,-0.6422572,0.7638639,0.02131191
1.945690632,0.01379436,-0.6424181,0.7637282,0.02134142
1.980453968,0.01373642,-0.6425437,0.7636217,0.02141107
2.012733936,0.0137594,-0.6426339,0.7635484,0.02130414
2.045013428,0.01379216,-0.6427398,0.7634606,0.02123609
2.079776764,0.01379835,-0.6428493,0.7633707,0.02114622
2.112056732,0.01378972,-0.6428617,0.7633642,0.021012
2.146819592,0.01376516,-0.6429805,0.763264,0.02103088
2.179100513,0.01372907,-0.6431525,0.7631168,0.02113762
2.213862896,0.01376048,-0.6434041,0.7628996,0.02129705
2.246143341,0.01380883,-0.6435257,0.7627945,0.02136188
2.278423309,0.01379164,-0.643639,0.7627003,0.02132584
2.313186169,0.01372216,-0.6438746,0.7625085,0.02110781
2.345466137,0.01362853,-0.6440252,0.7623875,0.02094847
2.380229473,0.01361241,-0.6440536,0.7623647,0.02091211
2.412508965,0.0136949,-0.6438711,0.7625151,0.02100052
2.447272301,0.01375502,-0.6438302,0.7625428,0.02119994
2.479552746,0.01373902,-0.6438525,0.7625207,0.02132852
2.511832714,0.01368892,-0.6439636,0.7624283,0.02131501
2.546596050,0.0136692,-0.6439395,0.7624495,0.0212935
2.578875542,0.01357263,-0.6438633,0.7625149,0.02132532
2.613638878,0.01351443,-0.6437513,0.7626135,0.02121351
2.645918846,0.01351448,-0.6435882,0.7627547,0.02108889
2.680681706,0.01361161,-0.6435631,0.762776,0.02102121
2.712962151,0.01367457,-0.6436749,0.7626793,0.02106046
2.745242119,0.01370879,-0.6437734,0.7625932,0.02114602
2.780005455,0.01368664,-0.6438568,0.7625198,0.02126906
2.812285423,0.01362955,-0.643932,0.7624566,0.02129264
2.847048283,0.01355002,-0.6439168,0.7624723,0.02123946
2.879328251,0.01347534,-0.6439518,0.7624481,0.02109482
2.911608696,0.01344799,-0.6440378,0.7623797,0.02095778
2.946372032,0.01348132,-0.6440014,0.7624092,0.02098881
2.978651524,0.01363028,-0.6438867,0.7625013,0.02106356
3.013414860,0.01375661,-0.6437724,0.7625933,0.02114327
3.045694828,0.01368404,-0.6438065,0.762563,0.02124757
3.080457687,0.01353123,-0.6437042,0.7626457,0.02147325
3.112737656,0.01345339,-0.6435726,0.7627523,0.02168076
3.145018101,0.01337349,-0.6435173,0.7627995,0.02171174
3.179781437,0.01329044,-0.6433069,0.7629896,0.02130874
3.212061405,0.01333509,-0.6430989,0.7631783,0.02079975
3.246824265,0.01360996,-0.6429541,0.7633024,0.02054256
3.279104233,0.01417727,-0.6429616,0.7632819,0.02068041
3.313867569,0.0147073,-0.6429802,0.7632417,0.0212153
3.346147060,0.01484374,-0.6429182,0.7632766,0.021733
3.378427506,0.01461832,-0.6428721,0.7633122,0.02199736
3.413190842,0.01414407,-0.6428187,0.7633672,0.02196182
3.445470810,0.01378173,-0.6428193,0.763379,0.02176663
3.480234146,0.01362669,-0.6429031,0.7633145,0.02164362
3.512513638,0.01363474,-0.6429386,0.7632824,0.02171852
3.547276974,0.0137673,-0.6429006,0.7633047,0.0219719
3.579556942,0.01419465,-0.6430506,0.7631665,0.02211228
3.611837387,0.01491244,-0.6432239,0.7629958,0.02248374
3.646600247,0.01489127,-0.6434035,0.76283,0.02298434
3.678880215,0.01388721,-0.6435183,0.7627699,0.02238603
3.713643551,0.01264326,-0.6435264,0.7628126,0.02141185
3.745923042,0.01214193,-0.643464,0.7629041,0.02028675
3.778203964,0.01263684,-0.64319,0.763136,0.01995084
3.812966824,0.01422726,-0.6429507,0.7632892,0.02072182
3.845246792,0.01569412,-0.6429388,0.7632333,0.02204402
3.880010128,0.01638321,-0.6432587,0.7629169,0.02314124
3.912289619,0.01604339,-0.643357,0.7628395,0.02319545
3.947052956,0.0150296,-0.643221,0.7629977,0.02242758
3.979332924,0.01376797,-0.6429897,0.7632453,0.02142237
4.011613369,0.01238424,-0.6428409,0.7634216,0.02042776
4.046376228,0.0113082,-0.6427207,0.7635643,0.01948182
4.078656197,0.01104241,-0.6425635,0.7637089,0.01915057
4.113419533,0.01153363,-0.6425151,0.7637289,0.01968292
4.145699501,0.01268098,-0.6425168,0.7636768,0.02090232
4.180462360,0.01402265,-0.6425135,0.7636023,0.02277972
4.212742329,0.01501278,-0.6424679,0.7635802,0.02413339
4.245022774,0.01552289,-0.6423403,0.7636662,0.02448678
4.279786110,0.0152651,-0.6421578,0.7638432,0.02390611
4.312065601,0.01443015,-0.6419768,0.7640557,0.02245256
4.346828938,0.01388018,-0.6417842,0.7642804,0.02057861
4.379108906,0.01391368,-0.6417188,0.7643637,0.01947177
4.413871765,0.01432822,-0.641686,0.7643926,0.01911273
4.446152687,0.01471173,-0.6416517,0.7644134,0.01914276
4.478432179,0.0149346,-0.6415153,0.7645251,0.0190872
4.513195515,0.01514197,-0.6411765,0.7648158,0.01864936
4.545475483,0.0153979,-0.6408109,0.7651413,0.01762616
4.580238342,0.01635273,-0.640329,0.765566,0.0157429
4.612518311,0.01815246,-0.6399019,0.7659243,0.01355774
4.647281647,0.01954721,-0.6394177,0.7663206,0.01197156
4.679562092,0.01923156,-0.6390923,0.7666296,0.009897203
4.711842060,0.0182239,-0.6390159,0.7667444,0.007579013
4.746604920,0.01744463,-0.6391802,0.7666362,0.006403524
4.778884888,0.01648627,-0.6395386,0.7663572,0.006541689
4.813648224,0.01473929,-0.6397362,0.7662141,0.007994175
4.845928669,0.01270175,-0.6399105,0.7660828,0.009911803
4.878208160,0.01189243,-0.6400105,0.7659861,0.01175894
4.912971497,0.01188818,-0.6399284,0.766036,0.01291652
4.945251465,0.01119638,-0.6400799,0.7659267,0.01251178
4.980014324,0.009233018,-0.6402764,0.7658104,0.01108277
5.012295246,0.00659056,-0.640197,0.7659314,0.009015426
5.047058105,0.003748002,-0.6398926,0.7662331,0.006148819
5.079338074,0.00112176,-0.6396646,0.766449,0.003369837
5.111618042,-0.001511473,-0.6397215,0.7664062,0.001760059
5.146380901,-0.00401847,-0.6397837,0.7663454,0.001703703
5.178660870,-0.005509653,-0.6398283,0.7662941,0.003214873
5.213424206,-0.006304878,-0.6396601,0.7664142,0.00567498
5.245704651,-0.006510232,-0.6398534,0.7662309,0.007949843
5.280467510,-0.006441192,-0.6400532,0.7660378,0.01020762
5.312747479,-0.006338359,-0.6401911,0.765902,0.01170056
5.345027447,-0.006419913,-0.6400687,0.7659885,0.01264774
5.379790783,-0.006817919,-0.6399832,0.7660526,0.01289652
5.412071228,-0.007454232,-0.6400908,0.7659537,0.01306556
5.446834087,-0.008238547,-0.6401379,0.7659013,0.01335782
5.479114056,-0.0089671,-0.6402248,0.7658151,0.01366984
5.513877392,-0.009922011,-0.6404005,0.7656394,0.01458967
5.546156883,-0.01079976,-0.6405497,0.7654751,0.0159666
5.578437805,-0.01143117,-0.6408691,0.765161,0.01767692
5.613200665,-0.01231372,-0.6413414,0.7646917,0.02009723
5.645480633,-0.0137524,-0.6416329,0.7643579,0.0224194
5.680243969,-0.01601269,-0.6417967,0.7641019,0.02483076
5.712523461,-0.01863039,-0.6417644,0.7640068,0.0266948
5.747286797,-0.02170256,-0.6418085,0.7638537,0.02767825
5.779566765,-0.02496556,-0.6418021,0.7637444,0.02808776
5.811847210,-0.02830302,-0.6415806,0.7638149,0.02806872
5.846610069,-0.03094604,-0.6410145,0.7642027,0.02765383
5.878890038,-0.03147987,-0.6406545,0.7644281,0.02912598
5.913653374,-0.03104768,-0.6404249,0.7645266,0.03191797
5.945933342,-0.02968051,-0.6405705,0.7643279,0.03491351
5.978213787,-0.02699229,-0.6405588,0.7642338,0.03911858
6.012976646,-0.02273437,-0.6403279,0.7642218,0.04534417
6.045256615,-0.01679369,-0.6405447,0.7636333,0.05396546
6.080019951,-0.01046028,-0.642408,0.7606698,0.07219233
6.112299442,-0.01200815,-0.6475361,0.7532054,0.09930821
6.147062779,-0.02274754,-0.6530676,0.7442206,0.1254932
6.179343224,-0.04054366,-0.6573496,0.7374712,0.1378823
6.211623192,-0.06666905,-0.6616126,0.7318097,0.1374998
6.246386528,-0.09988731,-0.6650808,0.726766,0.1269986
6.278666020,-0.1295259,-0.6676636,0.7214005,0.1168643
6.313429356,-0.1549058,-0.6732656,0.7118282,0.112454
6.345709801,-0.1728018,-0.681802,0.6991558,0.1144308
6.380473137,-0.1909941,-0.6932044,0.6822555,0.1189281
6.412752628,-0.2096985,-0.7054165,0.663638,0.1209391
6.445032597,-0.2314434,-0.7181054,0.6424083,0.1212339
6.479795933,-0.2563389,-0.7312893,0.6176952,0.1207754
6.512076378,-0.2784388,-0.7422126,0.5941244,0.1234348
6.546839714,-0.3035558,-0.7532289,0.565012,0.1337505
6.579119206,-0.331981,-0.7615294,0.5330269,0.1495711
6.613882542,-0.3653702,-0.7636451,0.5008647,0.1706253
6.646162510,-0.393722,-0.7596537,0.475206,0.1967639
6.678442955,-0.4149352,-0.7528328,0.4519937,0.2310866
6.713205815,-0.4261799,-0.7451002,0.4278434,0.2770813
6.745485783,-0.4277013,-0.7374122,0.4065695,0.3234557
6.780249119,-0.4231455,-0.72767,0.3856288,0.3733124
6.812529087,-0.4171941,-0.7162023,0.3686048,0.4168471
6.847291946,-0.4110639,-0.7006347,0.3547467,0.4592602
6.879572391,-0.4042799,-0.6852331,0.3442602,0.4951019
6.911852360,-0.3934871,-0.6708467,0.3329741,0.529989
6.946615696,-0.38092,-0.658344,0.3182842,0.5628552
6.978895187,-0.3725975,-0.6497176,0.3035789,0.5860937
7.013658524,-0.3670745,-0.641762,0.2901945,0.6048246
