Time (s),Power (dBm),Percentage (%)
0.072993755,-62,76
0.572691918,-62,76
1.073029518,-60,80
1.572790623,-62,76
2.072891712,-62,76
2.572672367,-62,76
3.072914124,-62,76
3.572873116,-65,70
4.072838306,-59,82
4.572747708,-57,86
5.073014736,-61,78
5.572698116,-59,82
6.072941303,-59,82
6.572878361,-57,86
7.072827339,-57,86
7.572628021,-51,98
8.073012352,-61,78
8.572656155,-55,90
9.072816849,-55,90
9.572821140,-55,90
10.073003769,-60,80
10.572609902,-57,86
11.072954655,-51,98
11.572805882,-47,100
12.072774887,-62,76
12.572759152,-61,78
13.072942257,-57,86
13.572637081,-51,98
14.072903156,-55,90
14.572783470,-51,98
15.072778702,-57,86
15.572627545,-62,76
16.072919846,-59,82
16.572606087,-59,82
17.072759628,-62,76
17.572763443,-63,74
18.072697639,-55,90
18.572564602,-63,74
19.072821617,-59,82
19.572526455,-73,54
20.072718620,-53,94
20.572534561,-67,66
21.072653294,-67,66
21.572621822,-65,70
22.072696686,-67,66
22.572760105,-65,70
23.072895050,-65,70
23.572572708,-65,70
24.072665215,-65,70
24.572745323,-65,70
25.072685719,-65,70
25.572653294,-65,70
26.072879791,-51,98
26.572502613,-57,86
27.072785378,-47,100
27.572687149,-59,82
28.072779655,-60,80
28.572504997,-59,82
29.072858810,-62,76
29.572680950,-65,70
30.072636604,-60,80
31.072808743,-59,82
31.572471619,-57,86
32.072781086,-60,80
32.572651863,-59,82
33.072620392,-51,98
33.572447777,-59,82
34.072785378,-55,90
34.572605133,-51,98
35.072640419,-64,72
35.572629929,-65,70
36.072788715,-57,86
36.572425842,-53,94
37.072649956,-57,86
37.572649002,-51,98
38.072574139,-53,94
38.572607517,-59,82
39.072782993,-69,62
39.572404862,-67,66
40.072581291,-53,94
40.572626591,-60,80
41.072766781,-55,90
41.572400570,-57,86
42.072504044,-65,70
42.572576046,-53,94
43.572497368,-55,90
44.072711468,-55,90
44.572402954,-55,90
45.072693825,-67,66
45.572553635,-65,70
46.072569370,-73,54
46.572392464,-51,98
47.072689056,-57,86
47.572463036,-59,82
48.072527885,-53,94
48.572531223,-55,90
49.072578907,-60,80
49.572333336,-57,86
50.072588921,-57,86
50.572412014,-67,66
51.072529316,-59,82
51.572312355,-67,66
52.072535515,-53,94
52.572393894,-53,94
53.072465420,-62,76
53.572367668,-55,90
54.072665215,-49,100
54.572346687,-49,100
55.072433949,-53,94
55.572515488,-51,98
56.072454929,-53,94
56.572465897,-57,86
57.072649479,-51,98
57.572275162,-45,100
58.072607040,-45,100
58.572492600,-57,86
59.072547436,-59,82
59.572250366,-57,86
60.072627544,-51,98
60.572450161,-59,82
61.072417259,-51,98
61.572255135,-51,98
62.072619915,-45,100
62.572293759,-43,100
63.072507858,-43,100
63.572458267,-59,82
64.072428226,-62,76
64.572284222,-57,86
65.072555542,-61,78
65.572190762,-51,98
66.072394371,-60,80
66.572398663,-65,70
67.072352886,-53,94
67.572186470,-62,76
68.072395325,-57,86
68.572419167,-51,98
69.072413445,-59,82
69.572340965,-59,82
70.072554111,-49,100
70.572235108,-58,84
71.072482586,-60,80
71.572396755,-55,90
72.072494507,-59,82
72.572197437,-60,80
73.072494984,-61,78
73.572346687,-57,86
74.072324276,-62,76
74.572208405,-63,74
75.072515965,-62,76
75.572150707,-55,90
76.072447300,-57,86
76.572360516,-57,86
77.072275162,-57,86
77.572129727,-51,98
78.072493076,-57,86
78.572332859,-57,86
79.072256565,-49,100
79.572301388,-57,86
80.072505951,-45,100
80.572118282,-67,66
81.072322369,-57,86
81.572288036,-53,94
82.072240829,-55,90
82.572261334,-57,86
83.072417736,-59,82
83.572103977,-55,90
84.072222233,-49,100
84.572250366,-59,82
85.072415829,-60,80
85.572045803,-60,80
86.072373867,-62,76
86.572249413,-64,72
87.072239876,-62,76
87.572132588,-47,100
88.072419167,-49,100
88.572030068,-57,86
89.072320938,-55,90
89.572264195,-53,94
90.072184086,-67,66
90.572006703,-55,90
91.072396755,-64,72
91.572201252,-59,82
92.072165966,-53,94
92.572205544,-57,86
93.072368622,-57,86
93.572018147,-59,82
94.072223187,-59,82
94.572226048,-60,80
95.072142601,-59,82
95.572160244,-63,74
96.072326660,-63,74
96.571960926,-64,72
97.072153091,-65,70
97.572167874,-57,86
98.072228909,-65,70
98.572005749,-59,82
99.072303295,-55,90
99.572068691,-63,74
100.072122574,-61,78
100.572033882,-65,70
101.072155952,-55,90
101.572007656,-57,86
102.072241783,-51,98
102.571985722,-53,94
103.072154045,-71,58
103.571917534,-65,70
104.072112560,-51,98
104.572075844,-59,82
105.072104454,-51,98
105.571941853,-51,98
106.072312832,-59,82
106.571891785,-55,90
107.072098255,-55,90
107.572130680,-53,94
108.072048187,-59,82
108.572040558,-51,98
109.072263241,-51,98
109.571912289,-51,98
110.072241783,-51,98
110.572071552,-53,94
111.072171688,-65,70
111.571872234,-63,74
