Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.002516747,-0.5394259,0.03195459,0.003927643,0.01951068,-0.2563465,0.9727713,-15.69689,31.44335,-33.0077,1008.06
0.037815571,-0.7257883,0.327418,0.3704617,0.02097445,-0.2587495,0.9756597,-16.05421,31.07979,-33.0015,1008.06
0.070592403,0.4545065,0.03195459,0.06501666,0.01175737,-0.2632364,0.9718373,-16.05421,31.07979,-33.0015,1008.062
0.103369713,1.075714,0.4456034,0.003927643,0.02338448,-0.2524413,0.9693867,-15.70365,31.80779,-33.01343,1008.062
0.136147499,-0.9121506,0.15014,0.06501666,0.01464283,-0.2505159,0.976625,-15.33281,31.44248,-33.00817,1008.062
0.171445847,-1.284875,0.327418,0.1261057,0.01612152,-0.2597573,0.9766354,-15.33281,31.44248,-33.00817,1008.066
0.204222679,-0.7257883,0.09104726,0.06501666,0.0185609,-0.2656182,0.9713435,-15.33885,31.81286,-32.57879,1008.066
0.236999989,0.9514727,-0.2044161,0.1871947,0.01563634,-0.2607656,0.9723058,-15.3247,31.08908,-32.19438,1008.066
0.269776821,0.6408688,-0.08623077,-0.05716138,0.01805316,-0.2553612,0.9761428,-15.3247,31.08908,-32.19438,1008.066
0.302554131,0.2060234,-0.02713809,0.1871947,0.01708461,-0.2578547,0.9689285,-16.06097,31.44423,-33.00723,1008.065
0.337852478,-1.284875,0.2092326,-0.05716138,0.01853514,-0.2544032,0.9732521,-14.96801,31.44755,-32.57353,1008.065
0.370630264,-1.284875,0.09104726,-0.05716138,0.01807103,-0.2631637,0.9747104,-14.96801,31.44755,-32.57353,1008.063
0.403407097,0.2060234,0.2683253,-0.1182504,0.0200039,-0.2607693,0.9665191,-15.32533,31.08398,-32.56733,1008.063
0.436184406,0.1439026,0.15014,-0.1793394,0.01563711,-0.2602484,0.9766372,-14.96125,31.08311,-32.5678,1008.063
0.468961716,-0.04245972,0.2683253,-0.1182504,0.01757176,-0.2583309,0.9698908,-14.96125,31.08311,-32.5678,1008.067
0.504260063,0.2681442,0.03195459,0.06501666,0.01805952,-0.259808,0.9670036,-15.33957,31.80692,-33.0139,1008.063
0.537036896,-0.228822,-0.08623077,0.06501666,0.02243201,-0.2587239,0.9775816,-16.06097,31.44423,-33.00723,1008.061
0.569814205,0.1439026,0.15014,0.1261057,0.01758885,-0.264125,0.9771199,-16.06097,31.44423,-33.00723,1008.063
