Time (s),W,X,Y,Z
0.010010719,0.2198668,-0.6582376,0.6812871,0.2255155
0.044771194,0.2198832,-0.6582994,0.6812278,0.2254985
0.077049255,0.2198932,-0.6583366,0.6811965,0.2254749
0.111809731,0.2200142,-0.6585444,0.6809664,0.2254454
0.144083500,0.2201141,-0.6587246,0.6807599,0.2254449
0.178843975,0.2201112,-0.658757,0.6807516,0.2253781
0.211122036,0.2200385,-0.6586459,0.6809083,0.2253005
0.243399620,0.2200091,-0.6585746,0.6809939,0.2252787
0.278160095,0.220088,-0.6588776,0.6807236,0.2251326
0.310438156,0.2200119,-0.6587777,0.6808192,0.2252106
0.345194340,0.2199492,-0.658584,0.6809791,0.2253546
0.377472401,0.2198873,-0.6584097,0.6811357,0.2254508
0.412232876,0.2199097,-0.6584039,0.6811287,0.2254671
0.444510460,0.2198837,-0.6584355,0.6811199,0.2254264
0.476788044,0.2199374,-0.658479,0.6810732,0.2253883
0.511548996,0.2199742,-0.658513,0.6810336,0.2253731
0.543822288,0.2199586,-0.6584661,0.6810877,0.2253616
0.578582764,0.2199431,-0.6582618,0.6812612,0.2254495
0.610860348,0.2199546,-0.6582906,0.6812135,0.2254979
0.645620823,0.2199091,-0.6582575,0.681264,0.2254861
0.677898884,0.2198314,-0.6581286,0.6814182,0.2254725
0.710176945,0.2198993,-0.6581594,0.6813649,0.2254774
0.744933128,0.2200071,-0.658433,0.6810771,0.2254435
0.777211189,0.2201177,-0.6588385,0.6807044,0.225276
0.811971664,0.2200615,-0.6586471,0.6809111,0.225266
0.844249248,0.2200721,-0.6586152,0.6809418,0.2252559
0.876527309,0.2200866,-0.6586863,0.680881,0.2252178
0.911287785,0.2201944,-0.6589641,0.6805909,0.2251762
0.943561554,0.2201952,-0.65893,0.6806021,0.2252415
0.978322029,0.2201344,-0.6587539,0.6807643,0.2253263
1.010600090,0.2201377,-0.6588044,0.6807182,0.2253143
1.045360565,0.2202086,-0.659007,0.6805286,0.2252253
1.077637672,0.2202832,-0.6592029,0.6803197,0.2252102
1.109915257,0.2202678,-0.6592516,0.6802894,0.2251742
