Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.144083500,43.424,32.61
1.144671917,43.508,32.61
2.145260811,43.47,32.612
3.143366814,43.498,32.612
4.143959999,43.462,32.612
5.144548893,43.488,32.612
6.145137787,43.476,32.612
7.143244267,43.534,32.614
8.143841267,43.506,32.614
9.144576550,43.5,32.616
10.145215511,43.538,32.616
11.143321991,43.482,32.616
12.143911839,43.538,32.616
13.144562244,43.494,32.616
14.145152092,43.506,32.618
15.143259048,43.556,32.62
16.143849373,43.512,32.62
17.144439697,43.57,32.622
18.145030499,43.5,32.622
19.143137455,43.54,32.622
20.143728256,43.548,32.624
21.144319057,43.542,32.626
22.144926548,43.52,32.626
23.145727634,43.574,32.626
24.143836021,43.572,32.628
25.144427300,43.548,32.628
26.145018101,43.534,32.63
27.143126965,43.55,32.63
28.143914700,43.564,32.63
29.144506455,43.54,32.63
30.145097256,43.566,32.63
31.143205166,43.556,32.628
32.143795967,43.56,32.628
33.144386768,43.564,32.626
34.144977093,43.532,32.624
35.145566940,43.474,32.622
36.143672943,43.564,32.62
37.144262791,43.518,32.618
38.144852161,43.484,32.614
39.145672321,43.474,32.612
40.143778324,43.494,32.61
41.144367218,43.478,32.61
42.144955158,43.428,32.608
43.145543575,43.44,32.606
44.143648624,43.468,32.606
45.144236088,43.45,32.604
46.144824028,43.46,32.602
47.145411015,43.438,32.602
